PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Levitec Huesca,6 mar 2020,G  87-62,10,10,2,19,4-9,0-0,44.4%,2-2,100.0%,1,9,10,2,2,0,0,10,19
@ Gipuzkoa Basket,1 mar 2020,P  70-62,2,5,1,9,1-2,0-0,50.0%,0-0,-,1,4,5,1,0,0,0,2,7
vs Coviran Granada,14 feb 2020,G  71-68,2,3,1,17,0-2,0-0,0.0%,2-2,100.0%,2,1,3,1,0,2,0,2,2
@ Caceres,7 feb 2020,P  58-54,2,2,1,20,0-2,0-1,0.0%,2-2,100.0%,1,1,2,1,0,1,0,2,1
vs Real Valladolid,31 ene 2020,G  88-85,6,5,0,16,3-4,0-0,75.0%,0-0,-,1,4,5,0,0,1,0,6,9
@ HLA Alicante,24 ene 2020,P  65-61,2,2,1,10,1-3,0-1,25.0%,0-0,-,0,2,2,1,1,3,0,2,0
vs Súper Agropal Palencia,17 ene 2020,G  74-66,6,3,1,29,2-4,0-3,28.6%,2-2,100.0%,0,3,3,1,1,1,0,6,5
vs Alimerka Oviedo,10 ene 2020,G  76-46,18,7,0,23,6-9,1-5,50.0%,3-3,100.0%,0,7,7,0,0,0,0,18,18
@ Amics Castello,3 ene 2020,G  81-91,8,4,3,23,1-2,2-3,60.0%,0-0,-,0,4,4,3,1,0,0,8,14
vs Almansa Con Afanion,29 dic 2019,G  90-74,8,7,2,19,4-8,0-1,44.4%,0-0,-,2,5,7,2,0,2,0,8,10
@ Hiopos Lleida,20 dic 2019,G  72-101,8,3,2,20,1-2,2-2,75.0%,0-0,-,1,2,3,2,1,2,0,8,11
vs Ourense,13 dic 2019,G  80-75,11,4,0,18,3-7,1-3,40.0%,2-3,66.7%,0,4,4,0,0,0,0,11,8
vs HLA Alicante,1 dic 2019,G  100-72,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,2,0,0,-2
@ Melilla Ciudad Del Deporte 1,22 nov 2019,G  72-76,0,2,0,14,0-0,0-1,0.0%,0-0,-,1,1,2,0,0,0,0,0,1
vs Súper Agropal Palencia,17 nov 2019,G  82-76,8,3,0,14,3-5,0-2,42.9%,2-2,100.0%,1,2,3,0,1,1,0,8,7
@ Real Canoe N.C.,8 nov 2019,G  69-76,4,0,0,6,2-4,0-0,50.0%,0-0,-,0,0,0,0,0,1,0,4,1
vs Alimerka Oviedo,3 nov 2019,P  78-81,8,5,2,16,2-4,0-3,28.6%,4-5,80.0%,3,2,5,2,1,2,0,8,8
@ Marin Peixe Galego,30 oct 2019,G  49-63,6,4,0,19,3-5,0-3,37.5%,0-0,-,2,2,4,0,0,4,0,6,1
vs Amics Castello,27 oct 2019,G  74-67,5,5,4,24,1-10,1-3,15.4%,0-0,-,3,2,5,4,0,0,0,5,3
@ Levitec Huesca,18 oct 2019,G  65-66,8,6,1,27,4-6,0-1,57.1%,0-2,0.0%,1,5,6,1,1,1,0,8,10
vs Almansa Con Afanion,13 oct 2019,G  75-71,12,6,1,34,5-11,0-2,38.5%,2-2,100.0%,1,5,6,1,2,1,0,12,12
@ Gipuzkoa Basket,6 oct 2019,P  77-67,4,6,1,18,2-5,0-0,40.0%,0-0,-,1,5,6,1,2,1,0,4,9
vs Hiopos Lleida,29 sept 2019,P  65-82,8,10,1,25,2-8,0-2,20.0%,4-6,66.7%,4,6,10,1,2,2,0,8,9
