PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Real Canoe N.C.,6 mar 2020,G  76-81,0,1,2,20,0-0,0-0,-,0-0,-,0,1,1,2,0,2,0,0,1
@ Leyma Coruña,1 mar 2020,P  68-60,2,1,0,19,1-4,0-2,16.7%,0-2,0.0%,0,1,1,0,0,2,0,2,-6
vs Levitec Huesca,15 feb 2020,P  59-64,6,7,1,34,3-6,0-2,37.5%,0-0,-,2,5,7,1,1,2,0,6,8
@ Gipuzkoa Basket,9 feb 2020,P  94-66,2,1,3,21,0-3,0-0,0.0%,2-2,100.0%,1,0,1,3,0,2,1,2,2
vs Coviran Granada,1 feb 2020,G  80-72,7,2,2,24,2-4,1-3,42.9%,0-0,-,0,2,2,2,1,0,0,7,8
@ Caceres,24 ene 2020,P  95-89,5,1,1,26,2-4,0-2,33.3%,1-2,50.0%,0,1,1,1,3,3,0,5,2
vs Real Valladolid,18 ene 2020,P  69-75,2,1,0,19,0-0,0-0,-,2-2,100.0%,0,1,1,0,0,3,0,2,0
vs HLA Alicante,10 ene 2020,P  65-97,6,2,1,22,2-6,0-2,25.0%,2-3,66.7%,1,1,2,1,3,3,0,6,2
@ Súper Agropal Palencia,3 ene 2020,P  90-58,6,0,0,12,3-4,0-0,75.0%,0-0,-,0,0,0,0,1,1,0,6,5
vs Alimerka Oviedo,28 dic 2019,P  53-73,9,1,5,28,2-6,0-2,25.0%,5-6,83.3%,0,1,1,5,1,1,0,9,8
@ Amics Castello,20 dic 2019,G  80-89,9,5,5,27,3-6,0-1,42.9%,3-7,42.9%,2,3,5,5,2,2,0,9,11
vs Almansa Con Afanion,14 dic 2019,P  74-79,12,4,2,27,4-7,1-3,50.0%,1-1,100.0%,3,1,4,2,2,2,0,12,13
@ Hiopos Lleida,6 dic 2019,P  82-70,13,4,3,24,1-4,3-5,44.4%,2-4,50.0%,3,1,4,3,0,3,1,13,11
vs Ourense,30 nov 2019,P  55-65,11,4,2,35,4-6,1-4,50.0%,0-2,0.0%,2,2,4,2,3,1,0,11,12
@ Rio Breogan,23 nov 2019,P  72-56,5,0,1,24,2-3,0-4,28.6%,1-2,50.0%,0,0,0,1,2,2,0,5,0
vs Fibwi Palma,16 nov 2019,P  77-90,8,2,5,30,2-4,1-4,37.5%,1-2,50.0%,0,2,2,5,1,2,0,8,8
@ Melilla Ciudad Del Deporte 1,8 nov 2019,P  78-67,10,5,5,36,4-8,0-1,44.4%,2-2,100.0%,2,3,5,5,4,3,0,10,16
vs Real Canoe N.C.,3 nov 2019,G  72-58,6,1,3,13,2-2,0-1,66.7%,2-3,66.7%,0,1,1,3,1,1,0,6,8
vs Leyma Coruña,30 oct 2019,P  49-63,5,5,2,29,0-4,1-4,12.5%,2-2,100.0%,2,3,5,2,3,7,0,5,1
@ Levitec Huesca,25 oct 2019,P  93-71,0,1,2,23,0-1,0-0,0.0%,0-0,-,0,1,1,2,1,2,0,0,1
vs Gipuzkoa Basket,19 oct 2019,P  64-76,4,6,3,28,2-5,0-2,28.6%,0-3,0.0%,1,5,6,3,1,1,0,4,5
@ Coviran Granada,12 oct 2019,P  83-56,1,1,4,26,0-0,0-0,-,1-2,50.0%,0,1,1,4,1,5,0,1,1
vs Caceres,5 oct 2019,P  64-75,11,3,6,36,3-6,1-4,40.0%,2-3,66.7%,1,2,3,6,1,4,0,11,10
@ Real Valladolid,25 sept 2019,P  82-66,7,1,9,35,1-4,1-2,33.3%,2-2,100.0%,0,1,1,9,4,3,0,7,14
