PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Levitec Huesca,6 mar 2020,G  87-62,4,4,1,17,2-5,0-0,40.0%,0-0,-,1,3,4,1,0,2,1,4,5
@ Gipuzkoa Basket,1 mar 2020,P  70-62,0,2,1,8,0-4,0-0,0.0%,0-0,-,2,0,2,1,0,1,0,0,-2
vs Coviran Granada,14 feb 2020,G  71-68,4,9,2,23,2-9,0-0,22.2%,0-0,-,3,6,9,2,0,1,0,4,7
@ Caceres,7 feb 2020,P  58-54,6,7,0,18,2-5,0-0,40.0%,2-2,100.0%,1,6,7,0,0,1,0,6,9
vs Real Valladolid,31 ene 2020,G  88-85,6,12,1,20,3-7,0-0,42.9%,0-0,-,2,10,12,1,0,1,0,6,14
@ HLA Alicante,24 ene 2020,P  65-61,8,10,0,19,4-6,0-0,66.7%,0-1,0.0%,5,5,10,0,0,2,0,8,13
vs Súper Agropal Palencia,17 ene 2020,G  74-66,13,9,1,25,6-7,0-0,85.7%,1-4,25.0%,5,4,9,1,1,3,1,13,18
vs Alimerka Oviedo,10 ene 2020,G  76-46,5,7,1,20,1-3,1-1,50.0%,0-0,-,2,5,7,1,0,2,0,5,9
@ Amics Castello,3 ene 2020,G  81-91,10,3,1,13,4-5,0-0,80.0%,2-2,100.0%,1,2,3,1,0,1,0,10,12
vs Almansa Con Afanion,29 dic 2019,G  90-74,21,8,0,20,9-13,0-0,69.2%,3-4,75.0%,4,4,8,0,0,0,0,21,24
@ Hiopos Lleida,20 dic 2019,G  72-101,15,8,0,26,7-11,0-0,63.6%,1-1,100.0%,3,5,8,0,0,0,0,15,19
vs Ourense,13 dic 2019,G  80-75,12,8,1,23,6-9,0-0,66.7%,0-1,0.0%,2,6,8,1,0,1,0,12,16
@ Rio Breogan,7 dic 2019,P  88-84,25,10,2,26,9-13,0-0,69.2%,7-7,100.0%,3,7,10,2,1,3,0,25,31
vs Fibwi Palma,29 nov 2019,G  68-65,11,7,1,20,4-8,0-0,50.0%,3-4,75.0%,4,3,7,1,0,0,1,11,15
vs Leyma Coruña,22 nov 2019,P  72-76,4,8,2,18,2-4,0-0,50.0%,0-0,-,3,5,8,2,1,1,0,4,12
@ Real Canoe N.C.,15 nov 2019,G  85-102,17,10,1,25,7-11,0-0,63.6%,3-6,50.0%,3,7,10,1,0,2,1,17,20
vs Marin Peixe Galego,8 nov 2019,G  78-67,13,8,3,23,5-8,0-0,62.5%,3-5,60.0%,3,5,8,3,0,1,2,13,20
@ Levitec Huesca,3 nov 2019,P  86-67,5,2,0,17,1-5,0-0,20.0%,3-4,75.0%,1,1,2,0,0,1,0,5,1
vs Gipuzkoa Basket,30 oct 2019,P  63-68,18,4,0,22,6-9,0-0,66.7%,6-7,85.7%,0,4,4,0,1,2,1,18,18
@ Coviran Granada,26 oct 2019,G  63-70,12,5,1,19,3-5,0-0,60.0%,6-7,85.7%,3,2,5,1,0,0,0,12,15
vs Caceres,18 oct 2019,G  71-60,14,4,0,24,7-9,0-0,77.8%,0-0,-,1,3,4,0,1,0,0,14,17
@ Real Valladolid,11 oct 2019,P  78-70,7,5,1,18,3-5,0-0,60.0%,1-2,50.0%,1,4,5,1,1,5,0,7,6
vs HLA Alicante,4 oct 2019,P  66-83,2,1,0,13,1-2,0-0,50.0%,0-0,-,1,0,1,0,0,2,0,2,0
