PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Levitec Huesca,6 mar 2020,G  87-62,17,3,3,26,3-6,3-10,37.5%,2-3,66.7%,0,3,3,3,2,2,2,17,14
@ Gipuzkoa Basket,1 mar 2020,P  70-62,4,3,2,24,1-2,0-8,10.0%,2-2,100.0%,1,2,3,2,0,4,0,4,-4
vs Coviran Granada,14 feb 2020,G  71-68,8,3,2,29,0-2,2-5,28.6%,2-2,100.0%,0,3,3,2,0,2,1,8,7
@ Caceres,7 feb 2020,P  58-54,9,5,0,32,2-4,1-8,25.0%,2-3,66.7%,3,2,5,0,2,0,0,9,6
vs Real Valladolid,31 ene 2020,G  88-85,19,1,2,23,2-3,5-9,58.3%,0-1,0.0%,0,1,1,2,0,1,0,19,15
@ HLA Alicante,24 ene 2020,P  65-61,6,4,4,32,1-5,1-4,22.2%,1-3,33.3%,1,3,4,4,1,2,0,6,4
vs Súper Agropal Palencia,17 ene 2020,G  74-66,14,4,0,32,1-1,4-8,55.6%,0-0,-,2,2,4,0,1,2,0,14,13
vs Alimerka Oviedo,10 ene 2020,G  76-46,13,6,1,26,5-7,1-6,46.2%,0-0,-,3,3,6,1,2,2,0,13,13
@ Amics Castello,3 ene 2020,G  81-91,17,5,5,33,1-1,5-10,54.5%,0-0,-,1,4,5,5,2,3,1,17,22
vs Almansa Con Afanion,29 dic 2019,G  90-74,0,6,5,22,0-3,0-2,0.0%,0-0,-,3,3,6,5,0,0,0,0,6
@ Hiopos Lleida,20 dic 2019,G  72-101,17,5,3,23,4-6,3-5,63.6%,0-0,-,2,3,5,3,1,0,1,17,23
vs Ourense,13 dic 2019,G  80-75,8,4,2,31,1-2,2-5,42.9%,0-0,-,1,3,4,2,0,1,1,8,10
@ Rio Breogan,7 dic 2019,P  88-84,24,2,1,35,2-2,6-8,80.0%,2-2,100.0%,0,2,2,1,2,2,1,24,26
vs Fibwi Palma,29 nov 2019,G  68-65,12,6,3,33,1-4,3-9,30.8%,1-1,100.0%,2,4,6,3,1,0,0,12,13
vs Leyma Coruña,22 nov 2019,P  72-76,15,7,0,35,0-3,5-6,55.6%,0-0,-,2,5,7,0,0,4,0,15,14
@ Real Canoe N.C.,15 nov 2019,G  85-102,6,3,2,23,3-6,0-1,42.9%,0-0,-,2,1,3,2,0,0,0,6,7
vs Marin Peixe Galego,8 nov 2019,G  78-67,5,1,1,26,0-3,1-4,14.3%,2-4,50.0%,0,1,1,1,2,2,1,5,0
@ Levitec Huesca,3 nov 2019,P  86-67,9,3,0,32,1-6,2-5,27.3%,1-3,33.3%,1,2,3,0,1,2,0,9,1
vs Gipuzkoa Basket,30 oct 2019,P  63-68,13,4,5,34,2-5,3-5,50.0%,0-0,-,1,3,4,5,0,1,0,13,16
@ Coviran Granada,26 oct 2019,G  63-70,12,4,4,35,1-1,3-5,66.7%,1-2,50.0%,2,2,4,4,2,1,0,12,18
vs Caceres,18 oct 2019,G  71-60,13,0,1,24,2-5,3-4,55.6%,0-0,-,0,0,0,1,1,1,1,13,11
@ Real Valladolid,11 oct 2019,P  78-70,21,5,3,26,1-3,5-6,66.7%,4-5,80.0%,1,4,5,3,1,2,0,21,24
vs HLA Alicante,4 oct 2019,P  66-83,4,5,3,28,2-6,0-4,20.0%,0-0,-,3,2,5,3,0,0,0,4,4
@ Súper Agropal Palencia,27 sept 2019,G  69-81,5,6,2,32,1-3,1-6,22.2%,0-0,-,4,2,6,2,1,2,0,5,5
