PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Caceres,7 mar 2020,P  74-86,6,3,2,21,0-1,2-5,33.3%,0-0,-,0,3,3,2,0,0,0,6,7
@ Real Valladolid,28 feb 2020,P  74-73,13,1,0,17,2-3,3-6,55.6%,0-0,-,0,1,1,0,0,2,0,13,8
vs HLA Alicante,15 feb 2020,P  68-70,20,3,1,26,0-1,6-10,54.5%,2-2,100.0%,1,2,3,1,1,1,0,20,19
@ Súper Agropal Palencia,7 feb 2020,P  87-80,3,1,0,22,0-1,1-4,20.0%,0-0,-,0,1,1,0,0,1,0,3,-1
vs Alimerka Oviedo,1 feb 2020,P  65-72,3,2,0,19,0-0,1-2,50.0%,0-0,-,0,2,2,0,1,1,0,3,4
@ Amics Castello,24 ene 2020,G  78-86,6,1,1,18,0-0,2-5,40.0%,0-0,-,0,1,1,1,1,0,0,6,6
vs Almansa Con Afanion,18 ene 2020,P  80-86,11,7,1,27,4-4,1-6,50.0%,0-0,-,2,5,7,1,0,1,0,11,13
vs Hiopos Lleida,10 ene 2020,G  64-49,0,4,0,21,0-2,0-2,0.0%,0-0,-,0,4,4,0,2,0,0,0,2
@ Leyma Coruña,5 ene 2020,P  72-65,3,2,0,23,0-0,1-2,50.0%,0-0,-,0,2,2,0,0,0,0,3,4
@ Rio Breogan,28 dic 2019,P  85-52,0,2,0,24,0-0,0-3,0.0%,0-0,-,0,2,2,0,1,1,0,0,-1
vs Fibwi Palma,19 dic 2019,P  75-87,10,4,1,28,2-5,2-9,28.6%,0-0,-,1,3,4,1,1,0,0,10,6
@ Melilla Ciudad Del Deporte 1,13 dic 2019,P  80-75,13,2,2,34,1-3,3-7,40.0%,2-3,66.7%,2,0,2,2,0,0,0,13,10
vs Real Canoe N.C.,8 dic 2019,G  77-73,14,4,2,30,1-2,4-7,55.6%,0-0,-,0,4,4,2,0,1,0,14,15
@ Marin Peixe Galego,30 nov 2019,G  55-65,10,5,1,28,2-2,2-7,44.4%,0-0,-,0,5,5,1,0,0,0,10,11
vs Levitec Huesca,23 nov 2019,G  71-69,3,5,1,21,0-1,1-4,20.0%,0-0,-,0,5,5,1,1,2,0,3,4
@ Gipuzkoa Basket,17 nov 2019,P  73-62,21,6,0,29,6-7,3-6,69.2%,0-0,-,1,5,6,0,1,1,0,21,23
vs Coviran Granada,9 nov 2019,G  79-74,13,6,3,28,1-2,3-9,36.4%,2-2,100.0%,1,5,6,3,2,0,1,13,18
@ Caceres,3 nov 2019,G  68-69,12,3,3,23,0-1,4-6,57.1%,0-0,-,0,3,3,3,0,1,0,12,14
vs Real Valladolid,30 oct 2019,P  56-77,3,2,0,19,0-0,1-6,16.7%,0-0,-,0,2,2,0,1,0,0,3,1
@ HLA Alicante,25 oct 2019,P  85-58,0,1,0,12,0-0,0-2,0.0%,0-0,-,0,1,1,0,0,1,0,0,-2
vs Súper Agropal Palencia,20 oct 2019,P  72-81,2,1,1,21,1-1,0-5,16.7%,0-0,-,0,1,1,1,0,1,0,2,-2
@ Alimerka Oviedo,12 oct 2019,G  81-84,17,2,0,28,0-0,5-10,50.0%,2-2,100.0%,1,1,2,0,0,1,0,17,13
vs Amics Castello,5 oct 2019,G  82-65,8,5,0,21,1-1,2-5,50.0%,0-1,0.0%,1,4,5,0,1,1,0,8,9
@ Almansa Con Afanion,28 sept 2019,G  67-78,5,3,5,22,0-0,1-5,20.0%,2-2,100.0%,0,3,3,5,0,1,0,5,8
