PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Amics Castello,6 mar 2020,G  82-87,2,4,1,11,1-2,0-0,50.0%,0-0,-,1,3,4,1,0,1,2,2,7
vs Almansa Con Afanion,28 feb 2020,G  106-77,7,9,0,19,3-4,0-0,75.0%,1-2,50.0%,2,7,9,0,0,3,2,7,13
@ Hiopos Lleida,14 feb 2020,G  74-90,4,1,0,15,2-2,0-0,100.0%,0-0,-,0,1,1,0,0,0,0,4,5
vs Ourense,7 feb 2020,G  87-80,10,8,1,18,4-7,0-0,57.1%,2-5,40.0%,1,7,8,1,1,0,0,10,14
@ Rio Breogan,1 feb 2020,P  75-74,4,4,0,11,2-3,0-0,66.7%,0-1,0.0%,1,3,4,0,0,1,0,4,5
vs Fibwi Palma,24 ene 2020,P  68-79,8,8,0,21,3-7,0-0,42.9%,2-4,50.0%,4,4,8,0,0,1,1,8,10
@ Melilla Ciudad Del Deporte 1,17 ene 2020,P  74-66,0,4,1,12,0-2,0-0,0.0%,0-0,-,1,3,4,1,0,1,0,0,2
@ Real Canoe N.C.,10 ene 2020,G  77-80,10,10,0,17,5-6,0-0,83.3%,0-0,-,2,8,10,0,0,0,2,10,21
vs Marin Peixe Galego,3 ene 2020,G  90-58,19,12,0,22,8-10,0-0,80.0%,3-5,60.0%,6,6,12,0,1,0,1,19,29
@ Levitec Huesca,29 dic 2019,P  92-84,4,4,0,14,2-4,0-0,50.0%,0-2,0.0%,4,0,4,0,0,1,0,4,3
vs Gipuzkoa Basket,22 dic 2019,P  60-73,2,3,0,10,1-2,0-0,50.0%,0-2,0.0%,2,1,3,0,0,1,1,2,2
@ Coviran Granada,15 dic 2019,P  73-68,4,4,2,20,2-2,0-0,100.0%,0-0,-,1,3,4,2,1,1,3,4,13
vs Caceres,6 dic 2019,G  87-86,2,5,1,14,1-1,0-0,100.0%,0-0,-,3,2,5,1,0,1,0,2,7
@ Real Valladolid,1 dic 2019,P  86-79,6,1,0,13,3-3,0-0,100.0%,0-0,-,0,1,1,0,0,0,0,6,7
vs HLA Alicante,22 nov 2019,G  93-84,4,9,0,15,1-2,0-0,50.0%,2-2,100.0%,4,5,9,0,0,0,0,4,12
@ Leyma Coruña,17 nov 2019,P  82-76,9,11,1,17,3-6,0-0,50.0%,3-6,50.0%,4,7,11,1,0,1,2,9,16
@ Alimerka Oviedo,9 nov 2019,G  66-73,10,8,1,17,5-6,0-0,83.3%,0-0,-,2,6,8,1,1,0,0,10,19
vs Amics Castello,3 nov 2019,G  108-87,5,8,0,19,2-6,0-0,33.3%,1-2,50.0%,2,6,8,0,0,1,0,5,7
@ Almansa Con Afanion,30 oct 2019,G  70-95,12,7,0,21,5-8,0-0,62.5%,2-2,100.0%,3,4,7,0,0,2,1,12,15
vs Hiopos Lleida,25 oct 2019,G  89-87,7,5,1,17,2-5,0-0,40.0%,3-4,75.0%,3,2,5,1,1,1,1,7,10
@ Ourense,20 oct 2019,G  72-81,4,4,0,19,2-5,0-0,40.0%,0-0,-,1,3,4,0,0,2,1,4,4
vs Rio Breogan,11 oct 2019,G  90-76,8,5,0,16,2-5,0-0,40.0%,4-4,100.0%,2,3,5,0,0,1,0,8,9
@ Fibwi Palma,6 oct 2019,G  79-80,2,5,0,12,1-2,0-0,50.0%,0-0,-,1,4,5,0,0,0,0,2,6
