PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Gipuzkoa Basket,8 mar 2020,G  71-62,13,3,5,23,3-4,1-3,57.1%,4-4,100.0%,0,3,3,5,0,2,0,13,16
@ Coviran Granada,29 feb 2020,P  68-67,6,2,7,31,3-3,0-0,100.0%,0-1,0.0%,0,2,2,7,2,3,0,6,13
vs Caceres,16 feb 2020,P  64-75,11,4,3,29,4-11,0-2,30.8%,3-4,75.0%,0,4,4,3,1,1,1,11,9
@ Real Valladolid,9 feb 2020,P  74-66,7,3,2,15,1-3,0-1,25.0%,5-5,100.0%,0,3,3,2,0,0,0,7,9
vs HLA Alicante,2 feb 2020,P  63-78,13,4,4,22,3-8,1-2,40.0%,4-4,100.0%,1,3,4,4,0,1,0,13,14
@ Súper Agropal Palencia,24 ene 2020,G  68-79,9,2,2,20,3-10,1-1,36.4%,0-0,-,0,2,2,2,1,0,0,9,7
vs Alimerka Oviedo,19 ene 2020,G  83-76,6,1,0,17,2-4,0-1,40.0%,2-2,100.0%,0,1,1,0,0,1,0,6,3
vs Amics Castello,10 ene 2020,G  78-76,6,0,4,21,1-3,0-0,33.3%,4-5,80.0%,0,0,0,4,0,1,0,6,6
@ Almansa Con Afanion,4 ene 2020,G  71-81,12,0,4,25,3-5,1-3,50.0%,3-4,75.0%,0,0,0,4,2,3,0,12,10
vs Hiopos Lleida,29 dic 2019,P  73-83,5,2,6,23,1-6,1-3,22.2%,0-0,-,0,2,2,6,1,4,0,5,3
@ Ourense,19 dic 2019,G  75-87,5,2,3,16,1-1,1-1,100.0%,0-0,-,0,2,2,3,0,1,0,5,9
vs Rio Breogan,15 dic 2019,G  102-84,12,3,4,20,0-4,1-3,14.3%,9-10,90.0%,2,1,3,4,2,0,0,12,14
vs Leyma Coruña,8 dic 2019,G  99-71,10,1,2,18,3-4,0-3,42.9%,4-7,57.1%,0,1,1,2,1,0,0,10,7
@ Melilla Ciudad Del Deporte 1,29 nov 2019,P  68-65,10,1,3,26,1-3,0-1,25.0%,8-8,100.0%,0,1,1,3,1,2,0,10,10
vs Real Canoe N.C.,24 nov 2019,P  66-78,12,1,6,26,5-7,0-0,71.4%,2-3,66.7%,0,1,1,6,1,5,0,12,12
@ Marin Peixe Galego,16 nov 2019,G  77-90,9,1,3,32,0-5,2-4,22.2%,3-4,75.0%,0,1,1,3,1,1,0,9,5
@ Gipuzkoa Basket,3 nov 2019,G  65-78,10,5,4,25,1-4,2-2,50.0%,2-2,100.0%,0,5,5,4,1,1,0,10,16
vs Coviran Granada,30 oct 2019,G  77-53,2,5,3,23,1-1,0-3,25.0%,0-0,-,0,5,5,3,0,3,0,2,4
@ Caceres,25 oct 2019,G  62-68,4,5,3,24,1-2,0-3,20.0%,2-2,100.0%,1,4,5,3,0,2,0,4,6
vs Real Valladolid,20 oct 2019,G  87-80,15,3,4,23,4-6,1-3,55.6%,4-4,100.0%,0,3,3,4,0,2,0,15,16
@ HLA Alicante,11 oct 2019,G  74-75,8,1,1,25,4-5,0-3,50.0%,0-0,-,0,1,1,1,1,4,0,8,3
vs Súper Agropal Palencia,6 oct 2019,P  79-80,8,2,4,23,2-6,1-1,42.9%,1-1,100.0%,0,2,2,4,0,3,0,8,7
@ Alimerka Oviedo,28 sept 2019,P  70-61,2,2,6,22,1-2,0-1,33.3%,0-0,-,0,2,2,6,0,2,0,2,6
