PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Gipuzkoa Basket,8 mar 2020,G  71-62,2,1,0,16,1-1,0-2,33.3%,0-0,-,1,0,1,0,1,3,0,2,-1
@ Coviran Granada,29 feb 2020,P  68-67,3,0,5,14,0-1,0-0,0.0%,3-4,75.0%,0,0,0,5,1,0,0,3,7
vs Caceres,16 feb 2020,P  64-75,6,3,0,15,2-3,0-1,50.0%,2-2,100.0%,1,2,3,0,1,2,0,6,6
@ Real Valladolid,9 feb 2020,P  74-66,10,3,4,24,2-5,2-4,44.4%,0-0,-,1,2,3,4,3,3,0,10,12
vs HLA Alicante,2 feb 2020,P  63-78,6,2,3,17,2-4,0-3,28.6%,2-4,50.0%,1,1,2,3,1,2,0,6,3
@ Súper Agropal Palencia,24 ene 2020,G  68-79,13,7,4,19,1-3,2-2,60.0%,5-6,83.3%,2,5,7,4,3,4,0,13,20
vs Alimerka Oviedo,19 ene 2020,G  83-76,9,1,3,22,0-1,3-6,42.9%,0-0,-,0,1,1,3,1,0,0,9,10
vs Amics Castello,10 ene 2020,G  78-76,11,4,5,18,1-1,3-5,66.7%,0-0,-,1,3,4,5,0,1,0,11,17
@ Almansa Con Afanion,4 ene 2020,G  71-81,8,3,2,14,0-1,2-3,50.0%,2-2,100.0%,0,3,3,2,0,1,0,8,10
vs Hiopos Lleida,29 dic 2019,P  73-83,8,3,2,16,1-1,1-5,33.3%,3-4,75.0%,0,3,3,2,2,4,0,8,6
@ Ourense,19 dic 2019,G  75-87,14,3,4,23,3-5,2-4,55.6%,2-2,100.0%,0,3,3,4,2,3,0,14,16
vs Rio Breogan,15 dic 2019,G  102-84,7,1,8,19,2-2,1-3,60.0%,0-0,-,0,1,1,8,1,3,0,7,12
vs Leyma Coruña,8 dic 2019,G  99-71,20,3,5,23,3-4,4-5,77.8%,2-2,100.0%,1,2,3,5,0,0,0,20,26
@ Melilla Ciudad Del Deporte 1,29 nov 2019,P  68-65,5,5,2,19,2-4,0-3,28.6%,1-2,50.0%,2,3,5,2,2,0,0,5,8
vs Real Canoe N.C.,24 nov 2019,P  66-78,2,0,3,17,1-2,0-2,25.0%,0-0,-,0,0,0,3,2,1,0,2,3
vs Levitec Huesca,10 nov 2019,G  80-64,6,0,1,6,3-4,0-1,60.0%,0-0,-,0,0,0,1,1,0,0,6,6
@ Gipuzkoa Basket,3 nov 2019,G  65-78,13,2,2,14,1-2,3-4,66.7%,2-2,100.0%,0,2,2,2,0,1,0,13,14
vs Coviran Granada,30 oct 2019,G  77-53,8,0,3,16,0-1,2-3,50.0%,2-2,100.0%,0,0,0,3,0,1,0,8,8
@ Caceres,25 oct 2019,G  62-68,6,2,1,16,0-1,0-0,0.0%,6-6,100.0%,0,2,2,1,1,1,0,6,8
vs Real Valladolid,20 oct 2019,G  87-80,6,6,0,21,2-3,0-3,33.3%,2-3,66.7%,0,6,6,0,2,0,0,6,9
@ HLA Alicante,11 oct 2019,G  74-75,3,0,2,14,0-2,1-2,25.0%,0-0,-,0,0,0,2,0,1,0,3,1
vs Súper Agropal Palencia,6 oct 2019,P  79-80,16,6,2,16,1-2,4-6,62.5%,2-2,100.0%,2,4,6,2,1,3,0,16,19
@ Alimerka Oviedo,28 sept 2019,P  70-61,6,3,1,17,1-6,1-5,18.2%,1-1,100.0%,2,1,3,1,2,0,0,6,3
