PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Long Island Nets,4 mar 2020,P  116-117,0,2,0,2,0-0,0-0,-,0-0,-,1,1,2,0,0,0,0,0,2
@ Maine Celtics,1 mar 2020,P  119-106,2,1,0,8,1-2,0-0,50.0%,0-0,-,1,0,1,0,0,0,0,2,2
@ Long Island Nets,28 feb 2020,G  124-125,6,2,1,10,3-7,0-0,42.9%,0-0,-,1,1,2,1,1,0,0,6,6
vs Osceola Magic,26 feb 2020,P  110-112,2,2,1,13,1-3,0-1,25.0%,0-0,-,1,1,2,1,0,1,1,2,2
vs College Park Skyhawks,23 feb 2020,P  124-133,2,1,0,3,1-1,0-0,100.0%,0-0,-,0,1,1,0,0,0,0,2,3
@ Windy City Bulls,20 feb 2020,P  103-93,0,1,0,4,0-2,0-0,0.0%,0-0,-,1,0,1,0,0,0,0,0,-1
vs HLA Alicante,17 ene 2020,P  74-84,9,1,0,12,4-5,0-0,80.0%,1-2,50.0%,1,0,1,0,0,2,0,9,6
vs Súper Agropal Palencia,10 ene 2020,P  77-80,10,8,0,15,4-4,0-0,100.0%,2-2,100.0%,4,4,8,0,0,0,1,10,19
@ Alimerka Oviedo,4 ene 2020,G  62-78,4,6,1,20,1-4,0-0,25.0%,2-2,100.0%,4,2,6,1,2,1,1,4,10
vs Amics Castello,27 dic 2019,P  85-90,9,7,1,27,4-8,0-0,50.0%,1-2,50.0%,3,4,7,1,0,0,2,9,14
@ Almansa Con Afanion,21 dic 2019,P  79-77,11,11,0,28,3-5,0-0,60.0%,5-10,50.0%,5,6,11,0,1,1,1,11,16
vs Hiopos Lleida,13 dic 2019,G  89-71,7,3,0,17,3-5,0-1,50.0%,1-2,50.0%,1,2,3,0,0,0,1,7,7
@ Ourense,8 dic 2019,P  77-73,11,6,0,25,4-8,1-1,55.6%,0-0,-,3,3,6,0,5,2,3,11,19
vs Rio Breogan,29 nov 2019,P  75-82,8,11,1,25,2-5,0-0,40.0%,4-5,80.0%,4,7,11,1,0,0,3,8,19
@ Fibwi Palma,24 nov 2019,G  66-78,10,6,0,23,4-8,0-0,50.0%,2-2,100.0%,2,4,6,0,1,0,0,10,13
vs Melilla Ciudad Del Deporte 1,15 nov 2019,P  85-102,5,7,1,21,2-6,0-1,28.6%,1-4,25.0%,2,5,7,1,1,1,1,5,6
vs Leyma Coruña,8 nov 2019,P  69-76,15,6,1,35,7-10,0-0,70.0%,1-2,50.0%,3,3,6,1,0,1,3,15,20
@ Marin Peixe Galego,3 nov 2019,P  72-58,3,6,0,23,1-4,0-0,25.0%,1-4,25.0%,1,5,6,0,0,0,1,3,4
vs Levitec Huesca,30 oct 2019,G  69-54,6,12,0,27,3-10,0-1,27.3%,0-2,0.0%,6,6,12,0,1,3,4,6,10
@ Gipuzkoa Basket,27 oct 2019,P  86-68,5,6,0,17,2-5,0-0,40.0%,1-1,100.0%,3,3,6,0,0,1,3,5,10
vs Coviran Granada,18 oct 2019,P  81-92,8,3,0,13,3-5,0-0,60.0%,2-2,100.0%,1,2,3,0,0,1,0,8,8
