PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Illiabum Clube,7 mar 2020,G  64-77,0,1,1,4,0-1,0-2,0.0%,0-0,-,1,0,1,1,0,0,0,0,-1
vs Sporting CP,29 feb 2020,P  89-102,8,0,1,21,0-0,2-4,50.0%,2-2,100.0%,0,0,0,1,0,1,0,8,6
@ FC Porto,15 feb 2020,P  99-86,6,1,0,21,0-1,2-5,33.3%,0-0,-,0,1,1,0,0,0,0,6,3
vs UD Oliveirense,8 feb 2020,G  85-79,0,3,0,8,0-0,0-1,0.0%,0-0,-,0,3,3,0,0,0,0,0,2
@ Real Valladolid,24 ene 2020,P  89-84,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs HLA Alicante,17 ene 2020,P  74-84,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Súper Agropal Palencia,10 ene 2020,P  77-80,6,2,0,12,0-0,2-3,66.7%,0-0,-,0,2,2,0,0,0,1,6,8
@ Alimerka Oviedo,4 ene 2020,G  62-78,0,2,0,5,0-1,0-1,0.0%,0-0,-,1,1,2,0,0,0,0,0,0
vs Amics Castello,27 dic 2019,P  85-90,12,4,0,21,1-2,3-5,57.1%,1-1,100.0%,1,3,4,0,1,0,0,12,14
@ Almansa Con Afanion,21 dic 2019,P  79-77,0,1,0,5,0-1,0-1,0.0%,0-0,-,0,1,1,0,0,0,0,0,-1
vs Hiopos Lleida,13 dic 2019,G  89-71,4,1,1,12,2-3,0-0,66.7%,0-0,-,1,0,1,1,0,0,0,4,5
@ Ourense,8 dic 2019,P  77-73,3,0,0,7,0-1,1-2,33.3%,0-0,-,0,0,0,0,0,0,0,3,1
vs Rio Breogan,29 nov 2019,P  75-82,6,1,0,12,0-0,2-4,50.0%,0-0,-,0,1,1,0,0,1,0,6,4
@ Fibwi Palma,24 nov 2019,G  66-78,2,2,0,11,1-4,0-0,25.0%,0-0,-,0,2,2,0,0,0,1,2,2
vs Melilla Ciudad Del Deporte 1,15 nov 2019,P  85-102,6,0,1,17,2-3,0-4,28.6%,2-2,100.0%,0,0,0,1,0,0,0,6,2
vs Leyma Coruña,8 nov 2019,P  69-76,0,2,0,6,0-1,0-2,0.0%,0-0,-,1,1,2,0,0,0,0,0,-1
@ Marin Peixe Galego,3 nov 2019,P  72-58,4,2,0,15,0-1,0-0,0.0%,4-4,100.0%,0,2,2,0,0,0,0,4,5
vs Levitec Huesca,30 oct 2019,G  69-54,6,5,1,23,0-1,2-6,28.6%,0-0,-,1,4,5,1,0,0,0,6,7
@ Gipuzkoa Basket,27 oct 2019,P  86-68,11,2,1,24,1-3,3-6,44.4%,0-0,-,1,1,2,1,1,0,1,11,11
vs Coviran Granada,18 oct 2019,P  81-92,3,0,0,12,0-1,1-2,33.3%,0-0,-,0,0,0,0,0,0,0,3,1
@ Caceres,11 oct 2019,P  79-57,3,4,0,25,1-2,0-3,20.0%,1-1,100.0%,0,4,4,0,0,0,1,3,4
vs Real Valladolid,4 oct 2019,P  81-93,14,3,1,24,1-1,4-5,83.3%,0-0,-,1,2,3,1,0,0,0,14,17
@ HLA Alicante,27 sept 2019,P  99-96,10,7,2,31,2-6,2-4,40.0%,0-0,-,2,5,7,2,1,2,0,10,12
