PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Marin Peixe Galego,6 mar 2020,P  76-81,10,3,4,27,2-2,2-4,66.7%,0-0,-,0,3,3,4,2,5,0,10,12
@ Levitec Huesca,28 feb 2020,P  79-72,0,0,0,4,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,1,0,0,-2
vs Gipuzkoa Basket,14 feb 2020,P  81-82,10,2,1,21,2-4,2-3,57.1%,0-0,-,1,1,2,1,1,1,0,10,10
@ Coviran Granada,9 feb 2020,P  84-65,6,1,0,9,2-5,0-0,40.0%,2-4,50.0%,1,0,1,0,1,0,1,6,4
vs Caceres,31 ene 2020,G  95-81,5,1,1,9,1-1,1-2,66.7%,0-0,-,0,1,1,1,0,0,0,5,6
@ Real Valladolid,24 ene 2020,P  89-84,0,0,0,3,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
vs HLA Alicante,17 ene 2020,P  74-84,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Súper Agropal Palencia,10 ene 2020,P  77-80,2,0,0,9,1-4,0-1,20.0%,0-0,-,0,0,0,0,0,2,0,2,-4
@ Alimerka Oviedo,4 ene 2020,G  62-78,0,0,0,8,0-2,0-3,0.0%,0-0,-,0,0,0,0,0,0,0,0,-5
vs Amics Castello,27 dic 2019,P  85-90,0,1,0,5,0-1,0-0,0.0%,0-0,-,0,1,1,0,1,1,0,0,0
@ Almansa Con Afanion,21 dic 2019,P  79-77,8,0,1,15,2-4,0-2,33.3%,4-4,100.0%,0,0,0,1,0,2,0,8,3
vs Hiopos Lleida,13 dic 2019,G  89-71,9,2,3,20,2-4,1-2,50.0%,2-2,100.0%,0,2,2,3,0,2,0,9,9
@ Ourense,8 dic 2019,P  77-73,2,0,1,16,0-1,0-1,0.0%,2-2,100.0%,0,0,0,1,1,0,0,2,2
vs Rio Breogan,29 nov 2019,P  75-82,0,0,0,8,0-1,0-2,0.0%,0-0,-,0,0,0,0,1,0,0,0,-2
@ Fibwi Palma,24 nov 2019,G  66-78,8,1,1,19,2-5,1-2,42.9%,1-1,100.0%,0,1,1,1,0,1,0,8,5
vs Melilla Ciudad Del Deporte 1,15 nov 2019,P  85-102,5,1,1,12,0-0,1-4,25.0%,2-2,100.0%,1,0,1,1,0,2,0,5,2
vs Leyma Coruña,8 nov 2019,P  69-76,9,2,1,22,1-5,1-1,33.3%,4-4,100.0%,0,2,2,1,1,2,0,9,7
@ Marin Peixe Galego,3 nov 2019,P  72-58,14,8,1,29,4-10,0-6,25.0%,6-7,85.7%,1,7,8,1,0,0,0,14,10
vs Levitec Huesca,30 oct 2019,G  69-54,16,3,1,22,3-4,2-8,41.7%,4-4,100.0%,0,3,3,1,1,1,0,16,13
@ Gipuzkoa Basket,27 oct 2019,P  86-68,2,0,2,19,0-2,0-0,0.0%,2-2,100.0%,0,0,0,2,0,0,0,2,2
vs Coviran Granada,18 oct 2019,P  81-92,0,0,1,7,0-1,0-0,0.0%,0-0,-,0,0,0,1,0,2,0,0,-2
@ Caceres,11 oct 2019,P  79-57,0,2,1,17,0-3,0-2,0.0%,0-0,-,0,2,2,1,0,2,0,0,-4
vs Real Valladolid,4 oct 2019,P  81-93,5,0,1,11,1-1,1-2,66.7%,0-1,0.0%,0,0,0,1,1,1,0,5,4
@ HLA Alicante,27 sept 2019,P  99-96,11,1,4,15,5-7,0-1,62.5%,1-1,100.0%,0,1,1,4,1,2,0,11,12
