PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Marin Peixe Galego,6 mar 2020,P  76-81,5,3,1,14,2-3,0-1,50.0%,1-1,100.0%,2,1,3,1,0,0,0,5,7
@ Levitec Huesca,28 feb 2020,P  79-72,14,2,1,19,4-4,1-3,71.4%,3-3,100.0%,0,2,2,1,1,3,1,14,14
vs Gipuzkoa Basket,14 feb 2020,P  81-82,7,7,3,22,3-4,0-1,60.0%,1-2,50.0%,1,6,7,3,1,1,0,7,14
@ Coviran Granada,9 feb 2020,P  84-65,6,6,2,20,1-6,0-2,12.5%,4-4,100.0%,1,5,6,2,0,0,2,6,9
@ Real Valladolid,24 ene 2020,P  89-84,8,7,0,23,2-4,0-1,40.0%,4-6,66.7%,2,5,7,0,1,2,1,8,10
vs HLA Alicante,17 ene 2020,P  74-84,8,7,8,31,3-4,0-3,42.9%,2-2,100.0%,1,6,7,8,3,4,4,8,22
vs Súper Agropal Palencia,10 ene 2020,P  77-80,7,2,2,25,3-6,0-1,42.9%,1-2,50.0%,1,1,2,2,0,2,0,7,4
@ Alimerka Oviedo,4 ene 2020,G  62-78,4,2,1,19,2-4,0-3,28.6%,0-0,-,1,1,2,1,0,3,0,4,-1
vs Amics Castello,27 dic 2019,P  85-90,17,9,8,31,2-4,3-6,50.0%,4-6,66.7%,4,5,9,8,0,1,0,17,26
@ Almansa Con Afanion,21 dic 2019,P  79-77,25,11,5,32,5-8,1-3,54.5%,12-15,80.0%,2,9,11,5,1,2,0,25,32
vs Hiopos Lleida,13 dic 2019,G  89-71,21,8,5,28,3-5,4-5,70.0%,3-4,75.0%,1,7,8,5,2,0,2,21,34
@ Ourense,8 dic 2019,P  77-73,20,10,4,31,6-9,2-5,57.1%,2-5,40.0%,5,5,10,4,3,1,0,20,27
vs Rio Breogan,29 nov 2019,P  75-82,17,4,1,20,2-5,1-1,50.0%,10-13,76.9%,0,4,4,1,2,1,0,17,17
@ Fibwi Palma,24 nov 2019,G  66-78,0,3,0,13,0-3,0-1,0.0%,0-2,0.0%,1,2,3,0,1,0,0,0,-2
vs Melilla Ciudad Del Deporte 1,15 nov 2019,P  85-102,6,0,1,10,3-3,0-1,75.0%,0-0,-,0,0,0,1,1,0,0,6,7
vs Leyma Coruña,8 nov 2019,P  69-76,8,1,0,13,2-2,1-3,60.0%,1-1,100.0%,0,1,1,0,1,1,0,8,7
@ Marin Peixe Galego,3 nov 2019,P  72-58,5,2,1,19,2-4,0-3,28.6%,1-1,100.0%,0,2,2,1,2,2,0,5,3
vs Levitec Huesca,30 oct 2019,G  69-54,6,3,2,19,3-5,0-2,42.9%,0-0,-,1,2,3,2,0,1,0,6,6
@ Gipuzkoa Basket,27 oct 2019,P  86-68,11,6,1,23,4-6,0-1,57.1%,3-4,75.0%,1,5,6,1,1,2,2,11,15
vs Coviran Granada,18 oct 2019,P  81-92,5,4,2,14,2-2,0-2,50.0%,1-1,100.0%,1,3,4,2,0,0,0,5,9
@ Caceres,11 oct 2019,P  79-57,4,2,0,12,2-3,0-0,66.7%,0-0,-,1,1,2,0,2,0,0,4,7
vs Real Valladolid,4 oct 2019,P  81-93,2,5,2,16,1-1,0-3,25.0%,0-0,-,1,4,5,2,0,1,1,2,6
@ HLA Alicante,27 sept 2019,P  99-96,7,4,3,21,3-5,0-1,50.0%,1-2,50.0%,0,4,4,3,0,3,0,7,7
