PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Rio Breogan,16 may 2021,P  85-81,8,0,5,28,1-2,1-1,66.7%,3-4,75.0%,0,0,0,5,0,0,0,8,11
vs Leyma Coruña,9 may 2021,P  73-80,5,2,5,21,1-1,1-3,50.0%,0-0,-,0,2,2,5,0,4,0,5,6
@ Alimerka Oviedo,2 may 2021,P  92-87,13,6,2,24,1-2,3-7,44.4%,2-2,100.0%,0,6,6,2,3,1,0,13,18
vs Real Valladolid,24 abr 2021,P  78-91,12,2,4,27,2-3,2-6,44.4%,2-2,100.0%,1,1,2,4,0,1,0,12,12
@ Súper Agropal Palencia,16 abr 2021,G  62-72,5,5,2,23,1-3,1-2,40.0%,0-0,-,0,5,5,2,0,0,0,5,9
vs Rio Breogan,10 abr 2021,P  68-81,6,2,2,25,1-2,1-4,33.3%,1-2,50.0%,0,2,2,2,1,4,0,6,2
@ Leyma Coruña,4 abr 2021,P  89-73,2,1,1,16,1-2,0-3,20.0%,0-0,-,0,1,1,1,1,2,0,2,-1
vs Súper Agropal Palencia,31 mar 2021,G  82-78,9,5,2,20,0-1,3-6,42.9%,0-0,-,3,2,5,2,0,2,0,9,10
vs Alimerka Oviedo,27 mar 2021,P  83-84,6,3,3,18,0-2,2-5,28.6%,0-0,-,0,3,3,3,1,1,0,6,7
@ Real Valladolid,21 mar 2021,P  86-79,10,3,1,27,1-4,2-7,27.3%,2-4,50.0%,0,3,3,1,1,3,1,10,3
vs Levitec Huesca,7 mar 2021,G  83-80,6,4,4,28,3-3,0-1,75.0%,0-0,-,0,4,4,4,2,2,0,6,13
vs Basquet Girona,3 mar 2021,G  84-55,7,2,2,10,1-1,1-2,66.7%,2-2,100.0%,0,2,2,2,2,0,0,7,12
@ Amics Castello,28 feb 2021,P  87-72,2,3,3,23,1-3,0-3,16.7%,0-0,-,1,2,3,3,1,2,0,2,2
@ Coviran Granada,25 feb 2021,P  77-76,6,4,1,27,0-1,2-4,40.0%,0-0,-,0,4,4,1,0,2,0,6,6
vs Fibwi Palma,13 feb 2021,P  64-75,7,3,2,24,2-3,1-5,37.5%,0-1,0.0%,2,1,3,2,0,6,0,7,0
vs Real Murcia,10 feb 2021,G  86-79,3,4,2,18,0-1,1-2,33.3%,0-0,-,0,4,4,2,1,1,1,3,8
@ HLA Alicante,6 feb 2021,P  79-76,3,3,5,22,0-0,1-1,100.0%,0-0,-,0,3,3,5,2,1,0,3,12
@ Real Canoe N.C.,15 ene 2021,G  79-87,4,2,3,34,0-4,1-3,14.3%,1-2,50.0%,0,2,2,3,2,3,0,4,1
vs Hiopos Lleida,22 dic 2020,G  80-71,13,7,5,33,3-4,2-4,62.5%,1-2,50.0%,2,5,7,5,1,1,0,13,21
@ Levitec Huesca,18 dic 2020,G  71-83,13,5,1,28,1-2,3-4,66.7%,2-2,100.0%,0,5,5,1,0,1,0,13,16
vs Amics Castello,12 dic 2020,P  52-66,11,5,2,31,4-5,1-7,41.7%,0-0,-,2,3,5,2,0,1,0,11,10
@ Fibwi Palma,6 dic 2020,G  73-97,17,0,2,21,2-2,3-4,83.3%,4-5,80.0%,0,0,0,2,1,1,2,17,19
vs HLA Alicante,20 nov 2020,P  93-99,5,1,5,22,0-3,1-1,25.0%,2-2,100.0%,0,1,1,5,0,0,0,5,8
@ Basquet Girona,13 nov 2020,G  78-89,11,3,1,23,2-2,2-4,66.7%,1-1,100.0%,1,2,3,1,0,1,1,11,13
vs Real Canoe N.C.,6 nov 2020,G  74-69,13,4,4,20,5-6,1-3,66.7%,0-0,-,0,4,4,4,0,1,0,13,17
@ Real Murcia,30 oct 2020,P  65-63,2,2,0,18,1-1,0-4,20.0%,0-0,-,0,2,2,0,0,2,0,2,-2
vs Coviran Granada,23 oct 2020,P  64-89,2,2,4,19,1-4,0-1,20.0%,0-0,-,0,2,2,4,0,1,0,2,3
@ Hiopos Lleida,16 oct 2020,G  62-67,11,1,2,24,2-3,2-6,44.4%,1-1,100.0%,0,1,1,2,1,1,0,11,9
