PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Leyma Coruña,16 may 2021,G  90-92,10,0,3,18,1-2,2-2,75.0%,2-2,100.0%,0,0,0,3,1,0,0,10,13
vs Alimerka Oviedo,9 may 2021,G  85-62,9,2,2,13,0-2,3-3,60.0%,0-0,-,0,2,2,2,1,0,0,9,12
@ Real Valladolid,2 may 2021,G  83-88,11,2,1,22,3-5,1-1,66.7%,2-3,66.7%,1,1,2,1,2,0,0,11,13
vs Súper Agropal Palencia,23 abr 2021,G  87-76,8,1,5,16,1-2,2-3,60.0%,0-1,0.0%,0,1,1,5,1,0,0,8,12
@ Rio Breogan,17 abr 2021,P  77-75,2,1,2,17,1-1,0-0,100.0%,0-0,-,0,1,1,2,2,1,0,2,6
vs Leyma Coruña,9 abr 2021,P  77-78,4,2,0,20,2-3,0-1,50.0%,0-0,-,0,2,2,0,0,2,0,4,2
@ Alimerka Oviedo,4 abr 2021,P  91-77,2,1,2,21,1-5,0-1,16.7%,0-0,-,0,1,1,2,1,4,0,2,-3
vs Rio Breogan,31 mar 2021,G  86-70,12,1,3,21,3-5,2-4,55.6%,0-0,-,0,1,1,3,1,0,0,12,13
vs Real Valladolid,26 mar 2021,G  87-79,9,3,5,18,3-3,1-1,100.0%,0-0,-,0,3,3,5,2,1,0,9,18
@ Súper Agropal Palencia,19 mar 2021,P  76-75,4,2,0,18,2-3,0-3,33.3%,0-0,-,1,1,2,0,0,1,0,4,1
@ Coviran Granada,7 mar 2021,G  62-63,9,2,0,28,3-5,1-4,44.4%,0-0,-,0,2,2,0,1,0,0,9,7
vs Fibwi Palma,3 mar 2021,P  83-101,2,2,2,16,1-3,0-3,16.7%,0-0,-,0,2,2,2,1,1,1,2,2
vs Almansa Con Afanion,28 feb 2021,G  87-72,3,1,4,21,0-1,1-4,20.0%,0-0,-,1,0,1,4,1,3,0,3,2
@ Levitec Huesca,13 feb 2021,G  69-76,0,1,1,14,0-1,0-0,0.0%,0-0,-,1,0,1,1,0,2,0,0,-1
@ Hiopos Lleida,7 feb 2021,G  72-74,3,6,6,20,0-0,1-4,25.0%,0-0,-,0,6,6,6,1,2,0,3,11
@ HLA Alicante,16 ene 2021,G  81-87,8,0,2,19,1-1,2-3,75.0%,0-0,-,0,0,0,2,1,1,0,8,9
vs Basquet Girona,8 ene 2021,P  82-84,6,1,6,22,2-4,0-2,33.3%,2-2,100.0%,0,1,1,6,0,2,0,6,7
@ Real Canoe N.C.,3 ene 2021,G  67-77,2,0,3,14,1-2,0-1,33.3%,0-0,-,0,0,0,3,3,1,0,2,5
vs Real Murcia,22 dic 2020,G  88-83,4,1,2,25,1-6,0-3,11.1%,2-2,100.0%,0,1,1,2,1,2,0,4,-2
vs Coviran Granada,18 dic 2020,G  105-100,4,0,2,20,0-0,0-1,0.0%,4-4,100.0%,0,0,0,2,0,0,0,4,5
@ Almansa Con Afanion,12 dic 2020,G  52-66,5,4,1,22,2-3,0-2,40.0%,1-2,50.0%,2,2,4,1,2,2,0,5,6
vs Hiopos Lleida,9 dic 2020,P  65-74,4,1,4,13,2-2,0-1,66.7%,0-0,-,0,1,1,4,1,1,0,4,8
vs Levitec Huesca,4 dic 2020,G  91-69,6,2,2,13,0-0,2-3,66.7%,0-0,-,0,2,2,2,2,2,0,6,9
@ Fibwi Palma,13 nov 2020,G  73-79,0,0,2,7,0-0,0-0,-,0-0,-,0,0,0,2,0,1,0,0,1
@ Real Murcia,16 oct 2020,G  58-86,6,5,1,14,0-1,2-3,50.0%,0-0,-,1,4,5,1,2,1,0,6,11
