PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Leyma Coruña,16 may 2021,G  90-92,11,7,0,22,3-5,1-4,44.4%,2-4,50.0%,3,4,7,0,0,2,1,11,10
vs Alimerka Oviedo,9 may 2021,G  85-62,4,4,2,11,2-2,0-1,66.7%,0-0,-,0,4,4,2,0,2,0,4,7
@ Real Valladolid,2 may 2021,G  83-88,3,2,0,15,0-0,0-1,0.0%,3-4,75.0%,0,2,2,0,1,3,0,3,1
vs Súper Agropal Palencia,23 abr 2021,G  87-76,2,4,0,9,1-2,0-1,33.3%,0-0,-,1,3,4,0,0,0,0,2,4
@ Rio Breogan,17 abr 2021,P  77-75,2,3,0,11,1-2,0-0,50.0%,0-0,-,0,3,3,0,0,0,0,2,4
vs Rio Breogan,31 mar 2021,G  86-70,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Real Murcia,22 dic 2020,G  88-83,13,3,1,14,1-4,3-3,57.1%,2-2,100.0%,1,2,3,1,0,0,0,13,14
vs Coviran Granada,18 dic 2020,G  105-100,12,5,3,24,1-2,3-3,80.0%,1-2,50.0%,1,4,5,3,2,0,1,12,21
@ Almansa Con Afanion,12 dic 2020,G  52-66,14,3,1,22,4-6,0-0,66.7%,6-7,85.7%,1,2,3,1,0,1,0,14,14
vs Hiopos Lleida,9 dic 2020,P  65-74,16,3,1,23,6-7,0-0,85.7%,4-5,80.0%,0,3,3,1,1,1,1,16,19
vs Levitec Huesca,4 dic 2020,G  91-69,0,1,1,12,0-2,0-0,0.0%,0-0,-,0,1,1,1,0,0,1,0,1
@ Fibwi Palma,13 nov 2020,G  73-79,20,5,1,23,6-7,1-1,87.5%,5-6,83.3%,1,4,5,1,0,1,0,20,23
vs HLA Alicante,6 nov 2020,P  62-85,6,4,1,14,3-10,0-0,30.0%,0-0,-,1,3,4,1,0,2,0,6,2
@ Basquet Girona,30 oct 2020,G  72-74,6,4,1,18,2-5,0-0,40.0%,2-2,100.0%,1,3,4,1,0,3,0,6,5
vs Real Canoe N.C.,23 oct 2020,G  92-63,15,5,2,15,7-8,0-0,87.5%,1-2,50.0%,3,2,5,2,2,1,0,15,21
@ Real Murcia,16 oct 2020,G  58-86,7,4,3,16,2-4,0-0,50.0%,3-3,100.0%,2,2,4,3,0,2,0,7,10
