PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Fibwi Palma,16 may 2021,G  85-73,7,1,0,22,1-1,1-8,22.2%,2-2,100.0%,0,1,1,0,1,0,0,7,2
@ Coviran Granada,9 may 2021,P  90-85,8,6,2,28,1-2,2-2,75.0%,0-0,-,2,4,6,2,0,2,0,8,13
vs Amics Castello,2 may 2021,P  83-88,6,2,2,29,1-2,1-3,40.0%,1-2,50.0%,0,2,2,2,0,1,0,6,5
@ Almansa Con Afanion,24 abr 2021,G  78-91,2,2,1,19,1-2,0-2,25.0%,0-0,-,0,2,2,1,0,1,1,2,2
vs HLA Alicante,18 abr 2021,G  85-70,4,0,0,22,2-2,0-1,66.7%,0-0,-,0,0,0,0,0,1,0,4,2
vs UBU Tizona Burgos,7 mar 2021,P  100-108,11,3,0,22,1-1,3-6,57.1%,0-0,-,1,2,3,0,0,0,0,11,11
@ Melilla Ciudad Del Deporte 1,28 feb 2021,G  77-80,3,4,0,28,0-0,1-3,33.3%,0-0,-,1,3,4,0,0,1,0,3,4
vs Alimerka Oviedo,14 feb 2021,G  102-84,3,1,0,16,1-2,0-1,33.3%,1-2,50.0%,1,0,1,0,0,0,0,3,1
@ Caceres,29 ene 2021,G  80-93,9,3,3,21,3-5,1-1,66.7%,0-3,0.0%,2,1,3,3,1,0,0,9,11
vs Rio Breogan,17 ene 2021,P  70-80,2,1,0,3,1-1,0-0,100.0%,0-0,-,0,1,1,0,0,1,0,2,2
@ Súper Agropal Palencia,8 ene 2021,P  72-67,8,4,1,20,1-1,2-2,100.0%,0-0,-,1,3,4,1,0,0,0,8,13
vs Leyma Coruña,3 ene 2021,P  67-78,7,2,1,24,3-3,0-1,75.0%,1-1,100.0%,1,1,2,1,0,2,0,7,7
@ Ourense,22 dic 2020,G  78-88,14,3,4,29,2-3,2-4,57.1%,4-4,100.0%,1,2,3,4,2,0,0,14,20
@ UBU Tizona Burgos,18 dic 2020,P  92-91,10,3,0,27,1-2,2-2,75.0%,2-2,100.0%,0,3,3,0,1,2,0,10,11
vs Tallinna Kalev/TLÜ,6 dic 2020,G  88-67,17,9,4,27,1-2,5-6,75.0%,0-0,-,0,9,9,4,1,5,2,17,26
vs Rakvere Tarvas,2 dic 2020,G  73-71,8,10,8,35,2-6,0-4,20.0%,4-5,80.0%,3,7,10,8,1,2,1,8,17
@ BC Kalev/Cramo,21 nov 2020,P  113-59,12,6,2,25,3-3,2-3,83.3%,0-0,-,0,6,6,2,2,3,1,12,19
vs BC Kalev/Cramo,18 nov 2020,P  67-81,19,5,2,31,4-5,3-8,53.8%,2-2,100.0%,1,4,5,2,0,2,0,19,18
@ Transcom Pärnu,15 nov 2020,P  77-69,10,3,2,36,3-5,1-6,36.4%,1-1,100.0%,1,2,3,2,1,2,1,10,8
@ Rakvere Tarvas,13 nov 2020,P  82-68,15,11,2,31,6-8,1-2,70.0%,0-2,0.0%,2,9,11,2,3,2,0,15,24
@ Tartu Ülikool Maks & Moorits,4 nov 2020,G  64-71,12,5,3,32,3-4,2-4,62.5%,0-0,-,1,4,5,3,2,1,1,12,19
vs AVIS UTILITAS Rapla,31 oct 2020,P  49-63,0,7,2,25,0-5,0-4,0.0%,0-0,-,2,5,7,2,2,2,0,0,0
@ Tallinna Kalev/TLÜ,28 oct 2020,P  85-65,14,6,3,28,4-12,2-7,31.6%,0-0,-,2,4,6,3,1,5,1,14,7
vs Tartu Ülikool Maks & Moorits,24 oct 2020,P  67-79,15,7,2,33,5-6,0-2,62.5%,5-6,83.3%,1,6,7,2,0,4,0,15,16
@ AVIS UTILITAS Rapla,13 oct 2020,G  50-57,5,5,2,27,1-7,1-5,16.7%,0-0,-,2,3,5,2,1,1,0,5,2
vs Transcom Pärnu,10 oct 2020,P  65-69,9,6,5,31,3-8,0-4,25.0%,3-4,75.0%,1,5,6,5,3,3,1,9,11
