PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Alimerka Oviedo,16 may 2021,G  78-83,10,2,3,20,3-8,1-2,40.0%,1-2,50.0%,0,2,2,3,1,0,0,10,9
vs Real Valladolid,9 may 2021,G  90-85,10,4,2,23,3-5,1-4,44.4%,1-1,100.0%,1,3,4,2,0,1,0,10,10
@ Súper Agropal Palencia,30 abr 2021,G  71-72,9,4,0,26,2-6,1-3,33.3%,2-2,100.0%,1,3,4,0,2,1,0,9,8
vs Rio Breogan,24 abr 2021,G  97-80,12,2,5,29,3-4,2-5,55.6%,0-0,-,0,2,2,5,0,2,0,12,13
@ Leyma Coruña,18 abr 2021,P  82-66,13,2,0,29,4-5,1-4,55.6%,2-4,50.0%,1,1,2,0,3,1,0,13,11
vs Alimerka Oviedo,10 abr 2021,G  72-68,3,5,2,27,1-4,0-1,20.0%,1-2,50.0%,1,4,5,2,1,1,1,3,6
@ Real Valladolid,4 abr 2021,G  86-87,13,3,0,31,3-3,2-4,71.4%,1-2,50.0%,1,2,3,0,1,2,0,13,12
vs Leyma Coruña,31 mar 2021,G  74-65,19,3,2,23,4-8,3-5,53.8%,2-5,40.0%,1,2,3,2,2,1,0,19,16
vs Súper Agropal Palencia,27 mar 2021,G  77-59,7,4,2,25,3-7,0-1,37.5%,1-2,50.0%,1,3,4,2,1,3,0,7,5
@ Rio Breogan,20 mar 2021,P  85-78,11,3,0,29,1-4,2-3,42.9%,3-6,50.0%,1,2,3,0,0,1,0,11,6
vs Amics Castello,7 mar 2021,P  62-63,7,4,4,27,2-3,1-3,50.0%,0-0,-,0,4,4,4,0,2,1,7,11
vs Real Canoe N.C.,5 mar 2021,G  77-70,16,7,1,24,4-8,2-2,60.0%,2-2,100.0%,1,6,7,1,1,1,1,16,21
@ Fibwi Palma,28 feb 2021,G  66-69,15,3,0,25,6-9,1-3,58.3%,0-0,-,0,3,3,0,0,3,0,15,10
vs Almansa Con Afanion,25 feb 2021,G  77-76,8,4,2,29,4-7,0-4,36.4%,0-4,0.0%,1,3,4,2,3,3,0,8,3
@ Real Murcia,23 feb 2021,G  68-80,12,1,0,13,3-5,2-3,62.5%,0-0,-,0,1,1,0,0,0,0,12,10
vs HLA Alicante,13 feb 2021,G  84-77,7,2,0,10,2-3,0-0,66.7%,3-3,100.0%,1,1,2,0,0,1,0,7,7
@ Basquet Girona,7 feb 2021,P  81-66,8,4,2,29,4-7,0-1,50.0%,0-0,-,1,3,4,2,1,3,0,8,8
vs Hiopos Lleida,2 feb 2021,P  80-83,5,3,4,17,1-3,1-3,33.3%,0-1,0.0%,1,2,3,4,0,2,0,5,5
@ Levitec Huesca,22 dic 2020,G  71-78,9,5,1,20,2-2,1-2,75.0%,2-2,100.0%,0,5,5,1,0,3,0,9,11
@ Amics Castello,18 dic 2020,P  105-100,11,3,0,18,5-8,0-3,45.5%,1-3,33.3%,1,2,3,0,0,1,0,11,5
vs Fibwi Palma,12 dic 2020,P  63-70,11,5,3,30,3-4,1-9,30.8%,2-2,100.0%,0,5,5,3,0,4,0,11,6
@ HLA Alicante,6 dic 2020,G  67-70,12,2,2,26,0-0,3-5,60.0%,3-4,75.0%,1,1,2,2,0,1,0,12,12
vs Basquet Girona,20 nov 2020,G  83-60,25,4,2,29,3-6,6-9,60.0%,1-2,50.0%,0,4,4,2,1,2,1,25,24
@ Real Canoe N.C.,13 nov 2020,G  68-94,9,3,0,18,3-4,1-1,80.0%,0-1,0.0%,1,2,3,0,0,0,0,9,10
@ Hiopos Lleida,30 oct 2020,P  83-79,17,2,2,30,6-6,1-5,63.6%,2-2,100.0%,1,1,2,2,2,1,0,17,18
@ Almansa Con Afanion,23 oct 2020,G  64-89,15,4,2,25,4-4,2-5,66.7%,1-2,50.0%,2,2,4,2,0,0,0,15,17
vs Levitec Huesca,16 oct 2020,G  89-75,15,6,2,22,2-7,3-4,45.5%,2-2,100.0%,2,4,6,2,1,1,0,15,17
