PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Alimerka Oviedo,16 may 2021,G  78-83,10,1,0,17,4-6,0-0,66.7%,2-2,100.0%,0,1,1,0,0,1,0,10,8
vs Real Valladolid,9 may 2021,G  90-85,12,5,1,20,3-4,0-0,75.0%,6-8,75.0%,2,3,5,1,0,3,0,12,12
@ Súper Agropal Palencia,30 abr 2021,G  71-72,2,0,0,13,1-4,0-0,25.0%,0-0,-,0,0,0,0,0,1,0,2,-2
vs Rio Breogan,24 abr 2021,G  97-80,12,4,0,24,3-4,0-0,75.0%,6-6,100.0%,0,4,4,0,0,0,3,12,18
@ Leyma Coruña,18 abr 2021,P  82-66,12,6,0,17,3-3,0-1,75.0%,6-8,75.0%,1,5,6,0,0,2,0,12,13
vs Alimerka Oviedo,10 abr 2021,G  72-68,13,7,1,25,4-6,0-0,66.7%,5-6,83.3%,4,3,7,1,0,1,1,13,18
@ Real Valladolid,4 abr 2021,G  86-87,6,1,0,17,1-2,0-0,50.0%,4-6,66.7%,0,1,1,0,0,4,0,6,0
vs Leyma Coruña,31 mar 2021,G  74-65,16,5,1,27,7-8,0-0,87.5%,2-4,50.0%,1,4,5,1,0,1,1,16,19
vs Súper Agropal Palencia,27 mar 2021,G  77-59,7,4,0,21,3-5,0-0,60.0%,1-1,100.0%,1,3,4,0,0,2,1,7,8
@ Rio Breogan,20 mar 2021,P  85-78,8,1,0,17,3-5,0-0,60.0%,2-2,100.0%,0,1,1,0,0,1,0,8,6
@ Basquet Girona,7 feb 2021,P  81-66,6,0,0,8,3-4,0-0,75.0%,0-0,-,0,0,0,0,0,1,2,6,6
vs Hiopos Lleida,2 feb 2021,P  80-83,13,5,0,27,4-8,0-0,50.0%,5-8,62.5%,1,4,5,0,0,2,1,13,10
@ Levitec Huesca,22 dic 2020,G  71-78,10,2,1,22,4-5,0-0,80.0%,2-2,100.0%,0,2,2,1,0,3,0,10,9
@ Amics Castello,18 dic 2020,P  105-100,19,6,0,37,7-10,0-0,70.0%,5-8,62.5%,3,3,6,0,1,5,3,19,18
vs Fibwi Palma,12 dic 2020,P  63-70,14,5,0,31,6-8,0-0,75.0%,2-6,33.3%,1,4,5,0,0,1,3,14,15
@ HLA Alicante,6 dic 2020,G  67-70,15,6,2,32,7-10,0-0,70.0%,1-1,100.0%,1,5,6,2,0,4,1,15,17
vs Basquet Girona,20 nov 2020,G  83-60,7,6,1,27,2-5,0-0,40.0%,3-4,75.0%,2,4,6,1,0,4,0,7,6
@ Real Canoe N.C.,13 nov 2020,G  68-94,12,7,2,21,4-5,0-0,80.0%,4-5,80.0%,2,5,7,2,1,3,3,12,20
vs Real Murcia,6 nov 2020,G  73-67,16,9,3,26,7-11,0-0,63.6%,2-3,66.7%,3,6,9,3,0,6,3,16,20
@ Hiopos Lleida,30 oct 2020,P  83-79,9,5,0,26,2-4,0-0,50.0%,5-6,83.3%,2,3,5,0,0,3,0,9,8
@ Almansa Con Afanion,23 oct 2020,G  64-89,10,9,3,27,4-6,0-0,66.7%,2-4,50.0%,2,7,9,3,0,2,3,10,19
vs Levitec Huesca,16 oct 2020,G  89-75,7,5,0,19,2-3,0-0,66.7%,3-4,75.0%,3,2,5,0,0,3,3,7,10
