PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Niagara River Lions,31 jul 2021,P  69-89,12,0,1,26,4-6,1-3,55.6%,1-2,50.0%,0,0,0,1,0,1,0,12,7
@ Niagara River Lions,29 jul 2021,G  81-92,5,1,4,17,2-7,0-0,28.6%,1-1,100.0%,0,1,1,4,2,0,0,5,7
vs Brampton Honey Badgers,26 jul 2021,P  78-80,2,4,2,12,1-2,0-3,20.0%,0-0,-,1,3,4,2,0,1,0,2,3
vs Saskatchewan Rattlers,21 jul 2021,P  83-86,13,3,1,30,3-8,2-3,45.5%,1-1,100.0%,1,2,3,1,1,2,0,13,10
vs Edmonton Stingers,18 jul 2021,P  84-97,10,4,2,31,2-4,1-1,60.0%,3-6,50.0%,1,3,4,2,1,1,0,10,11
@ Saskatchewan Rattlers,15 jul 2021,G  74-90,11,6,2,31,2-2,2-3,80.0%,1-1,100.0%,0,6,6,2,1,0,0,11,19
@ Vancouver Bandits,13 jul 2021,P  92-71,14,2,0,23,4-7,2-4,54.5%,0-0,-,0,2,2,0,0,1,0,14,10
vs Ottawa BlackJacks,11 jul 2021,G  90-87,11,4,3,27,4-9,1-4,38.5%,0-0,-,2,2,4,3,1,3,0,11,8
vs Brampton Honey Badgers,8 jul 2021,P  76-85,4,0,3,27,0-5,1-2,14.3%,1-1,100.0%,0,0,0,3,0,0,0,4,1
@ Ottawa BlackJacks,27 jun 2021,P  96-79,0,0,2,3,0-1,0-0,0.0%,0-0,-,0,0,0,2,0,0,0,0,1
vs Ourense,9 may 2021,G  103-64,14,2,4,28,3-5,2-4,55.6%,2-4,50.0%,0,2,2,4,0,0,0,14,14
@ Ourense,5 may 2021,G  65-91,16,2,2,25,5-6,2-2,87.5%,0-0,-,0,2,2,2,2,2,0,16,19
@ Caceres,30 abr 2021,P  92-86,16,2,4,32,6-11,0-0,54.5%,4-4,100.0%,0,2,2,4,2,1,0,16,18
vs Melilla Ciudad Del Deporte 1,23 abr 2021,G  81-70,20,1,4,24,7-7,0-3,70.0%,6-6,100.0%,0,1,1,4,1,1,0,20,22
@ UBU Tizona Burgos,16 abr 2021,P  82-75,6,1,3,23,3-4,0-4,37.5%,0-0,-,0,1,1,3,1,1,0,6,5
vs Caceres,9 abr 2021,G  80-73,14,5,1,28,4-8,1-2,50.0%,3-3,100.0%,2,3,5,1,1,3,0,14,13
vs UBU Tizona Burgos,7 abr 2021,G  87-76,13,2,1,27,2-6,2-4,40.0%,3-4,75.0%,0,2,2,1,0,4,0,13,5
@ Melilla Ciudad Del Deporte 1,19 mar 2021,P  85-78,5,3,3,22,1-2,1-3,40.0%,0-0,-,0,3,3,3,2,2,0,5,8
vs Hiopos Lleida,12 mar 2021,G  87-86,15,2,2,28,3-7,3-4,54.5%,0-0,-,0,2,2,2,1,2,0,15,13
@ Almansa Con Afanion,7 mar 2021,P  83-80,15,3,3,33,2-4,3-8,41.7%,2-4,50.0%,0,3,3,3,2,2,0,15,12
vs Amics Castello,13 feb 2021,P  69-76,12,1,0,18,3-5,1-4,44.4%,3-3,100.0%,1,0,1,0,0,0,0,12,8
@ Fibwi Palma,7 feb 2021,P  68-61,9,1,2,16,2-7,1-5,25.0%,2-2,100.0%,1,0,1,2,2,0,0,9,5
vs HLA Alicante,29 ene 2021,G  76-64,6,3,1,24,0-7,2-6,15.4%,0-0,-,2,1,3,1,1,1,0,6,-1
vs Fibwi Palma,23 ene 2021,P  66-73,4,1,0,16,2-3,0-1,50.0%,0-0,-,1,0,1,0,2,3,0,4,2
@ Basquet Girona,17 ene 2021,P  67-50,5,2,0,24,1-5,1-3,25.0%,0-0,-,0,2,2,0,1,0,0,5,2
vs Real Canoe N.C.,8 ene 2021,G  63-53,2,3,1,17,1-3,0-4,14.3%,0-0,-,0,3,3,1,1,0,0,2,1
@ Real Murcia,3 ene 2021,P  68-65,7,0,3,29,2-4,1-7,27.3%,0-0,-,0,0,0,3,3,0,0,7,5
vs Coviran Granada,22 dic 2020,P  71-78,13,1,1,23,2-7,3-8,33.3%,0-0,-,1,0,1,1,0,3,0,13,2
vs Almansa Con Afanion,18 dic 2020,P  71-83,16,1,2,24,4-5,2-6,54.5%,2-2,100.0%,0,1,1,2,1,4,0,16,11
@ Hiopos Lleida,13 dic 2020,P  67-63,7,1,0,20,2-3,0-3,33.3%,3-3,100.0%,1,0,1,0,0,0,0,7,4
@ Amics Castello,4 dic 2020,P  91-69,11,2,0,28,1-5,3-6,36.4%,0-2,0.0%,0,2,2,0,0,3,0,11,1
