PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Almansa Con Afanion,10 abr 2021,G  68-81,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Amics Castello,31 mar 2021,P  86-70,0,0,0,4,0-1,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-2
@ Fibwi Palma,28 mar 2021,G  74-76,0,0,0,5,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Coviran Granada,20 mar 2021,G  85-78,0,0,0,4,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
@ Caceres,5 mar 2021,G  78-91,3,0,0,12,0-0,1-2,50.0%,0-0,-,0,0,0,0,0,0,0,3,2
vs Súper Agropal Palencia,28 feb 2021,G  84-76,2,1,0,11,1-1,0-2,33.3%,0-0,-,0,1,1,0,0,0,0,2,1
@ Ourense,13 feb 2021,P  77-71,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Melilla Ciudad Del Deporte 1,5 feb 2021,G  81-72,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Real Valladolid,17 ene 2021,G  70-80,2,1,0,4,1-1,0-0,100.0%,0-0,-,0,1,1,0,0,1,0,2,2
vs Alimerka Oviedo,23 dic 2020,G  80-66,0,2,0,4,0-0,0-0,-,0-0,-,0,2,2,0,0,0,0,0,2
vs Caceres,18 dic 2020,G  76-63,0,0,0,6,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Súper Agropal Palencia,13 dic 2020,G  65-76,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Real Valladolid,6 nov 2020,G  87-82,0,1,0,2,0-0,0-0,-,0-0,-,0,1,1,0,0,0,0,0,1
@ Leyma Coruña,30 oct 2020,G  60-68,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs UBU Tizona Burgos,23 oct 2020,G  90-53,4,2,0,8,2-2,0-1,66.7%,0-0,-,0,2,2,0,0,0,0,4,5
