PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Amics Castello,9 abr 2021,G  77-78,0,0,0,3,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
vs Almansa Con Afanion,4 abr 2021,G  89-73,8,3,1,11,4-6,0-0,66.7%,0-0,-,0,3,3,1,1,0,0,8,11
@ HLA Alicante,26 mar 2021,P  85-60,1,1,0,8,0-2,0-0,0.0%,1-2,50.0%,0,1,1,0,0,0,0,1,-1
vs Fibwi Palma,20 mar 2021,G  94-76,2,0,0,3,1-2,0-0,50.0%,0-0,-,0,0,0,0,0,0,0,2,1
@ Alimerka Oviedo,6 mar 2021,P  88-83,9,5,2,19,3-6,1-1,57.1%,0-0,-,3,2,5,2,0,0,0,9,13
vs Caceres,27 feb 2021,G  68-46,18,4,0,21,6-6,1-4,70.0%,3-4,75.0%,0,4,4,0,1,2,0,18,17
@ Súper Agropal Palencia,12 feb 2021,G  66-76,6,3,0,8,2-4,0-0,50.0%,2-2,100.0%,1,2,3,0,0,0,0,6,7
vs Ourense,6 feb 2021,G  86-75,5,3,0,8,1-2,1-2,50.0%,0-0,-,1,2,3,0,1,1,1,5,7
@ Melilla Ciudad Del Deporte 1,29 ene 2021,P  78-75,6,2,0,7,2-4,0-0,50.0%,2-4,50.0%,1,1,2,0,0,0,1,6,5
@ Real Valladolid,3 ene 2021,G  67-78,0,1,0,2,0-0,0-0,-,0-0,-,0,1,1,0,0,0,0,0,1
vs UBU Tizona Burgos,22 dic 2020,P  83-88,10,4,0,12,4-8,0-0,50.0%,2-2,100.0%,2,2,4,0,1,0,0,10,11
vs Alimerka Oviedo,18 dic 2020,G  62-60,4,3,0,5,2-4,0-1,40.0%,0-0,-,3,0,3,0,0,0,0,4,4
@ Caceres,11 dic 2020,G  71-78,8,5,0,11,3-3,0-0,100.0%,2-2,100.0%,2,3,5,0,1,2,0,8,12
vs Rio Breogan,30 oct 2020,P  60-68,4,2,0,10,2-3,0-0,66.7%,0-0,-,1,1,2,0,0,1,1,4,5
