PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Amics Castello,16 may 2021,P  90-92,7,8,0,21,0-3,2-3,33.3%,1-2,50.0%,3,5,8,0,0,2,1,7,9
@ Almansa Con Afanion,9 may 2021,G  73-80,7,3,2,21,2-3,1-3,50.0%,0-2,0.0%,2,1,3,2,1,0,1,7,9
vs HLA Alicante,1 may 2021,G  71-64,0,6,1,15,0-2,0-2,0.0%,0-0,-,2,4,6,1,0,0,0,0,3
@ Fibwi Palma,23 abr 2021,G  65-75,5,4,0,20,1-4,1-5,22.2%,0-0,-,0,4,4,0,2,3,1,5,2
vs Coviran Granada,18 abr 2021,G  82-66,6,4,1,18,2-3,0-2,40.0%,2-4,50.0%,2,2,4,1,1,0,0,6,7
@ Amics Castello,9 abr 2021,G  77-78,4,6,0,12,2-3,0-2,40.0%,0-0,-,0,6,6,0,0,0,1,4,8
vs Almansa Con Afanion,4 abr 2021,G  89-73,9,4,3,23,3-4,1-4,50.0%,0-2,0.0%,1,3,4,3,1,2,2,9,11
@ Coviran Granada,31 mar 2021,P  74-65,5,1,2,14,2-3,0-2,40.0%,1-3,33.3%,1,0,1,2,0,2,0,5,1
@ HLA Alicante,26 mar 2021,P  85-60,11,5,2,32,0-6,3-9,20.0%,2-2,100.0%,2,3,5,2,0,2,0,11,4
vs Fibwi Palma,20 mar 2021,G  94-76,7,9,3,29,1-5,1-2,28.6%,2-4,50.0%,3,6,9,3,0,1,1,7,12
@ Alimerka Oviedo,6 mar 2021,P  88-83,0,0,1,15,0-2,0-3,0.0%,0-0,-,0,0,0,1,0,0,0,0,-4
vs Caceres,27 feb 2021,G  68-46,4,3,1,23,2-4,0-4,25.0%,0-0,-,1,2,3,1,0,2,1,4,1
@ Súper Agropal Palencia,12 feb 2021,G  66-76,6,2,0,19,3-5,0-1,50.0%,0-2,0.0%,1,1,2,0,2,2,0,6,3
vs Ourense,6 feb 2021,G  86-75,2,1,3,18,1-1,0-2,33.3%,0-2,0.0%,0,1,1,3,3,0,0,2,5
@ Melilla Ciudad Del Deporte 1,29 ene 2021,P  78-75,2,2,0,10,1-1,0-1,50.0%,0-2,0.0%,1,1,2,0,0,1,0,2,0
@ Rio Breogan,9 ene 2021,G  68-72,2,1,0,12,0-0,0-1,0.0%,2-4,50.0%,0,1,1,0,0,1,0,2,-1
@ Real Valladolid,3 ene 2021,G  67-78,2,4,0,17,0-4,0-5,0.0%,2-2,100.0%,2,2,4,0,0,0,0,2,-3
vs UBU Tizona Burgos,22 dic 2020,P  83-88,7,1,0,22,1-2,1-3,40.0%,2-4,50.0%,0,1,1,0,1,3,0,7,1
vs Alimerka Oviedo,18 dic 2020,G  62-60,6,4,0,21,2-3,0-5,25.0%,2-3,66.7%,2,2,4,0,1,1,0,6,3
@ Caceres,11 dic 2020,G  71-78,7,3,1,22,3-4,0-2,50.0%,1-1,100.0%,1,2,3,1,0,1,0,7,7
vs Súper Agropal Palencia,6 dic 2020,G  66-64,6,4,0,25,1-2,1-2,50.0%,1-3,33.3%,0,4,4,0,0,2,1,6,5
@ Ourense,20 nov 2020,G  71-88,3,2,0,26,0-1,1-2,33.3%,0-0,-,0,2,2,0,0,0,0,3,3
vs Melilla Ciudad Del Deporte 1,13 nov 2020,G  93-71,12,6,0,21,2-2,2-4,66.7%,2-2,100.0%,1,5,6,0,3,0,1,12,20
vs Rio Breogan,30 oct 2020,P  60-68,5,2,0,13,1-1,1-5,33.3%,0-0,-,0,2,2,0,0,5,1,5,-1
vs Real Valladolid,23 oct 2020,P  67-80,10,2,0,19,2-3,2-4,57.1%,0-0,-,1,1,2,0,2,1,0,10,10
@ UBU Tizona Burgos,16 oct 2020,G  50-78,7,1,0,17,2-3,1-3,50.0%,0-0,-,0,1,1,0,1,2,1,7,5
