PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Coviran Granada,16 may 2021,P  78-83,8,1,1,22,1-2,2-2,75.0%,0-0,-,0,1,1,1,1,1,0,8,9
@ Amics Castello,9 may 2021,P  85-62,2,0,1,18,1-4,0-1,20.0%,0-0,-,0,0,0,1,0,1,0,2,-2
vs Almansa Con Afanion,2 may 2021,G  92-87,9,1,5,17,0-0,3-3,100.0%,0-0,-,0,1,1,5,0,2,0,9,13
vs HLA Alicante,25 abr 2021,G  63-62,2,1,0,9,0-1,0-0,0.0%,2-2,100.0%,0,1,1,0,0,1,0,2,1
@ Fibwi Palma,18 abr 2021,P  80-77,0,0,3,11,0-1,0-1,0.0%,0-0,-,0,0,0,3,0,1,0,0,0
@ Coviran Granada,10 abr 2021,P  72-68,3,1,0,17,0-1,1-4,20.0%,0-0,-,0,1,1,0,0,1,0,3,-1
vs Amics Castello,4 abr 2021,G  91-77,5,4,1,20,1-2,1-3,40.0%,0-0,-,0,4,4,1,0,2,0,5,5
vs Fibwi Palma,1 abr 2021,G  105-67,10,4,3,22,1-3,2-4,42.9%,2-3,66.7%,1,3,4,3,1,0,0,10,13
@ Almansa Con Afanion,27 mar 2021,G  83-84,20,0,0,20,2-2,4-4,100.0%,4-4,100.0%,0,0,0,0,0,0,0,20,20
@ HLA Alicante,19 mar 2021,G  84-85,3,0,1,10,0-0,1-1,100.0%,0-0,-,0,0,0,1,1,0,0,3,5
vs Leyma Coruña,6 mar 2021,G  88-83,3,0,1,9,1-2,0-2,25.0%,1-2,50.0%,0,0,0,1,0,1,0,3,-1
