PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Hiopos Lleida,16 may 2021,G  67-61,8,6,4,27,1-2,2-4,50.0%,0-0,-,0,6,6,4,0,1,0,8,14
@ Basquet Girona,9 may 2021,P  77-63,8,5,1,26,1-5,1-6,18.2%,3-4,75.0%,1,4,5,1,1,3,0,8,2
vs Real Canoe N.C.,30 abr 2021,G  113-106,21,2,2,35,3-6,3-6,50.0%,6-6,100.0%,0,2,2,2,0,1,0,21,18
@ Levitec Huesca,23 abr 2021,P  81-70,13,0,1,26,1-2,1-4,33.3%,8-9,88.9%,0,0,0,1,2,3,0,13,8
vs Real Murcia,17 abr 2021,P  61-67,2,2,0,12,1-4,0-2,16.7%,0-0,-,1,1,2,0,0,3,0,2,-4
@ Hiopos Lleida,11 abr 2021,P  95-81,4,4,2,24,1-3,0-1,25.0%,2-2,100.0%,1,3,4,2,0,3,0,4,4
vs Basquet Girona,4 abr 2021,G  95-93,15,4,6,27,3-6,1-5,36.4%,6-9,66.7%,2,2,4,6,1,2,0,15,14
@ Real Murcia,31 mar 2021,G  65-68,4,2,4,31,0-5,1-1,16.7%,1-2,50.0%,0,2,2,4,2,3,0,4,3
@ Real Canoe N.C.,26 mar 2021,G  70-79,30,3,3,28,7-8,3-6,71.4%,7-12,58.3%,2,1,3,3,2,1,0,30,28
vs Levitec Huesca,19 mar 2021,G  85-78,19,5,0,22,5-10,2-2,58.3%,3-4,75.0%,3,2,5,0,0,1,0,19,17
@ Ourense,7 mar 2021,P  70-66,11,3,0,26,0-2,2-8,20.0%,5-5,100.0%,1,2,3,0,2,1,0,11,7
vs Real Valladolid,28 feb 2021,P  77-80,14,3,3,20,1-2,3-7,44.4%,3-3,100.0%,0,3,3,3,0,1,0,14,14
@ Rio Breogan,5 feb 2021,P  81-72,10,1,0,23,5-7,0-1,62.5%,0-0,-,0,1,1,0,0,0,0,10,8
@ Caceres,2 feb 2021,P  82-80,12,1,0,18,3-7,2-5,41.7%,0-1,0.0%,0,1,1,0,1,1,0,12,5
vs Leyma Coruña,29 ene 2021,G  78-75,19,2,2,27,2-5,4-6,54.5%,3-4,75.0%,1,1,2,2,1,1,0,19,17
vs Alimerka Oviedo,23 ene 2021,P  72-80,6,2,1,19,2-8,0-4,16.7%,2-4,50.0%,2,0,2,1,0,1,0,6,-4
@ UBU Tizona Burgos,15 ene 2021,G  88-90,26,5,3,30,1-3,5-7,60.0%,9-9,100.0%,0,5,5,3,0,4,0,26,26
vs Súper Agropal Palencia,22 dic 2020,P  58-71,16,1,1,26,1-4,3-6,40.0%,5-5,100.0%,0,1,1,1,1,1,0,16,12
vs Ourense,18 dic 2020,G  81-70,3,1,0,22,1-3,0-6,11.1%,1-2,50.0%,0,1,1,0,0,0,0,3,-5
@ Real Valladolid,13 dic 2020,P  89-84,11,5,4,37,2-4,2-6,40.0%,1-2,50.0%,0,5,5,4,1,2,0,11,12
vs Rio Breogan,20 nov 2020,G  74-67,7,7,2,30,0-2,2-9,18.2%,1-3,33.3%,0,7,7,2,0,0,0,7,5
@ Leyma Coruña,13 nov 2020,P  93-71,11,1,0,18,1-2,3-5,57.1%,0-0,-,0,1,1,0,0,2,0,11,7
vs UBU Tizona Burgos,6 nov 2020,G  93-88,15,7,4,26,2-2,3-5,71.4%,2-2,100.0%,1,6,7,4,0,0,0,15,24
@ Alimerka Oviedo,30 oct 2020,P  82-76,19,2,2,26,3-5,3-7,50.0%,4-4,100.0%,0,2,2,2,1,2,0,19,16
vs Caceres,23 oct 2020,P  74-75,5,5,1,16,1-2,1-3,40.0%,0-1,0.0%,1,4,5,1,1,2,0,5,6
@ Súper Agropal Palencia,16 oct 2020,P  81-50,10,1,1,22,2-3,2-3,66.7%,0-0,-,1,0,1,1,0,0,0,10,10
