PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Real Murcia,18 may 2021,P  77-78,6,5,0,24,0-0,2-6,33.3%,0-0,-,1,4,5,0,0,0,1,6,8
vs Real Canoe N.C.,16 may 2021,G  88-74,6,3,0,11,0-1,2-4,40.0%,0-0,-,1,2,3,0,0,0,0,6,6
@ Hiopos Lleida,12 may 2021,G  74-76,3,0,0,7,0-0,1-2,50.0%,0-0,-,0,0,0,0,0,2,0,3,0
@ Levitec Huesca,9 may 2021,P  103-64,3,2,0,26,0-1,1-2,33.3%,0-0,-,1,1,2,0,1,0,0,3,4
vs Levitec Huesca,5 may 2021,P  65-91,0,2,1,23,0-0,0-1,0.0%,0-0,-,1,1,2,1,0,0,0,0,2
vs Basquet Girona,18 abr 2021,G  73-71,14,5,1,30,1-4,4-6,50.0%,0-0,-,0,5,5,1,0,2,0,14,13
@ Real Canoe N.C.,9 abr 2021,G  70-90,11,3,1,15,1-1,3-6,57.1%,0-0,-,1,2,3,1,1,0,0,11,13
@ Basquet Girona,31 mar 2021,P  89-77,8,2,0,18,1-2,2-4,50.0%,0-0,-,0,2,2,0,0,0,0,8,7
@ Real Murcia,27 mar 2021,P  81-69,3,1,1,9,0-1,1-3,25.0%,0-0,-,0,1,1,1,0,1,0,3,1
vs Hiopos Lleida,21 mar 2021,G  88-77,3,1,0,12,0-2,1-7,11.1%,0-0,-,1,0,1,0,0,1,0,3,-5
vs Melilla Ciudad Del Deporte 1,7 mar 2021,G  70-66,12,4,0,23,0-1,4-5,66.7%,0-0,-,0,4,4,0,0,0,1,12,15
vs Rio Breogan,13 feb 2021,G  77-71,5,2,0,12,0-0,1-2,50.0%,2-2,100.0%,0,2,2,0,0,1,0,5,5
@ Leyma Coruña,6 feb 2021,P  86-75,0,0,0,4,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs UBU Tizona Burgos,30 ene 2021,G  89-70,3,3,1,13,0-0,1-3,33.3%,0-0,-,0,3,3,1,0,0,0,3,5
@ Súper Agropal Palencia,3 ene 2021,P  87-69,0,2,2,16,0-0,0-1,0.0%,0-0,-,1,1,2,2,0,1,0,0,2
vs Real Valladolid,22 dic 2020,P  78-88,6,1,0,14,0-2,2-4,33.3%,0-0,-,0,1,1,0,0,1,0,6,2
@ Melilla Ciudad Del Deporte 1,18 dic 2020,P  81-70,8,2,0,24,1-4,2-3,42.9%,0-0,-,2,0,2,0,1,1,0,8,6
@ Rio Breogan,5 dic 2020,P  79-71,6,1,0,16,0-0,2-3,66.7%,0-0,-,0,1,1,0,1,0,0,6,7
vs Leyma Coruña,20 nov 2020,P  71-88,3,1,0,17,0-1,1-2,33.3%,0-0,-,1,0,1,0,0,0,0,3,2
@ UBU Tizona Burgos,13 nov 2020,G  69-80,7,8,1,17,1-3,1-2,40.0%,2-2,100.0%,2,6,8,1,0,0,1,7,14
vs Alimerka Oviedo,6 nov 2020,P  69-82,2,5,0,16,1-2,0-0,50.0%,0-0,-,0,5,5,0,0,1,0,2,5
@ Caceres,30 oct 2020,P  75-66,3,1,1,18,0-0,1-3,33.3%,0-0,-,0,1,1,1,2,0,0,3,5
vs Súper Agropal Palencia,23 oct 2020,G  75-68,14,3,1,21,1-1,4-5,83.3%,0-0,-,2,1,3,1,0,1,0,14,16
@ Real Valladolid,16 oct 2020,P  89-87,8,3,0,25,0-0,2-4,50.0%,2-2,100.0%,1,2,3,0,1,3,0,8,7
