PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Algeciras,11 abr 2021,P  67-70,10,4,4,27,4-8,0-1,44.4%,2-3,66.7%,2,2,4,4,3,1,0,10,14
@ NCS Alcobendas,7 abr 2021,G  62-76,14,7,5,24,2-8,2-4,33.3%,4-5,80.0%,3,4,7,5,3,2,1,14,19
vs Clinica Ponferrada,3 abr 2021,G  87-85,16,10,2,37,7-17,0-3,35.0%,2-4,50.0%,5,5,10,2,4,4,1,16,14
@ CB Zamora,28 mar 2021,G  67-76,17,3,2,28,2-6,4-8,42.9%,1-2,50.0%,0,3,3,2,2,1,0,17,14
@ Zornotza,24 mar 2021,P  80-77,11,4,1,21,3-5,1-4,44.4%,2-2,100.0%,0,4,4,1,0,1,1,11,11
vs Rioverde Clavijo,20 mar 2021,P  66-75,16,5,2,30,5-10,1-8,33.3%,3-5,60.0%,2,3,5,2,2,1,0,16,10
@ C.B. Moron,27 feb 2021,P  81-80,14,7,1,36,5-11,1-3,42.9%,1-4,25.0%,3,4,7,1,1,2,0,14,10
@ Marbella,20 feb 2021,P  67-55,0,5,1,13,0-3,0-1,0.0%,0-0,-,1,4,5,1,0,2,0,0,0
vs Zentro Basket Madrid,13 feb 2021,G  75-68,14,6,1,25,3-5,2-4,55.6%,2-2,100.0%,1,5,6,1,2,0,0,14,19
vs Grupo Alega Cantabria,6 feb 2021,G  79-70,12,6,0,31,6-12,0-1,46.2%,0-0,-,1,5,6,0,2,0,1,12,14
vs Alimerka Oviedo,29 ene 2021,P  78-81,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs UBU Tizona Burgos,20 nov 2020,P  71-85,2,0,1,8,1-2,0-1,33.3%,0-0,-,0,0,0,1,2,1,0,2,2
vs Caceres,6 nov 2020,G  76-65,5,5,0,9,1-2,1-1,66.7%,0-0,-,2,3,5,0,1,3,0,5,7
@ Ourense,23 oct 2020,P  75-68,2,0,0,5,1-2,0-0,50.0%,0-0,-,0,0,0,0,0,0,0,2,1
vs Melilla Ciudad Del Deporte 1,16 oct 2020,G  81-50,0,0,0,10,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
