PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Real Valladolid,16 may 2021,P  85-73,5,3,3,18,1-4,1-2,33.3%,0-0,-,0,3,3,3,1,1,1,5,8
vs Súper Agropal Palencia,9 may 2021,G  69-67,6,5,0,27,3-7,0-3,30.0%,0-0,-,3,2,5,0,2,2,0,6,4
@ Rio Breogan,2 may 2021,P  97-66,16,6,0,30,4-7,2-3,60.0%,2-2,100.0%,1,5,6,0,1,3,0,16,16
vs Leyma Coruña,23 abr 2021,P  65-75,10,7,0,29,5-9,0-2,45.5%,0-0,-,2,5,7,0,1,2,0,10,10
vs Alimerka Oviedo,18 abr 2021,G  80-77,9,3,3,26,3-6,1-2,50.0%,0-0,-,1,2,3,3,0,0,0,9,11
@ Súper Agropal Palencia,4 abr 2021,G  73-77,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Alimerka Oviedo,1 abr 2021,P  105-67,4,1,0,8,2-3,0-0,66.7%,0-1,0.0%,0,1,1,0,0,1,0,4,2
vs Rio Breogan,28 mar 2021,P  74-76,17,4,1,37,3-5,1-3,50.0%,8-9,88.9%,0,4,4,1,3,2,0,17,18
@ Leyma Coruña,20 mar 2021,P  94-76,17,7,0,33,5-9,1-2,54.5%,4-4,100.0%,3,4,7,0,2,2,0,17,19
@ Real Murcia,7 mar 2021,G  63-68,12,5,3,34,2-3,2-4,57.1%,2-2,100.0%,0,5,5,3,2,2,1,12,18
@ Amics Castello,3 mar 2021,G  83-101,25,3,1,38,5-10,5-8,55.6%,0-0,-,2,1,3,1,0,0,1,25,22
vs Coviran Granada,28 feb 2021,P  66-69,9,4,1,30,3-6,1-2,50.0%,0-0,-,1,3,4,1,2,2,0,9,10
@ Almansa Con Afanion,13 feb 2021,G  64-75,13,4,3,23,4-6,0-1,57.1%,5-6,83.3%,3,1,4,3,1,0,0,13,17
vs Levitec Huesca,7 feb 2021,G  68-61,4,4,3,25,2-5,0-1,33.3%,0-0,-,0,4,4,3,2,3,0,4,6
@ Levitec Huesca,23 ene 2021,G  66-73,2,6,4,30,1-5,0-3,12.5%,0-0,-,2,4,6,4,2,3,0,2,4
@ Hiopos Lleida,19 ene 2021,P  91-78,17,4,0,35,4-7,3-8,46.7%,0-0,-,1,3,4,0,3,3,0,17,13
vs HLA Alicante,10 ene 2021,G  80-69,18,5,0,35,4-9,1-3,41.7%,7-8,87.5%,2,3,5,0,2,3,0,18,14
@ Basquet Girona,3 ene 2021,G  80-83,0,4,0,25,0-1,0-2,0.0%,0-0,-,2,2,4,0,2,2,0,0,1
vs Real Canoe N.C.,22 dic 2020,G  100-99,18,9,1,46,5-8,2-4,58.3%,2-4,50.0%,3,6,9,1,3,4,0,18,20
vs Real Murcia,18 dic 2020,G  77-72,16,9,1,34,6-10,0-4,42.9%,4-4,100.0%,4,5,9,1,2,0,0,16,20
@ Coviran Granada,12 dic 2020,G  63-70,15,7,0,34,3-5,2-3,62.5%,3-4,75.0%,1,6,7,0,2,0,0,15,20
vs Almansa Con Afanion,6 dic 2020,P  73-97,11,8,3,34,4-7,1-4,45.5%,0-0,-,0,8,8,3,3,4,0,11,15
vs Amics Castello,13 nov 2020,P  73-79,7,4,3,31,2-5,1-6,27.3%,0-0,-,2,2,4,3,1,2,0,7,5
vs Hiopos Lleida,6 nov 2020,G  82-71,12,10,4,34,6-7,0-2,66.7%,0-0,-,4,6,10,4,1,2,1,12,23
@ HLA Alicante,30 oct 2020,P  96-89,8,6,4,28,3-9,0-0,33.3%,2-2,100.0%,4,2,6,4,1,1,0,8,12
vs Basquet Girona,23 oct 2020,P  78-81,16,10,7,31,6-9,1-1,70.0%,1-2,50.0%,4,6,10,7,3,4,0,16,28
@ Real Canoe N.C.,16 oct 2020,P  91-83,9,4,3,29,2-6,1-1,42.9%,2-2,100.0%,2,2,4,3,0,2,0,9,10
