PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Real Valladolid,16 may 2021,P  85-73,0,0,0,11,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Súper Agropal Palencia,9 may 2021,G  69-67,0,0,0,5,0-0,0-0,-,0-2,0.0%,0,0,0,0,0,0,0,0,-2
@ Rio Breogan,2 may 2021,P  97-66,0,0,0,5,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Alimerka Oviedo,18 abr 2021,G  80-77,0,0,0,4,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Real Valladolid,11 abr 2021,G  98-81,0,0,0,5,0-0,0-0,-,0-0,-,0,0,0,0,0,1,0,0,-1
@ Súper Agropal Palencia,4 abr 2021,G  73-77,2,0,0,8,1-1,0-0,100.0%,0-0,-,0,0,0,0,0,0,0,2,2
@ Alimerka Oviedo,1 abr 2021,P  105-67,8,1,0,7,3-3,0-1,75.0%,2-2,100.0%,1,0,1,0,0,0,0,8,8
vs Rio Breogan,28 mar 2021,P  74-76,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Leyma Coruña,20 mar 2021,P  94-76,4,1,0,4,2-2,0-0,100.0%,0-0,-,1,0,1,0,0,0,0,4,5
@ Real Murcia,7 mar 2021,G  63-68,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Amics Castello,3 mar 2021,G  83-101,2,0,0,4,1-1,0-0,100.0%,0-0,-,0,0,0,0,0,0,0,2,2
vs Coviran Granada,28 feb 2021,P  66-69,0,0,0,1,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
@ Almansa Con Afanion,13 feb 2021,G  64-75,0,1,0,3,0-0,0-0,-,0-0,-,1,0,1,0,0,0,0,0,1
@ Levitec Huesca,23 ene 2021,G  66-73,5,2,1,6,1-1,1-2,66.7%,0-0,-,0,2,2,1,0,1,0,5,6
@ Hiopos Lleida,19 ene 2021,P  91-78,6,3,0,12,1-1,1-2,66.7%,1-2,50.0%,2,1,3,0,0,0,0,6,7
vs HLA Alicante,10 ene 2021,G  80-69,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Basquet Girona,3 ene 2021,G  80-83,0,1,0,5,0-0,0-1,0.0%,0-0,-,0,1,1,0,0,0,0,0,0
vs Real Canoe N.C.,22 dic 2020,G  100-99,5,1,0,6,1-2,1-1,66.7%,0-0,-,1,0,1,0,0,0,0,5,5
vs Real Murcia,18 dic 2020,G  77-72,3,0,0,4,0-0,1-1,100.0%,0-0,-,0,0,0,0,0,1,0,3,2
@ Coviran Granada,12 dic 2020,G  63-70,2,3,0,8,1-1,0-1,50.0%,0-0,-,1,2,3,0,0,0,0,2,4
vs Almansa Con Afanion,6 dic 2020,P  73-97,7,3,2,19,2-4,1-3,42.9%,0-0,-,3,0,3,2,0,1,0,7,7
vs Amics Castello,13 nov 2020,P  73-79,5,4,1,23,1-1,1-2,66.7%,0-0,-,1,3,4,1,1,0,0,5,10
vs Hiopos Lleida,6 nov 2020,G  82-71,1,1,0,6,0-1,0-1,0.0%,1-2,50.0%,0,1,1,0,1,1,0,1,-1
@ HLA Alicante,30 oct 2020,P  96-89,10,4,1,22,2-4,2-4,50.0%,0-0,-,3,1,4,1,0,0,0,10,11
vs Basquet Girona,23 oct 2020,P  78-81,4,1,1,8,2-2,0-1,66.7%,0-0,-,0,1,1,1,0,1,0,4,4
@ Real Canoe N.C.,16 oct 2020,P  91-83,5,1,0,6,0-1,1-1,50.0%,2-2,100.0%,0,1,1,0,0,0,0,5,5
