PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Real Valladolid,16 may 2021,P  85-73,20,1,1,25,8-11,0-4,53.3%,4-4,100.0%,0,1,1,1,3,2,0,20,16
vs Súper Agropal Palencia,9 may 2021,G  69-67,21,1,1,36,4-8,3-8,43.8%,4-4,100.0%,1,0,1,1,3,3,0,21,14
@ Rio Breogan,2 may 2021,P  97-66,7,2,1,29,0-5,2-2,28.6%,1-2,50.0%,0,2,2,1,1,3,0,7,2
vs Leyma Coruña,23 abr 2021,P  65-75,18,4,2,31,3-7,3-10,35.3%,3-3,100.0%,1,3,4,2,3,3,0,18,13
vs Alimerka Oviedo,18 abr 2021,G  80-77,25,7,3,30,5-9,3-7,50.0%,6-6,100.0%,1,6,7,3,4,4,0,25,27
vs Real Valladolid,11 abr 2021,G  98-81,16,5,5,29,4-9,2-7,37.5%,2-2,100.0%,2,3,5,5,3,1,0,16,18
@ Súper Agropal Palencia,4 abr 2021,G  73-77,9,5,2,33,3-8,1-3,36.4%,0-1,0.0%,0,5,5,2,0,2,0,9,6
@ Alimerka Oviedo,1 abr 2021,P  105-67,10,5,1,34,1-4,2-7,27.3%,2-2,100.0%,1,4,5,1,0,4,0,10,4
vs Rio Breogan,28 mar 2021,P  74-76,13,1,1,28,4-4,1-5,55.6%,2-2,100.0%,0,1,1,1,1,4,0,13,8
@ Leyma Coruña,20 mar 2021,P  94-76,17,3,1,37,4-9,3-6,46.7%,0-0,-,1,2,3,1,1,2,0,17,12
@ Real Murcia,7 mar 2021,G  63-68,10,1,2,29,3-3,1-5,50.0%,1-1,100.0%,0,1,1,2,3,2,0,10,10
@ Amics Castello,3 mar 2021,G  83-101,14,8,1,23,5-7,1-3,60.0%,1-2,50.0%,3,5,8,1,1,1,0,14,18
vs Coviran Granada,28 feb 2021,P  66-69,25,3,1,37,3-7,6-15,40.9%,1-1,100.0%,1,2,3,1,2,3,1,25,16
@ Almansa Con Afanion,13 feb 2021,G  64-75,19,4,1,29,4-7,3-6,53.8%,2-2,100.0%,0,4,4,1,2,1,0,19,19
vs Levitec Huesca,7 feb 2021,G  68-61,17,1,1,32,3-9,2-5,35.7%,5-5,100.0%,0,1,1,1,0,2,0,17,8
@ Levitec Huesca,23 ene 2021,G  66-73,13,8,2,29,4-12,0-3,26.7%,5-6,83.3%,1,7,8,2,1,2,0,13,10
@ Hiopos Lleida,19 ene 2021,P  91-78,10,3,0,15,3-6,1-4,40.0%,1-1,100.0%,1,2,3,0,1,0,0,10,8
vs HLA Alicante,10 ene 2021,G  80-69,14,3,4,34,4-9,0-5,28.6%,6-7,85.7%,2,1,3,4,2,1,0,14,11
@ Basquet Girona,3 ene 2021,G  80-83,13,2,1,22,1-2,2-4,50.0%,5-6,83.3%,1,1,2,1,0,3,0,13,9
vs Real Canoe N.C.,22 dic 2020,G  100-99,22,13,7,41,4-8,2-8,37.5%,8-9,88.9%,0,13,13,7,1,6,0,22,26
vs Real Murcia,18 dic 2020,G  77-72,12,1,2,26,4-8,1-4,41.7%,1-1,100.0%,0,1,1,2,1,2,0,12,7
@ Coviran Granada,12 dic 2020,G  63-70,14,3,4,32,3-7,1-7,28.6%,5-6,83.3%,0,3,3,4,4,1,0,14,13
vs Almansa Con Afanion,6 dic 2020,P  73-97,20,1,2,26,5-9,2-5,50.0%,4-6,66.7%,0,1,1,2,2,1,0,20,15
vs Amics Castello,13 nov 2020,P  73-79,19,4,4,34,5-9,2-8,41.2%,3-4,75.0%,2,2,4,4,2,4,0,19,14
vs Hiopos Lleida,6 nov 2020,G  82-71,19,2,3,29,2-5,3-6,45.5%,6-6,100.0%,0,2,2,3,1,2,0,19,17
@ HLA Alicante,30 oct 2020,P  96-89,16,2,5,29,4-9,1-7,31.3%,5-5,100.0%,0,2,2,5,0,2,0,16,10
vs Basquet Girona,23 oct 2020,P  78-81,13,2,3,32,1-4,2-7,27.3%,5-5,100.0%,0,2,2,3,1,4,0,13,7
@ Real Canoe N.C.,16 oct 2020,P  91-83,27,2,4,38,7-8,3-8,62.5%,4-6,66.7%,0,2,2,4,1,3,0,27,23
