PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Ourense,18 may 2021,G  77-78,5,2,0,24,1-2,0-0,50.0%,3-4,75.0%,0,2,2,0,0,1,0,5,4
@ UBU Tizona Burgos,16 may 2021,G  75-88,16,11,0,30,7-8,0-0,87.5%,2-2,100.0%,6,5,11,0,1,0,0,16,27
vs Caceres,24 abr 2021,G  80-64,12,4,0,21,4-6,0-0,66.7%,4-6,66.7%,3,1,4,0,0,2,0,12,10
@ Melilla Ciudad Del Deporte 1,17 abr 2021,G  61-67,6,3,0,30,2-7,0-0,28.6%,2-2,100.0%,1,2,3,0,1,3,0,6,2
vs UBU Tizona Burgos,10 abr 2021,G  102-71,8,6,0,27,2-4,0-0,50.0%,4-5,80.0%,1,5,6,0,0,1,0,8,10
vs Melilla Ciudad Del Deporte 1,31 mar 2021,P  65-68,12,6,0,30,3-13,0-0,23.1%,6-6,100.0%,1,5,6,0,1,0,2,12,11
vs Ourense,27 mar 2021,G  81-69,12,4,0,25,4-5,0-0,80.0%,4-4,100.0%,2,2,4,0,0,0,1,12,16
@ Caceres,19 mar 2021,P  74-68,17,10,0,32,6-11,0-0,54.5%,5-6,83.3%,4,6,10,0,0,0,0,17,21
vs Fibwi Palma,7 mar 2021,P  63-68,10,6,1,27,4-5,0-0,80.0%,2-2,100.0%,1,5,6,1,0,4,0,10,12
@ HLA Alicante,28 feb 2021,G  81-105,15,7,0,20,6-7,0-0,85.7%,3-5,60.0%,3,4,7,0,0,1,0,15,18
vs Coviran Granada,23 feb 2021,P  68-80,12,6,3,31,3-5,0-0,60.0%,6-8,75.0%,5,1,6,3,2,3,0,12,16
vs Basquet Girona,14 feb 2021,G  93-87,13,13,0,32,4-8,0-0,50.0%,5-7,71.4%,4,9,13,0,0,2,1,13,19
@ Almansa Con Afanion,10 feb 2021,P  86-79,18,7,0,31,7-8,0-0,87.5%,4-5,80.0%,2,5,7,0,0,2,0,18,21
@ Real Canoe N.C.,5 feb 2021,P  69-64,5,3,2,23,2-5,0-0,40.0%,1-2,50.0%,2,1,3,2,2,2,1,5,7
vs Hiopos Lleida,30 ene 2021,P  57-66,8,6,1,26,3-5,0-0,60.0%,2-2,100.0%,2,4,6,1,2,2,0,8,13
vs Levitec Huesca,3 ene 2021,G  68-65,1,6,0,16,0-0,0-0,-,1-4,25.0%,2,4,6,0,0,2,0,1,2
@ Amics Castello,22 dic 2020,P  88-83,11,8,0,25,4-6,0-1,57.1%,3-4,75.0%,0,8,8,0,1,1,0,11,15
@ Fibwi Palma,18 dic 2020,P  77-72,13,9,3,30,6-7,0-0,85.7%,1-2,50.0%,4,5,9,3,0,2,2,13,23
vs HLA Alicante,12 dic 2020,P  65-71,8,4,0,29,3-6,0-0,50.0%,2-2,100.0%,1,3,4,0,1,2,0,8,8
@ Basquet Girona,5 dic 2020,P  75-63,8,8,1,29,3-5,0-0,60.0%,2-2,100.0%,2,6,8,1,0,3,0,8,12
vs Real Canoe N.C.,20 nov 2020,G  76-67,14,4,0,27,6-11,0-0,54.5%,2-2,100.0%,1,3,4,0,1,5,0,14,9
@ Hiopos Lleida,13 nov 2020,P  78-55,6,8,0,23,3-6,0-0,50.0%,0-2,0.0%,3,5,8,0,0,2,2,6,9
@ Coviran Granada,6 nov 2020,P  73-67,10,11,0,26,3-8,0-1,33.3%,4-8,50.0%,7,4,11,0,1,1,0,10,11
vs Almansa Con Afanion,30 oct 2020,G  65-63,1,6,0,24,0-0,0-1,0.0%,1-2,50.0%,4,2,6,0,2,0,0,1,7
@ Levitec Huesca,23 oct 2020,G  69-82,18,2,1,27,5-6,0-0,83.3%,8-8,100.0%,1,1,2,1,0,3,0,18,17
vs Amics Castello,16 oct 2020,P  58-86,10,4,1,16,3-3,0-0,100.0%,4-5,80.0%,4,0,4,1,0,1,0,10,13
