PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ BK Amager,29 mar 2021,G  72-91,5,4,2,23,1-2,1-3,40.0%,0-0,-,3,1,4,2,3,2,0,5,9
vs Horsens IC,24 mar 2021,P  76-93,0,1,4,25,0-0,0-4,0.0%,0-0,-,0,1,1,4,1,1,0,0,1
vs BC Copenhagen,18 mar 2021,G  74-52,9,3,3,28,1-1,2-3,75.0%,1-4,25.0%,1,2,3,3,2,7,0,9,6
vs Bakken Bears,12 mar 2021,P  85-86,2,3,3,16,1-3,0-1,25.0%,0-0,-,0,3,3,3,2,1,0,2,6
@ Horsens IC,10 feb 2021,G  80-96,3,3,4,28,0-0,1-3,33.3%,0-0,-,2,1,3,4,2,1,0,3,9
@ Randers Cimbria,3 feb 2021,G  78-83,8,1,4,29,1-2,1-3,40.0%,3-3,100.0%,0,1,1,4,2,4,0,8,8
vs Svendborg Rabbits,28 ene 2021,P  77-81,3,3,6,29,0-2,1-5,14.3%,0-0,-,1,2,3,6,2,4,0,3,4
@ Bakken Bears,23 ene 2021,P  110-88,2,1,14,33,1-3,0-0,33.3%,0-0,-,0,1,1,14,4,6,0,2,13
vs Bears Academy,17 ene 2021,G  88-81,7,5,10,30,0-0,2-2,100.0%,1-2,50.0%,0,5,5,10,3,0,0,7,24
@ Amics Castello,22 dic 2020,P  88-83,0,0,0,11,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,1,0,0,-2
@ Fibwi Palma,18 dic 2020,P  77-72,0,0,1,6,0-0,0-0,-,0-0,-,0,0,0,1,0,1,0,0,0
vs HLA Alicante,12 dic 2020,P  65-71,0,0,1,8,0-0,0-2,0.0%,0-0,-,0,0,0,1,0,1,0,0,-2
@ Basquet Girona,5 dic 2020,P  75-63,0,0,0,14,0-0,0-3,0.0%,0-0,-,0,0,0,0,0,1,0,0,-4
vs Real Canoe N.C.,20 nov 2020,G  76-67,0,1,0,12,0-2,0-0,0.0%,0-0,-,0,1,1,0,0,0,0,0,-1
@ Hiopos Lleida,13 nov 2020,P  78-55,2,1,2,17,1-3,0-1,25.0%,0-0,-,1,0,1,2,0,3,0,2,-1
@ Coviran Granada,6 nov 2020,P  73-67,3,1,0,16,0-0,1-2,50.0%,0-0,-,0,1,1,0,0,1,0,3,2
vs Almansa Con Afanion,30 oct 2020,G  65-63,0,1,1,10,0-1,0-0,0.0%,0-0,-,1,0,1,1,0,0,0,0,1
@ Levitec Huesca,23 oct 2020,G  69-82,1,1,0,15,0-0,0-0,-,1-2,50.0%,1,0,1,0,0,2,0,1,-1
vs Amics Castello,16 oct 2020,P  58-86,2,1,3,10,1-2,0-1,33.3%,0-0,-,1,0,1,3,2,0,0,2,6
