PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Real Murcia,16 may 2021,P  75-88,5,3,2,23,1-1,0-2,33.3%,3-4,75.0%,0,3,3,2,0,0,0,5,7
@ Hiopos Lleida,9 may 2021,P  91-77,3,1,0,17,0-0,1-2,50.0%,0-0,-,0,1,1,0,0,2,0,3,1
vs Basquet Girona,30 abr 2021,G  78-69,1,0,2,5,0-0,0-0,-,1-2,50.0%,0,0,0,2,0,0,0,1,2
@ Real Canoe N.C.,23 abr 2021,P  90-82,0,0,1,4,0-1,0-0,0.0%,0-0,-,0,0,0,1,1,1,0,0,0
vs Levitec Huesca,16 abr 2021,G  82-75,0,0,2,9,0-0,0-1,0.0%,0-0,-,0,0,0,2,0,1,0,0,0
@ Real Murcia,10 abr 2021,P  102-71,2,1,0,16,1-2,0-2,25.0%,0-0,-,0,1,1,0,0,1,0,2,-1
@ Levitec Huesca,7 abr 2021,P  87-76,2,0,1,12,1-4,0-0,25.0%,0-1,0.0%,0,0,0,1,0,0,0,2,-1
vs Hiopos Lleida,4 abr 2021,G  91-81,4,0,1,4,0-0,1-2,50.0%,1-1,100.0%,0,0,0,1,0,0,0,4,4
vs Real Canoe N.C.,19 mar 2021,G  89-63,3,0,0,8,0-1,1-2,33.3%,0-0,-,0,0,0,0,0,0,0,3,1
vs Alimerka Oviedo,26 feb 2021,P  71-78,2,1,0,10,1-1,0-0,100.0%,0-0,-,0,1,1,0,0,2,0,2,1
@ Caceres,12 feb 2021,P  89-77,5,2,1,12,1-1,0-1,50.0%,3-3,100.0%,1,1,2,1,0,0,0,5,7
vs Súper Agropal Palencia,5 feb 2021,P  79-86,2,0,0,7,1-1,0-0,100.0%,0-0,-,0,0,0,0,1,1,0,2,2
@ Ourense,30 ene 2021,P  89-70,0,0,1,4,0-0,0-0,-,0-0,-,0,0,0,1,0,0,0,0,1
@ Leyma Coruña,22 dic 2020,G  83-88,4,1,0,5,2-2,0-0,100.0%,0-0,-,1,0,1,0,0,0,0,4,5
vs Real Valladolid,18 dic 2020,G  92-91,3,0,0,12,1-1,0-1,50.0%,1-3,33.3%,0,0,0,0,0,2,0,3,-2
@ Alimerka Oviedo,12 dic 2020,P  90-73,3,2,0,7,1-1,0-1,50.0%,1-2,50.0%,1,1,2,0,0,0,0,3,3
@ Súper Agropal Palencia,20 nov 2020,G  71-85,0,0,1,4,0-0,0-0,-,0-0,-,0,0,0,1,0,0,0,0,1
vs Ourense,13 nov 2020,P  69-80,4,0,0,5,2-2,0-0,100.0%,0-0,-,0,0,0,0,0,2,1,4,3
@ Rio Breogan,23 oct 2020,P  90-53,2,1,0,11,1-3,0-1,25.0%,0-2,0.0%,0,1,1,0,2,1,0,2,-1
