PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Ibersol CB Tarragona,11 abr 2021,P  55-64,12,4,0,28,4-10,1-1,45.5%,1-2,50.0%,1,3,4,0,0,2,0,12,7
@ Navarra,7 abr 2021,P  57-53,14,13,1,34,7-14,0-1,46.7%,0-0,-,3,10,13,1,1,2,0,14,19
vs Maderas Sorli Benicarlo,3 abr 2021,P  62-74,7,5,2,31,2-7,0-2,22.2%,3-6,50.0%,1,4,5,2,0,4,0,7,0
@ CBA Gran Canaria,28 mar 2021,G  79-87,14,9,2,31,5-6,1-1,85.7%,1-1,100.0%,4,5,9,2,0,3,1,14,22
vs Albacete,24 mar 2021,G  64-59,19,7,1,29,1-5,2-4,33.3%,11-14,78.6%,3,4,7,1,1,1,0,19,18
vs Cornella,21 mar 2021,G  71-60,4,5,1,17,1-5,0-0,20.0%,2-4,50.0%,2,3,5,1,0,1,2,4,5
vs FC Barcelona II,17 mar 2021,G  71-60,16,6,2,31,5-10,1-3,46.2%,3-5,60.0%,2,4,6,2,1,1,0,16,15
@ L'Hospitalet,13 mar 2021,P  61-59,11,6,1,32,5-9,0-1,50.0%,1-2,50.0%,3,3,6,1,2,2,2,11,14
@ Villarrobledo,3 mar 2021,P  68-65,8,5,2,32,2-11,0-0,18.2%,4-5,80.0%,3,2,5,2,1,3,0,8,3
@ Pardinyes Lleida,27 feb 2021,P  78-75,7,1,0,19,1-2,0-0,50.0%,5-6,83.3%,0,1,1,0,0,3,0,7,3
@ C.B. Prat,10 feb 2021,P  92-75,9,6,0,25,2-6,0-0,33.3%,5-6,83.3%,1,5,6,0,0,2,0,9,8
vs Hestia Menorca,7 feb 2021,P  55-64,7,9,0,29,2-3,0-1,50.0%,3-6,50.0%,2,7,9,0,0,1,0,7,10
vs CBA Gran Canaria,31 ene 2021,G  88-83,8,3,1,14,4-5,0-1,66.7%,0-0,-,2,1,3,1,0,0,0,8,10
vs La Roda,17 ene 2021,G  71-61,6,11,1,34,2-6,0-4,20.0%,2-2,100.0%,2,9,11,1,1,2,1,6,10
@ Ibersol CB Tarragona,9 ene 2021,P  73-67,13,2,1,34,3-6,0-0,50.0%,7-10,70.0%,1,1,2,1,1,4,0,13,7
vs Navarra,3 ene 2021,G  70-64,20,1,0,35,6-7,0-2,66.7%,8-9,88.9%,1,0,1,0,0,2,0,20,15
@ Maderas Sorli Benicarlo,22 dic 2020,P  73-71,14,6,1,32,5-7,1-2,66.7%,1-2,50.0%,2,4,6,1,1,3,0,14,15
@ Cornella,13 dic 2020,G  67-83,7,3,1,24,2-5,1-1,50.0%,0-0,-,1,2,3,1,0,2,1,7,7
vs L'Hospitalet,6 dic 2020,G  63-55,4,5,0,23,2-8,0-0,25.0%,0-0,-,1,4,5,0,0,0,0,4,3
@ Súper Agropal Palencia,20 nov 2020,G  71-85,2,2,1,10,1-4,0-1,20.0%,0-0,-,1,1,2,1,0,0,0,2,1
vs Ourense,13 nov 2020,P  69-80,0,1,0,4,0-0,0-1,0.0%,0-0,-,1,0,1,0,0,1,0,0,-1
@ Melilla Ciudad Del Deporte 1,6 nov 2020,P  93-88,7,3,0,14,2-3,1-1,75.0%,0-0,-,2,1,3,0,0,0,0,7,9
@ Rio Breogan,23 oct 2020,P  90-53,5,3,0,24,2-2,0-1,66.7%,1-6,16.7%,1,2,3,0,1,3,0,5,0
vs Leyma Coruña,16 oct 2020,P  50-78,0,0,0,3,0-1,0-0,0.0%,0-0,-,0,0,0,0,1,0,0,0,0
