PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Amics Castello,20 may 2022,G  92-93,12,6,1,30,1-2,3-4,66.7%,1-3,33.3%,2,4,6,1,0,1,0,12,14
vs C.B. Prat,13 may 2022,G  70-63,0,2,0,13,0-0,0-2,0.0%,0-0,-,2,0,2,0,0,0,0,0,0
@ Biele ISB,8 may 2022,P  75-66,0,4,1,12,0-1,0-2,0.0%,0-0,-,2,2,4,1,1,0,1,0,4
vs HLA Alicante,2 may 2022,G  72-68,4,2,1,20,1-2,0-4,16.7%,2-4,50.0%,0,2,2,1,0,1,0,4,-1
@ Movistar Estudiantes,24 abr 2022,P  87-65,8,3,1,23,1-4,2-6,30.0%,0-0,-,2,1,3,1,0,0,0,8,5
vs Melilla Ciudad Del Deporte 1,17 abr 2022,P  61-67,0,0,0,6,0-0,0-2,0.0%,0-0,-,0,0,0,0,0,0,0,0,-2
@ Coviran Granada,13 abr 2022,G  71-75,2,2,1,10,1-1,0-1,50.0%,0-0,-,0,2,2,1,0,0,0,2,4
@ Hiopos Lleida,8 abr 2022,P  96-84,13,1,0,16,1-2,3-5,57.1%,2-2,100.0%,1,0,1,0,1,0,0,13,12
vs Alimerka Oviedo,31 mar 2022,G  79-77,12,7,1,20,3-3,2-5,62.5%,0-0,-,1,6,7,1,0,0,1,12,18
@ Basquet Girona,27 mar 2022,P  91-88,20,7,1,27,4-5,4-6,72.7%,0-0,-,0,7,7,1,0,1,0,20,24
vs Súper Agropal Palencia,20 mar 2022,P  68-74,0,2,1,17,0-3,0-3,0.0%,0-0,-,0,2,2,1,2,1,0,0,-2
@ Levitec Huesca,16 mar 2022,P  85-68,4,4,0,11,2-5,0-2,28.6%,0-0,-,3,1,4,0,2,0,0,4,5
@ Fibwi Palma,13 mar 2022,P  85-67,0,2,1,15,0-2,0-3,0.0%,0-0,-,1,1,2,1,0,1,0,0,-3
vs Leyma Coruña,6 mar 2022,G  62-49,6,9,2,26,1-3,1-5,25.0%,1-2,50.0%,5,4,9,2,1,1,1,6,11
vs Biele ISB,13 feb 2022,G  80-70,4,1,0,13,2-2,0-2,50.0%,0-0,-,1,0,1,0,1,0,0,4,4
vs Movistar Estudiantes,9 feb 2022,P  54-72,5,1,0,16,1-3,1-5,25.0%,0-0,-,0,1,1,0,0,0,0,5,0
vs Real Valladolid,6 feb 2022,G  85-71,6,4,0,20,3-3,0-2,60.0%,0-0,-,3,1,4,0,1,0,1,6,10
@ Caceres,2 feb 2022,P  68-67,0,1,2,17,0-1,0-2,0.0%,0-0,-,1,0,1,2,2,0,1,0,3
vs Almansa Con Afanion,30 ene 2022,G  101-78,8,2,0,20,1-1,2-2,100.0%,0-0,-,1,1,2,0,1,1,0,8,10
vs Amics Castello,23 ene 2022,P  69-77,19,3,0,26,5-8,2-3,63.6%,3-4,75.0%,1,2,3,0,0,1,0,19,16
@ C.B. Prat,16 ene 2022,G  70-81,8,1,1,23,4-5,0-0,80.0%,0-0,-,0,1,1,1,1,0,0,8,10
@ HLA Alicante,29 dic 2021,G  87-91,10,0,1,21,3-3,1-2,80.0%,1-2,50.0%,0,0,0,1,0,0,0,10,9
@ Melilla Ciudad Del Deporte 1,17 dic 2021,G  71-79,0,6,2,18,0-2,0-0,0.0%,0-0,-,0,6,6,2,0,0,0,0,6
vs Hiopos Lleida,12 dic 2021,P  73-81,6,3,0,13,0-0,2-6,33.3%,0-0,-,1,2,3,0,0,0,0,6,5
@ Alimerka Oviedo,5 dic 2021,P  89-76,5,3,0,26,1-1,1-3,50.0%,0-0,-,0,3,3,0,0,0,0,5,6
vs Basquet Girona,21 nov 2021,G  85-81,4,2,1,16,2-3,0-2,40.0%,0-0,-,1,1,2,1,0,0,0,4,4
@ Súper Agropal Palencia,13 nov 2021,P  85-73,5,4,0,24,1-3,1-1,50.0%,0-0,-,1,3,4,0,0,0,0,5,7
vs Levitec Huesca,10 nov 2021,G  95-68,17,3,1,23,4-5,3-4,77.8%,0-0,-,1,2,3,1,0,0,0,17,19
vs Fibwi Palma,7 nov 2021,G  92-65,5,5,0,15,1-3,1-2,40.0%,0-0,-,1,4,5,0,0,0,0,5,7
@ Leyma Coruña,30 oct 2021,P  92-62,3,4,2,22,0-2,1-3,20.0%,0-0,-,3,1,4,2,0,1,0,3,4
vs Coviran Granada,24 oct 2021,P  50-76,6,3,2,21,0-0,2-3,66.7%,0-0,-,0,3,3,2,0,1,0,6,9
@ Real Valladolid,17 oct 2021,G  89-99,10,1,0,21,2-2,2-3,80.0%,0-0,-,0,1,1,0,0,1,0,10,9
vs Caceres,12 oct 2021,P  74-76,0,2,0,18,0-4,0-2,0.0%,0-0,-,2,0,2,0,0,0,0,0,-4
@ Almansa Con Afanion,9 oct 2021,G  76-105,5,2,2,22,0-0,1-3,33.3%,2-2,100.0%,0,2,2,2,2,0,0,5,9
