PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Amics Castello,20 may 2022,G  92-93,0,2,4,9,0-0,0-1,0.0%,0-0,-,0,2,2,4,0,0,0,0,5
vs C.B. Prat,13 may 2022,G  70-63,1,3,2,17,0-0,0-4,0.0%,1-2,50.0%,0,3,3,2,1,4,0,1,-2
@ Biele ISB,8 may 2022,P  75-66,4,7,2,26,0-2,1-3,20.0%,1-2,50.0%,1,6,7,2,0,2,0,4,6
vs HLA Alicante,2 may 2022,G  72-68,2,4,0,19,1-1,0-0,100.0%,0-0,-,0,4,4,0,1,0,1,2,8
@ Movistar Estudiantes,24 abr 2022,P  87-65,2,3,2,17,1-1,0-2,33.3%,0-0,-,0,3,3,2,0,1,0,2,4
vs Melilla Ciudad Del Deporte 1,17 abr 2022,P  61-67,2,3,4,19,1-2,0-4,16.7%,0-0,-,1,2,3,4,0,1,0,2,3
@ Coviran Granada,13 abr 2022,G  71-75,0,3,3,21,0-0,0-0,-,0-0,-,0,3,3,3,0,2,1,0,5
@ Hiopos Lleida,8 abr 2022,P  96-84,5,4,3,18,1-1,1-3,50.0%,0-0,-,1,3,4,3,1,2,1,5,10
vs Alimerka Oviedo,31 mar 2022,G  79-77,7,2,6,21,2-3,0-0,66.7%,3-4,75.0%,1,1,2,6,1,1,0,7,13
@ Basquet Girona,27 mar 2022,P  91-88,6,4,0,15,3-6,0-1,42.9%,0-0,-,0,4,4,0,0,2,0,6,4
vs Súper Agropal Palencia,20 mar 2022,P  68-74,2,3,1,20,1-2,0-2,25.0%,0-0,-,2,1,3,1,1,4,0,2,0
@ Levitec Huesca,16 mar 2022,P  85-68,2,3,1,17,0-1,0-0,0.0%,2-2,100.0%,0,3,3,1,0,2,0,2,3
@ Fibwi Palma,13 mar 2022,P  85-67,8,1,3,22,1-2,2-2,75.0%,0-0,-,0,1,1,3,2,2,1,8,12
vs Leyma Coruña,6 mar 2022,G  62-49,5,4,5,24,0-1,1-3,25.0%,2-2,100.0%,1,3,4,5,2,4,0,5,9
vs Biele ISB,13 feb 2022,G  80-70,2,2,2,21,1-1,0-2,33.3%,0-0,-,1,1,2,2,1,4,0,2,1
vs Movistar Estudiantes,9 feb 2022,P  54-72,9,4,2,22,3-4,0-0,75.0%,3-3,100.0%,2,2,4,2,0,0,0,9,14
vs Real Valladolid,6 feb 2022,G  85-71,2,8,8,23,1-2,0-1,33.3%,0-1,0.0%,1,7,8,8,1,1,0,2,15
@ Caceres,2 feb 2022,P  68-67,6,4,1,21,2-4,0-2,33.3%,2-2,100.0%,3,1,4,1,1,1,0,6,7
vs Almansa Con Afanion,30 ene 2022,G  101-78,10,4,5,16,2-2,2-3,80.0%,0-0,-,1,3,4,5,0,1,0,10,17
vs Amics Castello,23 ene 2022,P  69-77,0,2,1,13,0-1,0-1,0.0%,0-0,-,0,2,2,1,1,1,0,0,1
@ C.B. Prat,16 ene 2022,G  70-81,6,2,2,13,3-3,0-1,75.0%,0-0,-,0,2,2,2,1,1,0,6,9
