PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Amics Castello,20 may 2022,G  92-93,5,0,2,27,2-6,0-2,25.0%,1-2,50.0%,0,0,0,2,1,1,0,5,0
vs C.B. Prat,13 may 2022,G  70-63,6,0,0,16,3-5,0-0,60.0%,0-0,-,0,0,0,0,0,3,0,6,1
@ Biele ISB,8 may 2022,P  75-66,10,3,0,17,3-6,0-1,42.9%,4-8,50.0%,2,1,3,0,1,0,0,10,6
vs HLA Alicante,2 may 2022,G  72-68,7,3,2,18,2-4,0-0,50.0%,3-4,75.0%,0,3,3,2,0,1,1,7,9
@ Movistar Estudiantes,24 abr 2022,P  87-65,8,0,1,26,4-5,0-1,66.7%,0-1,0.0%,0,0,0,1,0,1,0,8,5
vs Melilla Ciudad Del Deporte 1,17 abr 2022,P  61-67,6,2,0,18,1-5,1-3,25.0%,1-2,50.0%,0,2,2,0,1,3,1,6,0
@ Coviran Granada,13 abr 2022,G  71-75,19,3,1,19,7-10,1-1,72.7%,2-2,100.0%,0,3,3,1,1,0,0,19,21
@ Hiopos Lleida,8 abr 2022,P  96-84,8,3,1,17,1-2,2-2,75.0%,0-0,-,2,1,3,1,0,0,1,8,12
vs Alimerka Oviedo,31 mar 2022,G  79-77,4,2,1,19,2-3,0-2,40.0%,0-0,-,0,2,2,1,0,1,0,4,3
@ Basquet Girona,27 mar 2022,P  91-88,12,4,2,34,4-5,1-4,55.6%,1-3,33.3%,0,4,4,2,0,1,0,12,11
vs Súper Agropal Palencia,20 mar 2022,P  68-74,6,2,2,20,3-4,0-2,50.0%,0-0,-,2,0,2,2,1,1,0,6,7
@ Levitec Huesca,16 mar 2022,P  85-68,4,1,1,23,1-5,0-1,16.7%,2-2,100.0%,0,1,1,1,0,1,0,4,0
@ Fibwi Palma,13 mar 2022,P  85-67,8,0,0,16,3-7,0-1,37.5%,2-4,50.0%,0,0,0,0,0,0,0,8,1
vs Leyma Coruña,6 mar 2022,G  62-49,11,3,1,22,4-6,1-2,62.5%,0-0,-,0,3,3,1,0,0,0,11,12
vs Biele ISB,13 feb 2022,G  80-70,10,4,0,17,4-4,0-0,100.0%,2-3,66.7%,1,3,4,0,0,3,0,10,10
vs Movistar Estudiantes,9 feb 2022,P  54-72,0,4,1,17,0-2,0-0,0.0%,0-0,-,0,4,4,1,0,0,0,0,3
vs Real Valladolid,6 feb 2022,G  85-71,15,1,1,22,5-6,0-0,83.3%,5-5,100.0%,0,1,1,1,0,2,0,15,14
@ Caceres,2 feb 2022,P  68-67,12,8,0,26,5-7,0-2,55.6%,2-2,100.0%,4,4,8,0,1,3,0,12,14
vs Almansa Con Afanion,30 ene 2022,G  101-78,16,4,0,18,5-5,2-2,100.0%,0-2,0.0%,1,3,4,0,0,1,0,16,17
vs Amics Castello,23 ene 2022,P  69-77,6,5,0,18,1-2,1-3,40.0%,1-2,50.0%,1,4,5,0,0,2,0,6,5
@ C.B. Prat,16 ene 2022,G  70-81,9,3,0,19,3-7,1-1,50.0%,0-0,-,0,3,3,0,0,2,0,9,6
@ HLA Alicante,29 dic 2021,G  87-91,14,1,3,20,2-4,2-3,57.1%,4-4,100.0%,1,0,1,3,1,1,0,14,15
@ Melilla Ciudad Del Deporte 1,17 dic 2021,G  71-79,7,4,1,30,2-3,1-5,37.5%,0-0,-,2,2,4,1,2,2,1,7,8
vs Hiopos Lleida,12 dic 2021,P  73-81,8,2,0,24,4-7,0-3,40.0%,0-0,-,1,1,2,0,0,0,0,8,4
@ Alimerka Oviedo,5 dic 2021,P  89-76,7,4,1,25,2-3,1-1,75.0%,0-0,-,2,2,4,1,0,1,1,7,11
vs Basquet Girona,21 nov 2021,G  85-81,9,6,1,20,0-3,3-6,33.3%,0-0,-,3,3,6,1,0,0,1,9,11
@ Súper Agropal Palencia,13 nov 2021,P  85-73,14,4,0,20,4-7,1-2,55.6%,3-4,75.0%,3,1,4,0,0,1,1,14,13
vs Levitec Huesca,10 nov 2021,G  95-68,16,3,2,23,4-4,1-2,83.3%,5-5,100.0%,0,3,3,2,0,0,0,16,20
vs Fibwi Palma,7 nov 2021,G  92-65,11,2,1,21,4-7,0-0,57.1%,3-5,60.0%,1,1,2,1,0,1,0,11,8
@ Leyma Coruña,30 oct 2021,P  92-62,9,3,0,24,3-4,1-2,66.7%,0-0,-,1,2,3,0,0,0,0,9,10
vs Coviran Granada,24 oct 2021,P  50-76,4,2,0,24,1-7,0-0,14.3%,2-2,100.0%,1,1,2,0,0,2,0,4,-2
@ Real Valladolid,17 oct 2021,G  89-99,10,3,1,18,2-2,2-6,50.0%,0-0,-,0,3,3,1,0,1,0,10,9
vs Caceres,12 oct 2021,P  74-76,10,3,0,15,4-4,0-2,66.7%,2-2,100.0%,1,2,3,0,1,0,0,10,12
@ Almansa Con Afanion,9 oct 2021,G  76-105,15,2,0,22,3-5,3-3,75.0%,0-0,-,1,1,2,0,0,0,0,15,15
