PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Leyma Coruña,20 may 2022,G  83-79,9,2,4,23,2-5,1-5,30.0%,2-2,100.0%,0,2,2,4,1,0,0,9,9
@ Coviran Granada,13 may 2022,P  102-60,0,0,3,13,0-3,0-2,0.0%,0-0,-,0,0,0,3,1,0,0,0,-1
@ Caceres,29 abr 2022,P  95-89,13,5,2,24,5-8,1-4,50.0%,0-0,-,0,5,5,2,1,2,0,13,13
vs Fibwi Palma,23 abr 2022,P  80-87,13,3,3,13,3-7,2-4,45.5%,1-2,50.0%,0,3,3,3,1,2,0,13,11
@ Amics Castello,15 abr 2022,P  81-66,5,3,1,22,2-4,0-2,33.3%,1-3,33.3%,1,2,3,1,1,1,0,5,3
@ C.B. Prat,9 abr 2022,G  85-88,16,0,7,23,2-3,3-7,50.0%,3-4,75.0%,0,0,0,7,2,1,0,16,18
vs Biele ISB,30 mar 2022,G  89-73,0,2,8,19,0-1,0-2,0.0%,0-0,-,0,2,2,8,2,3,0,0,6
@ HLA Alicante,25 mar 2022,P  95-94,14,2,5,19,2-4,3-7,45.5%,1-2,50.0%,0,2,2,5,0,1,0,14,13
vs Movistar Estudiantes,20 mar 2022,P  68-84,6,2,3,23,0-3,2-3,33.3%,0-0,-,1,1,2,3,0,1,0,6,6
@ Melilla Ciudad Del Deporte 1,16 mar 2022,G  69-84,3,2,1,17,0-1,1-4,20.0%,0-0,-,0,2,2,1,0,2,0,3,0
vs Hiopos Lleida,12 mar 2022,P  78-90,7,2,1,23,2-3,1-3,50.0%,0-0,-,1,1,2,1,0,2,0,7,5
@ Alimerka Oviedo,6 mar 2022,P  85-63,8,4,5,22,1-4,2-4,37.5%,0-0,-,1,3,4,5,3,2,0,8,13
vs Basquet Girona,19 feb 2022,P  87-93,0,1,1,6,0-0,0-1,0.0%,0-2,0.0%,0,1,1,1,0,1,0,0,-2
vs C.B. Prat,11 dic 2021,P  75-90,4,1,0,15,1-2,0-0,50.0%,2-2,100.0%,0,1,1,0,0,0,0,4,4
vs HLA Alicante,20 nov 2021,P  72-73,6,4,1,22,0-0,2-3,66.7%,0-0,-,1,3,4,1,0,1,0,6,9
@ Movistar Estudiantes,14 nov 2021,P  94-67,3,1,1,15,0-3,1-1,25.0%,0-0,-,0,1,1,1,2,0,0,3,4
vs Melilla Ciudad Del Deporte 1,9 nov 2021,G  89-70,2,5,1,15,1-1,0-1,50.0%,0-0,-,0,5,5,1,3,2,0,2,8
@ Hiopos Lleida,5 nov 2021,G  76-77,3,3,0,15,0-0,1-3,33.3%,0-0,-,1,2,3,0,2,7,0,3,-1
vs Alimerka Oviedo,30 oct 2021,P  72-83,7,0,1,22,2-4,1-5,33.3%,0-0,-,0,0,0,1,2,2,0,7,2
@ Basquet Girona,24 oct 2021,G  74-86,9,1,0,13,1-2,2-2,75.0%,1-2,50.0%,0,1,1,0,1,1,0,9,8
vs Súper Agropal Palencia,17 oct 2021,P  75-96,0,1,3,16,0-3,0-1,0.0%,0-0,-,0,1,1,3,0,0,0,0,0
@ Levitec Huesca,12 oct 2021,G  72-83,6,1,1,15,2-3,0-0,66.7%,2-2,100.0%,0,1,1,1,1,1,0,6,7
vs Gipuzkoa Basket,9 oct 2021,P  76-105,3,3,4,13,0-1,1-2,33.3%,0-0,-,0,3,3,4,1,0,0,3,9
