PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Leyma Coruña,20 may 2022,G  83-79,18,3,2,30,5-9,0-2,45.5%,8-8,100.0%,2,1,3,2,1,2,0,18,16
@ Coviran Granada,13 may 2022,P  102-60,6,2,3,21,3-5,0-1,50.0%,0-2,0.0%,1,1,2,3,0,1,1,6,6
vs Real Valladolid,7 may 2022,P  76-80,5,0,2,16,0-2,1-1,33.3%,2-2,100.0%,0,0,0,2,1,1,0,5,5
@ Caceres,29 abr 2022,P  95-89,7,4,1,15,2-2,0-1,66.7%,3-4,75.0%,2,2,4,1,0,0,0,7,10
vs Fibwi Palma,23 abr 2022,P  80-87,11,6,0,23,1-2,2-3,60.0%,3-4,75.0%,2,4,6,0,2,3,0,11,13
@ Amics Castello,15 abr 2022,P  81-66,8,2,1,27,0-1,2-7,25.0%,2-2,100.0%,1,1,2,1,0,0,0,8,5
@ C.B. Prat,9 abr 2022,G  85-88,15,5,2,26,6-10,0-1,54.5%,3-4,75.0%,2,3,5,2,1,5,0,15,12
vs Biele ISB,30 mar 2022,G  89-73,12,7,2,17,3-4,2-3,71.4%,0-0,-,2,5,7,2,2,0,1,12,22
@ HLA Alicante,25 mar 2022,P  95-94,6,3,0,18,3-4,0-0,75.0%,0-0,-,0,3,3,0,1,0,0,6,9
vs Movistar Estudiantes,20 mar 2022,P  68-84,13,5,1,32,5-5,0-1,83.3%,3-4,75.0%,2,3,5,1,2,2,0,13,17
@ Melilla Ciudad Del Deporte 1,16 mar 2022,G  69-84,20,11,4,33,8-12,1-3,60.0%,1-1,100.0%,4,7,11,4,4,1,0,20,32
vs Hiopos Lleida,12 mar 2022,P  78-90,10,4,0,29,3-7,0-1,37.5%,4-4,100.0%,1,3,4,0,5,2,0,10,12
@ Alimerka Oviedo,6 mar 2022,P  85-63,16,3,2,34,6-10,0-4,42.9%,4-4,100.0%,1,2,3,2,1,5,0,16,9
vs Basquet Girona,19 feb 2022,P  87-93,9,2,1,24,1-4,1-1,40.0%,4-6,66.7%,0,2,2,1,1,3,0,9,5
vs Coviran Granada,13 feb 2022,P  75-82,15,2,2,32,4-4,0-1,80.0%,7-7,100.0%,0,2,2,2,3,3,1,15,19
@ Real Valladolid,9 feb 2022,P  84-70,11,3,1,23,2-4,1-1,60.0%,4-7,57.1%,0,3,3,1,0,2,0,11,8
@ Súper Agropal Palencia,5 feb 2022,P  68-57,2,1,2,16,1-4,0-3,14.3%,0-0,-,1,0,1,2,2,1,0,2,0
vs Levitec Huesca,2 feb 2022,G  87-80,15,7,4,21,3-4,0-0,75.0%,9-9,100.0%,2,5,7,4,0,4,0,15,21
@ Gipuzkoa Basket,30 ene 2022,P  101-78,14,8,2,26,3-4,0-3,42.9%,8-9,88.9%,1,7,8,2,2,2,1,14,20
@ Leyma Coruña,23 ene 2022,G  79-95,14,5,2,27,2-5,2-5,40.0%,4-4,100.0%,2,3,5,2,1,4,0,14,12
vs Caceres,19 ene 2022,G  93-69,17,7,1,21,4-5,1-2,71.4%,6-6,100.0%,1,6,7,1,1,2,0,17,22
@ Fibwi Palma,21 dic 2021,G  82-94,9,3,1,32,2-7,1-3,30.0%,2-2,100.0%,1,2,3,1,2,1,0,9,7
vs Amics Castello,17 dic 2021,G  94-65,16,5,5,25,6-8,0-2,60.0%,4-5,80.0%,0,5,5,5,1,3,1,16,20
vs C.B. Prat,11 dic 2021,P  75-90,11,5,3,36,4-8,1-1,55.6%,0-0,-,3,2,5,3,0,2,1,11,14
@ Biele ISB,5 dic 2021,P  89-84,17,6,2,24,8-10,0-1,72.7%,1-2,50.0%,4,2,6,2,2,0,0,17,23
vs Alimerka Oviedo,30 oct 2021,P  72-83,2,10,3,26,1-2,0-3,20.0%,0-0,-,2,8,10,3,5,3,1,2,14
@ Basquet Girona,24 oct 2021,G  74-86,5,1,0,12,0-1,1-1,50.0%,2-2,100.0%,0,1,1,0,2,1,0,5,6
vs Súper Agropal Palencia,17 oct 2021,P  75-96,5,2,1,24,1-1,0-1,50.0%,3-5,60.0%,0,2,2,1,0,1,0,5,4
@ Levitec Huesca,12 oct 2021,G  72-83,5,8,0,29,1-3,1-4,28.6%,0-2,0.0%,0,8,8,0,0,1,0,5,5
vs Gipuzkoa Basket,9 oct 2021,P  76-105,5,2,1,22,1-4,1-2,33.3%,0-0,-,1,1,2,1,0,0,0,5,4
