PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Gipuzkoa Basket,20 may 2022,P  92-93,2,1,0,11,1-2,0-1,33.3%,0-0,-,0,1,1,0,0,0,0,2,1
@ Leyma Coruña,13 may 2022,P  78-74,8,6,1,24,2-4,1-2,50.0%,1-2,50.0%,2,4,6,1,2,0,1,8,14
vs Coviran Granada,6 may 2022,P  69-73,0,4,4,15,0-2,0-0,0.0%,0-0,-,2,2,4,4,0,2,0,0,4
@ Real Valladolid,30 abr 2022,P  82-77,11,5,0,21,3-3,0-1,75.0%,5-6,83.3%,1,4,5,0,1,1,0,11,14
vs Caceres,22 abr 2022,G  104-84,17,4,2,23,5-6,0-0,83.3%,7-9,77.8%,0,4,4,2,0,0,1,17,21
vs Almansa Con Afanion,15 abr 2022,G  81-66,9,2,1,16,3-5,0-1,50.0%,3-3,100.0%,0,2,2,1,1,0,0,9,10
vs Fibwi Palma,8 abr 2022,G  103-98,6,9,6,21,1-6,0-0,16.7%,4-4,100.0%,4,5,9,6,0,1,0,6,15
vs C.B. Prat,31 mar 2022,P  78-80,12,6,1,25,5-7,0-0,71.4%,2-3,66.7%,4,2,6,1,0,3,1,12,14
@ Biele ISB,27 mar 2022,G  75-85,18,7,0,22,4-6,1-1,71.4%,7-9,77.8%,4,3,7,0,1,1,0,18,21
vs HLA Alicante,20 mar 2022,P  69-73,2,3,2,20,0-1,0-2,0.0%,2-2,100.0%,1,2,3,2,1,2,0,2,3
@ Movistar Estudiantes,15 mar 2022,P  100-69,8,1,3,16,3-4,0-1,60.0%,2-4,50.0%,1,0,1,3,0,2,0,8,6
vs Melilla Ciudad Del Deporte 1,11 mar 2022,G  92-91,10,6,3,27,4-5,0-2,57.1%,2-2,100.0%,2,4,6,3,2,4,0,10,14
@ Hiopos Lleida,6 mar 2022,P  80-71,9,3,1,22,4-5,0-1,66.7%,1-2,50.0%,0,3,3,1,2,2,0,9,10
vs Alimerka Oviedo,18 feb 2022,G  82-74,7,9,1,20,3-4,0-1,60.0%,1-2,50.0%,3,6,9,1,1,3,0,7,12
vs Real Valladolid,13 feb 2022,G  83-77,6,3,2,14,3-4,0-1,60.0%,0-1,0.0%,1,2,3,2,0,0,0,6,8
vs Leyma Coruña,9 feb 2022,P  80-85,2,4,3,24,0-3,0-1,0.0%,2-6,33.3%,1,3,4,3,1,2,0,2,0
@ Basquet Girona,6 feb 2022,P  66-61,4,5,3,23,0-1,1-1,50.0%,1-2,50.0%,1,4,5,3,1,2,0,4,9
vs Súper Agropal Palencia,1 feb 2022,G  84-82,6,4,4,24,1-2,0-0,50.0%,4-4,100.0%,3,1,4,4,2,0,0,6,15
@ Levitec Huesca,28 ene 2022,G  93-94,6,5,0,21,3-8,0-0,37.5%,0-0,-,2,3,5,0,0,0,0,6,6
@ Gipuzkoa Basket,23 ene 2022,G  69-77,4,0,0,12,2-3,0-1,50.0%,0-0,-,0,0,0,0,1,2,0,4,1
@ Coviran Granada,19 ene 2022,P  86-66,7,2,2,18,3-6,0-0,50.0%,1-2,50.0%,0,2,2,2,1,0,1,7,9
vs Basquet Girona,17 oct 2021,G  72-67,12,4,0,19,4-7,0-1,50.0%,4-4,100.0%,2,2,4,0,0,1,1,12,12
@ Súper Agropal Palencia,13 oct 2021,P  80-79,4,6,0,21,1-5,0-1,16.7%,2-2,100.0%,4,2,6,0,0,1,0,4,4
vs Levitec Huesca,8 oct 2021,G  85-62,12,7,2,18,4-5,1-1,83.3%,1-2,50.0%,2,5,7,2,1,1,2,12,21
