PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ HLA Alicante,20 may 2022,G  67-75,8,2,2,23,2-2,0-0,100.0%,4-4,100.0%,1,1,2,2,1,0,0,8,13
vs Movistar Estudiantes,13 may 2022,G  70-68,6,1,1,21,2-2,0-0,100.0%,2-2,100.0%,0,1,1,1,0,1,0,6,7
@ Melilla Ciudad Del Deporte 1,8 may 2022,P  92-68,9,3,4,30,3-3,1-2,80.0%,0-4,0.0%,1,2,3,4,0,2,0,9,9
vs Hiopos Lleida,1 may 2022,G  97-80,12,1,2,18,6-7,0-0,85.7%,0-0,-,0,1,1,2,0,0,0,12,14
vs Alimerka Oviedo,24 abr 2022,G  99-74,6,5,2,13,2-2,0-0,100.0%,2-2,100.0%,2,3,5,2,0,0,0,6,13
@ Fibwi Palma,16 abr 2022,P  78-73,11,6,1,23,2-3,0-0,66.7%,7-10,70.0%,2,4,6,1,0,0,0,11,14
vs Súper Agropal Palencia,10 abr 2022,G  89-72,6,3,0,20,2-3,0-0,66.7%,2-2,100.0%,2,1,3,0,0,1,0,6,7
@ Levitec Huesca,31 mar 2022,G  50-85,4,2,2,14,2-3,0-1,50.0%,0-1,0.0%,1,1,2,2,0,1,0,4,4
vs Gipuzkoa Basket,27 mar 2022,G  91-88,13,9,5,30,5-9,0-0,55.6%,3-4,75.0%,3,6,9,5,0,3,0,13,19
@ Leyma Coruña,20 mar 2022,G  72-96,2,5,1,18,1-5,0-0,20.0%,0-0,-,3,2,5,1,1,1,0,2,4
vs Coviran Granada,15 mar 2022,P  55-66,6,3,2,21,2-3,0-2,40.0%,2-2,100.0%,1,2,3,2,0,1,0,6,7
@ Real Valladolid,12 mar 2022,G  57-77,6,3,1,15,1-1,1-1,100.0%,1-2,50.0%,0,3,3,1,0,2,0,6,7
vs Caceres,6 mar 2022,G  86-80,7,1,2,32,3-4,0-1,60.0%,1-1,100.0%,0,1,1,2,1,1,0,7,8
@ Almansa Con Afanion,19 feb 2022,G  87-93,17,2,0,27,6-9,1-1,70.0%,2-2,100.0%,1,1,2,0,1,2,0,17,15
vs Melilla Ciudad Del Deporte 1,13 feb 2022,G  78-71,8,2,4,24,4-7,0-0,57.1%,0-0,-,1,1,2,4,0,4,0,8,7
@ Alimerka Oviedo,9 feb 2022,G  46-80,0,2,2,16,0-2,0-0,0.0%,0-0,-,0,2,2,2,0,1,0,0,1
vs Amics Castello,6 feb 2022,G  66-61,8,6,2,31,4-8,0-0,50.0%,0-0,-,0,6,6,2,3,1,0,8,14
@ C.B. Prat,1 feb 2022,G  85-89,12,8,1,30,4-6,0-0,66.7%,4-6,66.7%,0,8,8,1,1,1,0,12,17
vs HLA Alicante,23 ene 2022,P  75-94,8,4,0,25,3-6,0-2,37.5%,2-2,100.0%,1,3,4,0,0,0,0,8,7
@ Hiopos Lleida,20 ene 2022,P  86-65,8,5,1,22,3-9,0-0,33.3%,2-2,100.0%,1,4,5,1,0,2,0,8,6
vs Fibwi Palma,17 dic 2021,G  98-77,4,3,0,11,2-3,0-0,66.7%,0-0,-,2,1,3,0,0,0,0,4,6
@ Súper Agropal Palencia,10 dic 2021,G  62-73,10,9,6,31,4-7,0-2,44.4%,2-3,66.7%,3,6,9,6,1,2,0,10,18
vs Levitec Huesca,3 dic 2021,G  89-47,8,4,2,20,4-4,0-0,100.0%,0-0,-,0,4,4,2,1,1,0,8,14
@ Gipuzkoa Basket,21 nov 2021,P  85-81,4,4,0,16,2-5,0-0,40.0%,0-0,-,0,4,4,0,0,2,0,4,3
vs C.B. Prat,13 oct 2021,G  82-63,4,2,2,22,1-2,0-0,50.0%,2-2,100.0%,0,2,2,2,1,1,0,4,7
@ Biele ISB,9 oct 2021,G  63-70,9,4,0,21,4-7,0-0,57.1%,1-2,50.0%,0,4,4,0,0,1,0,9,8
