PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Movistar Estudiantes,13 may 2022,G  70-68,5,3,2,23,2-3,0-4,28.6%,1-2,50.0%,0,3,3,2,0,0,0,5,4
@ Melilla Ciudad Del Deporte 1,8 may 2022,P  92-68,12,0,2,25,3-8,2-4,41.7%,0-0,-,0,0,0,2,1,1,1,12,8
vs Hiopos Lleida,1 may 2022,G  97-80,8,5,5,22,4-6,0-1,57.1%,0-0,-,0,5,5,5,0,3,0,8,12
vs Alimerka Oviedo,24 abr 2022,G  99-74,4,0,3,20,2-6,0-3,22.2%,0-0,-,0,0,0,3,0,1,0,4,-1
@ Fibwi Palma,16 abr 2022,P  78-73,9,4,3,24,3-4,1-6,40.0%,0-0,-,0,4,4,3,1,1,0,9,10
vs Súper Agropal Palencia,10 abr 2022,G  89-72,4,1,1,17,2-3,0-2,40.0%,0-0,-,1,0,1,1,1,0,0,4,4
@ Levitec Huesca,31 mar 2022,G  50-85,6,0,2,16,1-4,1-2,33.3%,1-2,50.0%,0,0,0,2,1,2,0,6,2
vs Gipuzkoa Basket,27 mar 2022,G  91-88,5,3,1,30,1-4,0-3,14.3%,3-4,75.0%,2,1,3,1,0,1,0,5,1
@ Leyma Coruña,20 mar 2022,G  72-96,9,4,0,19,0-0,2-3,66.7%,3-4,75.0%,0,4,4,0,1,2,0,9,10
vs Coviran Granada,15 mar 2022,P  55-66,6,2,0,33,0-0,1-3,33.3%,3-3,100.0%,1,1,2,0,0,1,0,6,5
@ Real Valladolid,12 mar 2022,G  57-77,7,1,2,18,1-4,1-2,33.3%,2-2,100.0%,0,1,1,2,1,1,0,7,6
vs Caceres,6 mar 2022,G  86-80,16,2,2,30,3-4,3-5,66.7%,1-2,50.0%,0,2,2,2,1,3,0,16,14
vs Soles de Mexicali,22 oct 2021,G  81-76,16,1,2,21,3-8,2-4,41.7%,4-7,57.1%,0,1,1,2,0,0,0,16,9
vs Soles de Mexicali,21 oct 2021,P  83-88,9,4,2,21,1-2,1-4,33.3%,4-4,100.0%,1,3,4,2,2,2,0,9,11
@ Libertadores de Querétaro,17 oct 2021,P  96-87,20,3,0,24,7-10,2-5,60.0%,0-0,-,1,2,3,0,0,1,0,20,16
@ Libertadores de Querétaro,16 oct 2021,P  105-101,17,1,2,21,7-10,1-2,66.7%,0-0,-,1,0,1,2,2,1,0,17,17
vs Leñadores de Durango,13 oct 2021,P  87-88,13,2,2,24,3-4,2-5,55.6%,1-2,50.0%,1,1,2,2,0,1,0,13,11
vs Leñadores de Durango,12 oct 2021,G  90-83,10,2,7,26,2-4,2-5,44.4%,0-0,-,1,1,2,7,1,1,1,10,15
vs Abejas de León,8 oct 2021,G  92-85,9,1,6,26,3-6,1-3,44.4%,0-0,-,0,1,1,6,0,0,0,9,11
vs Abejas de León,7 oct 2021,P  108-111,17,4,2,24,4-9,2-3,50.0%,3-3,100.0%,2,2,4,2,0,3,0,17,14
@ Astros de Jalisco,3 oct 2021,G  80-82,6,3,4,23,0-4,2-4,25.0%,0-0,-,1,2,3,4,3,2,0,6,8
@ Astros de Jalisco,2 oct 2021,P  89-77,11,7,5,27,1-2,3-6,50.0%,0-0,-,0,7,7,5,2,4,0,11,17
@ Soles de Mexicali,24 sept 2021,P  69-67,10,1,0,25,3-5,1-5,40.0%,1-2,50.0%,0,1,1,0,1,1,0,10,4
@ Soles de Mexicali,23 sept 2021,P  75-67,12,3,1,24,3-7,2-3,50.0%,0-0,-,0,3,3,1,1,0,0,12,12
vs Libertadores de Querétaro,19 sept 2021,P  74-100,7,5,1,25,2-4,1-2,50.0%,0-0,-,1,4,5,1,1,3,0,7,8
vs Libertadores de Querétaro,18 sept 2021,G  109-104,23,2,2,22,4-5,4-6,72.7%,3-3,100.0%,1,1,2,2,1,1,0,23,24
@ Leñadores de Durango,14 sept 2021,G  77-88,6,1,0,15,0-2,2-4,33.3%,0-0,-,0,1,1,0,0,3,0,6,0
@ Leñadores de Durango,13 sept 2021,P  94-81,12,2,1,24,1-3,3-3,66.7%,1-1,100.0%,0,2,2,1,0,1,0,12,12
@ Abejas de León,10 sept 2021,G  76-81,11,0,2,29,2-3,2-4,57.1%,1-1,100.0%,0,0,0,2,2,1,0,11,11
@ Abejas de León,9 sept 2021,P  95-81,10,1,1,19,4-4,0-1,80.0%,2-3,66.7%,0,1,1,1,1,3,0,10,8
vs Astros de Jalisco,3 sept 2021,P  66-85,10,2,1,24,5-7,0-2,55.6%,0-0,-,0,2,2,1,0,3,1,10,7
vs Astros de Jalisco,2 sept 2021,G  89-85,15,2,3,24,3-4,2-3,71.4%,3-3,100.0%,0,2,2,3,0,4,0,15,14
