PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ HLA Alicante,20 may 2022,G  67-75,8,3,1,17,4-4,0-1,80.0%,0-0,-,1,2,3,1,0,3,0,8,8
vs Movistar Estudiantes,13 may 2022,G  70-68,7,5,2,19,1-2,1-1,66.7%,2-2,100.0%,2,3,5,2,0,1,0,7,12
@ Melilla Ciudad Del Deporte 1,8 may 2022,P  92-68,13,3,0,21,4-7,0-2,44.4%,5-5,100.0%,1,2,3,0,0,1,0,13,10
vs Hiopos Lleida,1 may 2022,G  97-80,3,7,1,22,1-7,0-1,12.5%,1-2,50.0%,3,4,7,1,1,1,1,3,4
vs Alimerka Oviedo,24 abr 2022,G  99-74,15,2,1,25,2-2,2-2,100.0%,5-6,83.3%,0,2,2,1,0,0,0,15,17
@ Fibwi Palma,16 abr 2022,P  78-73,6,4,0,17,1-3,1-1,50.0%,1-2,50.0%,1,3,4,0,0,0,0,6,7
vs Súper Agropal Palencia,10 abr 2022,G  89-72,12,3,4,20,3-6,1-2,50.0%,3-3,100.0%,2,1,3,4,0,0,0,12,15
@ Levitec Huesca,31 mar 2022,G  50-85,10,3,0,20,3-6,0-2,37.5%,4-4,100.0%,2,1,3,0,1,1,0,10,8
vs Gipuzkoa Basket,27 mar 2022,G  91-88,6,5,3,15,3-3,0-2,60.0%,0-0,-,0,5,5,3,2,3,0,6,11
vs Biele ISB,23 mar 2022,G  85-73,6,5,0,24,1-2,1-4,33.3%,1-2,50.0%,0,5,5,0,0,2,0,6,4
@ Leyma Coruña,20 mar 2022,G  72-96,6,5,2,22,3-3,0-1,75.0%,0-0,-,0,5,5,2,0,0,0,6,12
vs Coviran Granada,15 mar 2022,P  55-66,7,5,0,19,3-5,0-1,50.0%,1-2,50.0%,1,4,5,0,0,1,0,7,7
@ Real Valladolid,12 mar 2022,G  57-77,10,4,1,24,2-2,0-2,50.0%,6-7,85.7%,0,4,4,1,0,0,0,10,12
vs Caceres,6 mar 2022,G  86-80,4,3,1,13,2-3,0-2,40.0%,0-0,-,1,2,3,1,2,0,0,4,7
@ Almansa Con Afanion,19 feb 2022,G  87-93,9,2,0,12,3-4,1-2,66.7%,0-0,-,0,2,2,0,0,0,0,9,9
vs Melilla Ciudad Del Deporte 1,13 feb 2022,G  78-71,14,5,2,25,4-6,1-5,45.5%,3-4,75.0%,1,4,5,2,0,0,1,14,15
@ Alimerka Oviedo,9 feb 2022,G  46-80,12,8,0,29,2-4,2-6,40.0%,2-2,100.0%,1,7,8,0,2,3,0,12,13
vs Amics Castello,6 feb 2022,G  66-61,4,4,0,12,2-6,0-1,28.6%,0-0,-,3,1,4,0,0,2,0,4,1
@ C.B. Prat,1 feb 2022,G  85-89,7,4,1,18,2-4,0-0,50.0%,3-4,75.0%,1,3,4,1,0,1,0,7,8
vs HLA Alicante,23 ene 2022,P  75-94,5,2,0,15,2-4,0-1,40.0%,1-1,100.0%,0,2,2,0,0,1,0,5,3
@ Hiopos Lleida,20 ene 2022,P  86-65,6,3,1,25,3-4,0-3,42.9%,0-0,-,1,2,3,1,0,2,0,6,4
@ Movistar Estudiantes,16 ene 2022,P  88-80,6,3,2,25,2-7,0-0,28.6%,2-2,100.0%,0,3,3,2,2,0,0,6,8
vs Fibwi Palma,17 dic 2021,G  98-77,11,6,1,32,5-10,0-1,45.5%,1-2,50.0%,2,4,6,1,1,2,0,11,10
@ Súper Agropal Palencia,10 dic 2021,G  62-73,3,2,0,18,0-2,1-2,25.0%,0-2,0.0%,1,1,2,0,1,0,0,3,1
vs Levitec Huesca,3 dic 2021,G  89-47,12,3,3,22,4-8,0-2,40.0%,4-5,80.0%,0,3,3,3,2,0,0,12,13
@ Gipuzkoa Basket,21 nov 2021,P  85-81,11,6,0,27,3-9,1-3,33.3%,2-4,50.0%,3,3,6,0,1,0,0,11,8
vs Leyma Coruña,14 nov 2021,P  68-80,18,6,0,28,7-12,1-3,53.3%,1-1,100.0%,2,4,6,0,1,2,0,18,16
@ Coviran Granada,9 nov 2021,P  83-72,11,6,1,28,2-7,1-3,30.0%,4-5,80.0%,2,4,6,1,2,1,2,11,13
vs Real Valladolid,6 nov 2021,P  70-73,11,4,0,24,4-6,0-1,57.1%,3-5,60.0%,2,2,4,0,0,0,1,11,11
@ Caceres,29 oct 2021,P  62-59,11,9,0,36,4-7,1-4,45.5%,0-0,-,2,7,9,0,1,1,0,11,14
vs Almansa Con Afanion,24 oct 2021,P  74-86,6,5,0,19,2-5,0-3,25.0%,2-4,50.0%,2,3,5,0,2,2,0,6,3
@ Amics Castello,17 oct 2021,P  72-67,3,1,0,17,0-1,1-3,25.0%,0-0,-,0,1,1,0,0,2,0,3,-1
vs C.B. Prat,13 oct 2021,G  82-63,12,3,1,19,4-5,1-2,71.4%,1-2,50.0%,2,1,3,1,1,2,0,12,12
@ Biele ISB,9 oct 2021,G  63-70,2,3,0,17,1-2,0-1,33.3%,0-0,-,1,2,3,0,0,2,0,2,1
