PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Levitec Huesca,20 may 2022,G  96-60,11,5,7,21,0-1,3-6,42.9%,2-2,100.0%,1,4,5,7,1,2,0,11,18
@ Gipuzkoa Basket,13 may 2022,P  70-63,15,1,3,35,4-9,2-3,50.0%,1-1,100.0%,0,1,1,3,2,1,0,15,14
vs Leyma Coruña,7 may 2022,G  83-79,10,4,2,25,2-5,1-1,50.0%,3-4,75.0%,1,3,4,2,0,1,0,10,11
@ Coviran Granada,1 may 2022,P  89-75,6,2,3,17,2-3,0-0,66.7%,2-4,50.0%,0,2,2,3,1,2,0,6,7
vs Real Valladolid,23 abr 2022,P  68-75,4,0,4,17,2-2,0-2,50.0%,0-0,-,0,0,0,4,0,0,0,4,6
@ Caceres,17 abr 2022,P  70-64,7,6,3,26,0-5,1-5,10.0%,4-5,80.0%,1,5,6,3,2,0,0,7,8
@ Amics Castello,31 mar 2022,G  78-80,16,3,2,38,5-8,2-4,58.3%,0-0,-,0,3,3,2,1,1,0,16,16
vs Fibwi Palma,27 mar 2022,P  78-98,10,6,3,36,3-10,1-5,26.7%,1-2,50.0%,1,5,6,3,2,3,0,10,6
@ Alimerka Oviedo,24 mar 2022,P  77-65,5,4,3,25,1-4,1-6,20.0%,0-0,-,0,4,4,3,1,1,0,5,4
vs Biele ISB,20 mar 2022,G  96-78,7,1,3,19,1-3,1-1,50.0%,2-2,100.0%,0,1,1,3,2,0,0,7,11
@ HLA Alicante,16 mar 2022,P  73-63,5,0,1,22,1-4,1-6,20.0%,0-0,-,0,0,0,1,1,1,0,5,-2
vs Movistar Estudiantes,12 mar 2022,G  80-79,0,3,0,10,0-0,0-3,0.0%,0-0,-,0,3,3,0,0,0,0,0,0
@ Melilla Ciudad Del Deporte 1,6 mar 2022,P  77-71,6,1,7,33,3-6,0-3,33.3%,0-1,0.0%,0,1,1,7,4,0,0,6,11
vs Hiopos Lleida,19 feb 2022,P  72-82,12,3,0,21,3-5,2-6,45.5%,0-0,-,1,2,3,0,0,0,0,12,9
@ Leyma Coruña,13 feb 2022,P  82-61,12,3,3,24,0-4,4-8,33.3%,0-0,-,1,2,3,3,1,1,0,12,10
vs Basquet Girona,1 feb 2022,P  85-89,11,4,2,23,3-6,1-2,50.0%,2-2,100.0%,0,4,4,2,0,0,0,11,13
@ Súper Agropal Palencia,28 ene 2022,G  74-83,11,4,6,25,1-2,1-1,66.7%,6-7,85.7%,0,4,4,6,0,1,0,11,18
@ Levitec Huesca,23 ene 2022,G  80-89,4,2,1,22,2-5,0-1,33.3%,0-0,-,1,1,2,1,0,2,0,4,1
@ Real Valladolid,19 ene 2022,G  71-95,7,7,4,27,2-5,1-2,42.9%,0-0,-,1,6,7,4,2,0,0,7,16
vs Gipuzkoa Basket,16 ene 2022,P  70-81,5,3,2,22,2-3,0-4,28.6%,1-1,100.0%,0,3,3,2,1,1,0,5,5
vs Coviran Granada,28 dic 2021,P  64-68,19,9,5,40,3-6,3-6,50.0%,4-4,100.0%,1,8,9,5,1,3,0,19,25
vs Caceres,18 dic 2021,P  72-80,10,2,2,27,2-6,1-4,30.0%,3-3,100.0%,0,2,2,2,2,1,0,10,8
@ Almansa Con Afanion,11 dic 2021,G  75-90,8,3,4,28,3-6,0-1,42.9%,2-3,66.7%,0,3,3,4,0,1,0,8,9
vs Amics Castello,5 dic 2021,P  84-88,16,1,3,24,2-3,4-5,75.0%,0-0,-,0,1,1,3,0,3,0,16,15
@ Fibwi Palma,21 nov 2021,G  73-76,11,5,9,26,4-5,1-2,71.4%,0-0,-,1,4,5,9,0,3,0,11,20
@ Biele ISB,14 nov 2021,P  77-72,9,2,7,29,1-5,1-4,22.2%,4-5,80.0%,0,2,2,7,2,1,0,9,11
vs HLA Alicante,10 nov 2021,G  89-77,15,7,1,25,0-2,5-9,45.5%,0-0,-,2,5,7,1,1,1,0,15,17
@ Movistar Estudiantes,7 nov 2021,P  73-72,2,4,6,27,1-4,0-3,14.3%,0-0,-,0,4,4,6,0,2,0,2,4
vs Melilla Ciudad Del Deporte 1,30 oct 2021,G  97-81,6,1,1,17,2-3,0-1,50.0%,2-2,100.0%,0,1,1,1,0,0,0,6,6
@ Hiopos Lleida,22 oct 2021,P  89-80,13,1,6,28,2-5,3-7,41.7%,0-0,-,0,1,1,6,0,1,0,13,12
vs Alimerka Oviedo,17 oct 2021,P  62-91,2,1,2,20,1-3,0-6,11.1%,0-0,-,0,1,1,2,0,0,0,2,-3
@ Basquet Girona,13 oct 2021,P  82-63,12,2,6,28,2-6,2-6,33.3%,2-2,100.0%,0,2,2,6,2,2,0,12,12
vs Súper Agropal Palencia,9 oct 2021,P  72-76,9,2,5,31,3-10,1-3,30.8%,0-0,-,0,2,2,5,2,1,0,9,8
