PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Levitec Huesca,20 may 2022,G  96-60,10,8,0,22,0-1,2-3,50.0%,4-5,80.0%,4,4,8,0,0,2,0,10,13
@ Gipuzkoa Basket,13 may 2022,P  70-63,11,2,0,30,1-6,1-5,18.2%,6-6,100.0%,0,2,2,0,1,0,0,11,5
vs Leyma Coruña,7 may 2022,G  83-79,13,7,2,31,2-3,1-6,33.3%,6-8,75.0%,3,4,7,2,1,4,0,13,11
@ Coviran Granada,1 may 2022,P  89-75,21,4,1,29,2-6,5-10,43.8%,2-2,100.0%,0,4,4,1,1,4,0,21,14
vs Real Valladolid,23 abr 2022,P  68-75,15,7,0,33,1-4,1-6,20.0%,10-12,83.3%,3,4,7,0,0,2,0,15,10
@ Caceres,17 abr 2022,P  70-64,13,3,0,34,4-8,1-3,45.5%,2-3,66.7%,2,1,3,0,1,2,0,13,8
vs Almansa Con Afanion,9 abr 2022,P  85-88,21,4,2,28,6-8,2-7,53.3%,3-4,75.0%,2,2,4,2,1,4,0,21,16
@ Amics Castello,31 mar 2022,G  78-80,8,2,1,25,2-6,1-5,27.3%,1-2,50.0%,1,1,2,1,2,2,0,8,2
vs Fibwi Palma,27 mar 2022,P  78-98,12,4,2,18,0-1,1-3,25.0%,9-10,90.0%,2,2,4,2,0,2,0,12,12
vs Basquet Girona,1 feb 2022,P  85-89,17,0,1,30,4-7,2-8,40.0%,3-7,42.9%,0,0,0,1,2,1,0,17,6
@ Súper Agropal Palencia,28 ene 2022,G  74-83,16,6,1,34,5-6,1-3,66.7%,3-4,75.0%,2,4,6,1,1,3,0,16,17
@ Levitec Huesca,23 ene 2022,G  80-89,13,0,1,34,3-3,1-4,57.1%,4-5,80.0%,0,0,0,1,2,4,0,13,8
@ Real Valladolid,19 ene 2022,G  71-95,26,5,1,35,4-6,5-8,64.3%,3-4,75.0%,1,4,5,1,2,1,0,26,27
vs Gipuzkoa Basket,16 ene 2022,P  70-81,9,1,0,24,2-8,1-6,21.4%,2-2,100.0%,1,0,1,0,0,2,0,9,-3
vs Coviran Granada,28 dic 2021,P  64-68,10,2,2,26,2-4,1-5,33.3%,3-4,75.0%,1,1,2,2,0,3,0,10,4
vs Caceres,18 dic 2021,P  72-80,6,4,0,18,3-4,0-3,42.9%,0-2,0.0%,1,3,4,0,0,1,0,6,3
@ Almansa Con Afanion,11 dic 2021,G  75-90,3,2,1,13,1-3,0-0,33.3%,1-2,50.0%,0,2,2,1,0,2,0,3,1
vs Amics Castello,5 dic 2021,P  84-88,14,4,1,24,3-3,1-7,40.0%,5-7,71.4%,1,3,4,1,2,3,0,14,10
@ Fibwi Palma,21 nov 2021,G  73-76,23,8,2,25,2-4,6-10,57.1%,1-2,50.0%,1,7,8,2,1,4,0,23,23
@ Biele ISB,14 nov 2021,P  77-72,10,3,0,26,5-9,0-3,41.7%,0-0,-,0,3,3,0,2,2,0,10,6
vs HLA Alicante,10 nov 2021,G  89-77,14,3,1,12,1-3,4-7,50.0%,0-0,-,0,3,3,1,1,2,0,14,12
@ Movistar Estudiantes,7 nov 2021,P  73-72,10,1,2,18,2-4,2-3,57.1%,0-2,0.0%,1,0,1,2,1,4,0,10,5
vs Melilla Ciudad Del Deporte 1,30 oct 2021,G  97-81,15,1,2,21,3-5,1-3,50.0%,6-7,85.7%,0,1,1,2,1,1,0,15,13
@ Hiopos Lleida,22 oct 2021,P  89-80,5,10,0,24,1-8,1-7,13.3%,0-0,-,6,4,10,0,0,1,0,5,1
vs Alimerka Oviedo,17 oct 2021,P  62-91,4,4,1,21,1-6,0-1,14.3%,2-5,40.0%,3,1,4,1,0,4,0,4,-4
@ Basquet Girona,13 oct 2021,P  82-63,5,1,2,20,1-4,1-3,28.6%,0-0,-,0,1,1,2,0,1,0,5,2
vs Súper Agropal Palencia,9 oct 2021,P  72-76,4,1,0,12,1-3,0-3,16.7%,2-2,100.0%,1,0,1,0,0,1,0,4,-1
