PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Coviran Granada,20 may 2022,G  88-86,17,3,3,28,2-4,3-9,38.5%,4-6,66.7%,1,2,3,3,1,0,0,17,14
@ Real Valladolid,13 may 2022,P  92-75,23,3,2,34,6-9,3-7,56.3%,2-2,100.0%,1,2,3,2,1,1,0,23,21
vs Fibwi Palma,6 may 2022,G  102-97,14,10,6,32,3-7,2-8,33.3%,2-2,100.0%,0,10,10,6,1,2,0,14,19
vs Almansa Con Afanion,29 abr 2022,G  95-89,14,1,2,23,3-7,2-7,35.7%,2-2,100.0%,0,1,1,2,3,0,0,14,11
@ Amics Castello,22 abr 2022,P  104-84,28,3,2,25,4-5,6-11,62.5%,2-4,50.0%,1,2,3,2,3,1,0,28,27
@ Biele ISB,10 abr 2022,G  53-75,16,4,4,29,4-8,2-5,46.2%,2-3,66.7%,1,3,4,4,1,1,0,16,16
vs HLA Alicante,31 mar 2022,G  78-65,23,2,0,20,3-7,4-7,50.0%,5-5,100.0%,0,2,2,0,2,0,0,23,20
@ Movistar Estudiantes,27 mar 2022,P  83-76,13,3,4,21,1-2,3-7,44.4%,2-2,100.0%,1,2,3,4,0,2,0,13,13
vs Melilla Ciudad Del Deporte 1,20 mar 2022,G  79-75,7,0,5,24,2-5,1-4,33.3%,0-0,-,0,0,0,5,0,3,0,7,3
@ Hiopos Lleida,16 mar 2022,P  95-84,15,2,1,29,3-6,2-4,50.0%,3-3,100.0%,0,2,2,1,2,2,0,15,13
vs Alimerka Oviedo,11 mar 2022,P  75-99,18,3,4,28,4-6,3-6,58.3%,1-2,50.0%,0,3,3,4,4,3,1,18,21
@ Basquet Girona,6 mar 2022,P  86-80,14,1,4,31,3-5,2-8,38.5%,2-5,40.0%,0,1,1,4,2,1,0,14,9
vs Súper Agropal Palencia,20 feb 2022,P  70-87,8,4,2,23,2-3,1-6,33.3%,1-2,50.0%,1,3,4,2,1,4,1,8,5
@ Fibwi Palma,13 feb 2022,G  87-92,26,7,1,28,4-11,6-9,50.0%,0-0,-,3,4,7,1,0,5,0,26,19
@ Levitec Huesca,6 feb 2022,G  61-68,7,1,2,23,1-4,1-6,20.0%,2-2,100.0%,0,1,1,2,2,2,0,7,2
vs Gipuzkoa Basket,2 feb 2022,G  68-67,14,1,2,27,2-3,2-5,50.0%,4-4,100.0%,0,1,1,2,1,2,0,14,12
@ Leyma Coruña,28 ene 2022,P  74-55,2,3,3,26,1-6,0-2,12.5%,0-0,-,0,3,3,3,0,2,0,2,-1
@ Coviran Granada,23 ene 2022,G  80-86,17,2,3,19,4-8,1-3,45.5%,6-6,100.0%,1,1,2,3,0,2,0,17,14
@ Almansa Con Afanion,19 ene 2022,P  93-69,9,4,1,15,2-5,1-4,33.3%,2-2,100.0%,1,3,4,1,1,0,0,9,9
vs Real Valladolid,14 ene 2022,G  86-80,13,2,5,28,2-5,3-10,33.3%,0-0,-,1,1,2,5,0,2,0,13,8
vs Amics Castello,22 dic 2021,G  77-68,20,5,1,26,7-9,1-4,61.5%,3-6,50.0%,1,4,5,1,2,2,1,20,19
@ C.B. Prat,18 dic 2021,G  72-80,6,2,3,17,0-3,2-5,25.0%,0-0,-,1,1,2,3,0,0,0,6,5
vs Biele ISB,10 dic 2021,G  79-69,13,1,3,27,4-8,1-5,38.5%,2-2,100.0%,0,1,1,3,2,3,1,13,9
@ HLA Alicante,5 dic 2021,P  89-58,10,2,1,28,4-9,0-5,28.6%,2-2,100.0%,2,0,2,1,0,1,0,10,2
vs Movistar Estudiantes,19 nov 2021,P  62-71,8,2,0,29,3-4,0-4,37.5%,2-2,100.0%,0,2,2,0,1,1,0,8,5
vs Hiopos Lleida,10 nov 2021,P  79-88,15,6,2,29,7-8,0-8,43.8%,1-1,100.0%,2,4,6,2,3,3,0,15,14
@ Alimerka Oviedo,6 nov 2021,P  87-75,17,2,1,29,2-5,3-9,35.7%,4-4,100.0%,1,1,2,1,1,2,0,17,10
vs Basquet Girona,29 oct 2021,G  62-59,15,6,4,31,1-4,4-7,45.5%,1-1,100.0%,0,6,6,4,1,3,0,15,17
@ Súper Agropal Palencia,22 oct 2021,P  78-69,16,0,1,29,2-5,3-10,33.3%,3-5,60.0%,0,0,0,1,1,5,0,16,1
vs Levitec Huesca,17 oct 2021,G  90-83,12,5,6,35,4-7,1-4,45.5%,1-2,50.0%,4,1,5,6,0,2,0,12,14
@ Gipuzkoa Basket,12 oct 2021,G  74-76,19,0,2,23,4-8,3-7,46.7%,2-3,66.7%,0,0,0,2,0,4,0,19,8
vs Leyma Coruña,8 oct 2021,G  78-74,18,1,2,30,3-6,2-7,38.5%,6-7,85.7%,0,1,1,2,2,3,1,18,12
