PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Caceres,20 may 2022,P  88-86,7,1,1,17,3-6,0-1,42.9%,1-2,50.0%,0,1,1,1,1,2,0,7,3
vs Almansa Con Afanion,13 may 2022,G  102-60,6,4,3,20,3-5,0-2,42.9%,0-0,-,1,3,4,3,1,0,0,6,10
@ Amics Castello,6 may 2022,G  69-73,9,5,1,23,4-6,0-1,57.1%,1-2,50.0%,4,1,5,1,3,0,0,9,14
vs C.B. Prat,1 may 2022,G  89-75,11,0,1,27,3-6,0-0,50.0%,5-7,71.4%,0,0,0,1,1,1,0,11,7
@ Biele ISB,24 abr 2022,P  74-62,5,1,0,15,1-2,1-1,66.7%,0-0,-,0,1,1,0,0,1,0,5,4
vs HLA Alicante,17 abr 2022,G  67-53,12,2,1,23,3-6,2-4,50.0%,0-0,-,1,1,2,1,4,2,0,12,12
vs Gipuzkoa Basket,13 abr 2022,P  71-75,14,6,1,17,3-3,0-1,75.0%,8-8,100.0%,3,3,6,1,2,1,0,14,21
@ Movistar Estudiantes,10 abr 2022,G  68-70,8,5,1,20,4-6,0-0,66.7%,0-0,-,2,3,5,1,2,2,0,8,12
vs Melilla Ciudad Del Deporte 1,29 mar 2022,G  98-70,10,3,0,20,5-6,0-1,71.4%,0-0,-,1,2,3,0,2,0,0,10,13
@ Hiopos Lleida,25 mar 2022,P  78-69,1,4,1,11,0-2,0-1,0.0%,1-2,50.0%,1,3,4,1,1,0,0,1,3
vs Alimerka Oviedo,19 mar 2022,G  96-68,0,3,0,17,0-1,0-2,0.0%,0-0,-,0,3,3,0,0,0,0,0,0
@ Basquet Girona,15 mar 2022,G  55-66,8,9,0,29,4-5,0-4,44.4%,0-0,-,2,7,9,0,0,0,0,8,12
vs Súper Agropal Palencia,12 mar 2022,G  93-57,20,1,4,25,4-4,4-5,88.9%,0-0,-,1,0,1,4,0,0,0,20,24
@ Levitec Huesca,5 mar 2022,G  60-71,5,6,0,22,2-4,0-1,40.0%,1-2,50.0%,2,4,6,0,2,2,0,5,7
@ Almansa Con Afanion,13 feb 2022,G  75-82,11,1,0,19,2-2,2-5,57.1%,1-2,50.0%,0,1,1,0,0,0,0,11,8
@ Leyma Coruña,6 feb 2022,G  77-85,5,2,0,20,2-2,0-1,66.7%,1-1,100.0%,1,1,2,0,1,1,0,5,6
@ Fibwi Palma,2 feb 2022,G  77-87,7,4,1,21,2-4,1-1,60.0%,0-0,-,2,2,4,1,0,2,0,7,8
vs Real Valladolid,29 ene 2022,G  89-75,9,7,2,28,3-6,1-2,50.0%,0-0,-,4,3,7,2,0,1,0,9,13
vs Caceres,23 ene 2022,P  80-86,0,2,2,18,0-0,0-0,-,0-0,-,0,2,2,2,2,0,0,0,6
vs Amics Castello,19 ene 2022,G  86-66,10,5,2,26,2-7,2-5,33.3%,0-0,-,3,2,5,2,1,1,0,10,9
@ HLA Alicante,15 ene 2022,G  78-83,10,3,1,15,4-7,0-2,44.4%,2-2,100.0%,3,0,3,1,2,1,0,10,10
vs Biele ISB,21 dic 2021,G  84-68,5,2,3,20,2-3,0-2,40.0%,1-1,100.0%,0,2,2,3,1,0,0,5,8
vs Movistar Estudiantes,11 dic 2021,G  69-58,6,6,1,27,3-7,0-1,37.5%,0-0,-,1,5,6,1,2,1,0,6,9
@ Melilla Ciudad Del Deporte 1,5 dic 2021,P  89-77,4,6,2,29,2-5,0-1,33.3%,0-0,-,1,5,6,2,1,0,1,4,10
vs Hiopos Lleida,20 nov 2021,G  94-84,5,1,1,19,1-2,1-3,40.0%,0-0,-,0,1,1,1,0,1,0,5,3
@ Alimerka Oviedo,14 nov 2021,P  80-76,11,7,2,30,4-5,1-4,55.6%,0-0,-,3,4,7,2,2,1,1,11,18
vs Basquet Girona,9 nov 2021,G  83-72,5,5,2,20,2-7,0-1,25.0%,1-2,50.0%,2,3,5,2,0,1,0,5,4
@ Súper Agropal Palencia,5 nov 2021,G  80-83,8,8,0,30,3-3,0-1,75.0%,2-4,50.0%,3,5,8,0,3,0,0,8,16
vs Levitec Huesca,30 oct 2021,G  101-70,11,6,5,32,1-3,3-3,66.7%,0-0,-,3,3,6,5,1,3,1,11,19
@ Gipuzkoa Basket,24 oct 2021,G  50-76,13,6,3,29,4-6,1-3,55.6%,2-2,100.0%,1,5,6,3,3,1,1,13,21
vs Leyma Coruña,17 oct 2021,P  79-88,2,4,0,23,0-1,0-1,0.0%,2-2,100.0%,2,2,4,0,0,0,0,2,4
vs Fibwi Palma,12 oct 2021,G  78-62,9,2,1,22,2-4,1-3,42.9%,2-2,100.0%,1,1,2,1,1,0,0,9,9
@ Real Valladolid,8 oct 2021,G  78-82,8,3,1,23,3-4,0-1,60.0%,2-2,100.0%,1,2,3,1,0,0,0,8,10
