PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Caceres,20 may 2022,P  88-86,8,4,0,19,4-9,0-1,40.0%,0-2,0.0%,3,1,4,0,0,1,0,8,3
vs Almansa Con Afanion,13 may 2022,G  102-60,8,1,2,16,4-5,0-0,80.0%,0-0,-,1,0,1,2,0,1,0,8,9
@ Amics Castello,6 may 2022,G  69-73,14,1,2,13,4-7,0-1,50.0%,6-6,100.0%,1,0,1,2,0,0,0,14,13
vs C.B. Prat,1 may 2022,G  89-75,8,4,1,18,4-5,0-0,80.0%,0-2,0.0%,2,2,4,1,0,0,0,8,10
@ Biele ISB,24 abr 2022,P  74-62,6,6,0,15,2-4,0-0,50.0%,2-3,66.7%,3,3,6,0,0,0,0,6,9
vs HLA Alicante,17 abr 2022,G  67-53,7,1,0,16,2-3,0-1,50.0%,3-4,75.0%,1,0,1,0,3,1,0,7,7
@ Movistar Estudiantes,10 abr 2022,G  68-70,0,4,0,6,0-1,0-0,0.0%,0-0,-,2,2,4,0,0,0,0,0,3
vs Melilla Ciudad Del Deporte 1,29 mar 2022,G  98-70,9,3,2,16,4-4,0-0,100.0%,1-2,50.0%,0,3,3,2,1,0,0,9,14
@ Hiopos Lleida,25 mar 2022,P  78-69,4,6,0,16,2-3,0-2,40.0%,0-0,-,1,5,6,0,1,1,0,4,7
vs Alimerka Oviedo,19 mar 2022,G  96-68,8,1,0,17,4-5,0-0,80.0%,0-0,-,0,1,1,0,0,2,0,8,6
@ Basquet Girona,15 mar 2022,G  55-66,9,3,1,18,2-5,1-2,42.9%,2-2,100.0%,1,2,3,1,2,1,0,9,10
vs Súper Agropal Palencia,12 mar 2022,G  93-57,12,7,2,18,4-7,0-3,40.0%,4-8,50.0%,3,4,7,2,1,0,0,12,12
@ Levitec Huesca,5 mar 2022,G  60-71,8,6,0,22,3-4,0-0,75.0%,2-2,100.0%,4,2,6,0,1,2,0,8,12
vs Unicaja Malaga,5 feb 2022,G  93-82,0,1,0,1,0-0,0-0,-,0-0,-,0,1,1,0,0,0,0,0,1
@ Real Madrid,16 ene 2022,P  94-69,2,0,0,5,1-1,0-0,100.0%,0-0,-,0,0,0,0,0,0,0,2,2
@ Unicaja Malaga,4 ene 2022,P  112-72,5,0,0,12,2-3,0-1,50.0%,1-2,50.0%,0,0,0,0,0,0,0,5,2
vs Baskonia Vitoria-Gasteiz,28 dic 2021,G  97-79,0,0,1,1,0-0,0-0,-,0-0,-,0,0,0,1,0,0,0,0,1
vs Fuenlabrada,12 dic 2021,P  74-85,2,1,0,4,1-1,0-0,100.0%,0-0,-,1,0,1,0,0,0,0,2,3
vs Real Betis,7 nov 2021,G  82-72,1,0,0,3,0-0,0-0,-,1-2,50.0%,0,0,0,0,0,1,0,1,-1
vs Rio Breogan,23 oct 2021,G  79-75,6,0,0,11,3-4,0-0,75.0%,0-0,-,0,0,0,0,0,0,0,6,5
@ La Laguna Tenerife,9 oct 2021,P  90-65,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ FC Barcelona,5 oct 2021,P  76-63,7,2,0,16,3-3,0-0,100.0%,1-1,100.0%,1,1,2,0,0,0,0,7,9
vs Valencia Basket,2 oct 2021,P  70-76,2,1,0,4,1-2,0-0,50.0%,0-0,-,1,0,1,0,0,0,0,2,2
@ Surne Bilbao,23 sept 2021,G  76-100,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs BAXI Manresa,19 sept 2021,G  98-91,0,1,0,3,0-0,0-0,-,0-0,-,0,1,1,0,0,0,0,0,1
