PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Melilla Ciudad Del Deporte 1,21 may 2022,P  74-60,7,5,2,23,2-4,1-5,33.3%,0-0,-,0,5,5,2,0,3,0,7,5
vs Fibwi Palma,13 may 2022,G  89-82,6,3,0,13,0-4,2-2,33.3%,0-0,-,1,2,3,0,0,1,0,6,4
@ Alimerka Oviedo,7 may 2022,P  89-85,2,0,2,13,0-2,0-1,0.0%,2-2,100.0%,0,0,0,2,0,0,0,2,1
@ Basquet Girona,1 may 2022,P  97-80,11,1,0,24,1-5,2-5,30.0%,3-3,100.0%,1,0,1,0,2,0,0,11,7
vs Súper Agropal Palencia,22 abr 2022,G  82-81,0,1,1,6,0-0,0-0,-,0-0,-,0,1,1,1,0,0,0,0,2
@ Levitec Huesca,17 abr 2022,P  86-84,6,0,2,12,1-4,1-1,40.0%,1-1,100.0%,0,0,0,2,3,1,0,6,7
vs Gipuzkoa Basket,8 abr 2022,G  96-84,0,0,1,11,0-2,0-1,0.0%,0-0,-,0,0,0,1,0,0,0,0,-2
@ Leyma Coruña,31 mar 2022,P  88-63,7,0,2,17,3-4,0-0,75.0%,1-1,100.0%,0,0,0,2,0,0,0,7,8
vs Coviran Granada,25 mar 2022,G  78-69,2,0,2,5,1-1,0-0,100.0%,0-0,-,0,0,0,2,0,0,0,2,4
@ Real Valladolid,20 mar 2022,P  78-64,3,0,0,5,0-1,1-1,50.0%,0-0,-,0,0,0,0,0,0,0,3,2
vs Caceres,16 mar 2022,G  95-84,8,2,1,14,1-3,2-3,50.0%,0-0,-,2,0,2,1,1,0,0,8,9
@ Almansa Con Afanion,12 mar 2022,G  78-90,4,1,0,9,2-3,0-2,40.0%,0-0,-,1,0,1,0,0,2,0,4,0
vs Melilla Ciudad Del Deporte 1,9 mar 2022,G  83-73,0,2,2,20,0-4,0-2,0.0%,0-0,-,0,2,2,2,1,2,0,0,-3
vs Amics Castello,6 mar 2022,G  80-71,8,2,1,15,3-5,0-1,50.0%,2-2,100.0%,0,2,2,1,0,2,0,8,6
@ Fibwi Palma,3 mar 2022,P  98-90,3,0,0,5,1-3,0-0,33.3%,1-2,50.0%,0,0,0,0,1,0,0,3,1
@ C.B. Prat,19 feb 2022,G  72-82,0,1,0,4,0-0,0-0,-,0-0,-,1,0,1,0,0,0,0,0,1
@ Súper Agropal Palencia,16 feb 2022,G  62-63,2,1,1,24,1-5,0-1,16.7%,0-0,-,0,1,1,1,2,1,0,2,0
vs Alimerka Oviedo,13 feb 2022,G  67-56,3,0,1,16,0-4,1-1,20.0%,0-0,-,0,0,0,1,0,1,0,3,-1
vs Biele ISB,6 feb 2022,P  69-81,6,3,2,19,1-2,1-1,66.7%,1-2,50.0%,1,2,3,2,0,3,1,6,7
vs Movistar Estudiantes,28 ene 2022,G  81-75,2,1,2,9,0-2,0-1,0.0%,2-2,100.0%,1,0,1,2,0,0,0,2,2
vs Basquet Girona,20 ene 2022,G  86-65,5,1,1,16,1-4,1-2,33.3%,0-0,-,0,1,1,1,0,2,0,5,1
vs Levitec Huesca,17 dic 2021,G  100-81,13,1,1,21,1-7,3-4,36.4%,2-2,100.0%,0,1,1,1,1,1,0,13,8
@ Gipuzkoa Basket,12 dic 2021,G  73-81,4,4,0,23,2-4,0-2,33.3%,0-0,-,1,3,4,0,0,2,0,4,2
vs Leyma Coruña,5 dic 2021,G  84-83,3,2,1,10,0-0,1-2,50.0%,0-0,-,0,2,2,1,0,1,0,3,4
@ Coviran Granada,20 nov 2021,P  94-84,2,0,2,8,1-1,0-2,33.3%,0-0,-,0,0,0,2,0,1,0,2,1
vs Real Valladolid,14 nov 2021,G  75-71,7,1,1,12,2-3,1-2,60.0%,0-0,-,1,0,1,1,0,0,0,7,7
@ Caceres,10 nov 2021,G  79-88,5,2,2,14,2-4,0-2,33.3%,1-1,100.0%,0,2,2,2,0,1,0,5,4
vs Almansa Con Afanion,5 nov 2021,P  76-77,6,1,2,15,0-2,2-4,33.3%,0-2,0.0%,0,1,1,2,2,4,0,6,1
@ Amics Castello,29 oct 2021,G  95-98,3,3,1,19,1-3,0-1,25.0%,1-2,50.0%,0,3,3,1,0,2,0,3,1
vs C.B. Prat,22 oct 2021,G  89-80,6,3,2,21,0-2,2-5,28.6%,0-0,-,0,3,3,2,1,3,0,6,4
@ Biele ISB,17 oct 2021,G  86-91,12,5,6,31,0-2,4-9,36.4%,0-4,0.0%,1,4,5,6,0,2,0,12,10
vs HLA Alicante,13 oct 2021,G  69-67,5,1,3,23,1-4,1-3,28.6%,0-1,0.0%,0,1,1,3,2,0,0,5,5
@ Movistar Estudiantes,10 oct 2021,P  98-73,13,2,3,26,2-2,3-5,71.4%,0-0,-,1,1,2,3,1,3,0,13,14
