PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Zornotza,10 abr 2022,P  84-63,17,2,3,29,4-8,3-8,43.8%,0-0,-,0,2,2,3,1,6,0,17,8
vs UBU Tizona Burgos,6 abr 2022,G  80-75,35,8,6,37,7-14,2-10,37.5%,15-16,93.8%,0,8,8,6,4,6,0,35,31
@ CB Zamora,1 abr 2022,P  86-76,15,4,2,37,4-10,0-7,23.5%,7-9,77.8%,2,2,4,2,2,3,0,15,5
vs Rioverde Clavijo,26 mar 2022,G  85-79,22,8,3,36,5-11,2-10,33.3%,6-8,75.0%,1,7,8,3,0,0,1,22,18
@ Circulo Gijon,19 mar 2022,G  72-95,28,6,4,36,9-16,3-9,48.0%,1-2,50.0%,1,5,6,4,1,2,0,28,23
@ C.B. Moron,14 mar 2022,G  95-97,33,2,3,41,6-16,7-13,44.8%,0-0,-,0,2,2,3,0,5,0,33,17
@ Aquimisa Carbajosa,9 mar 2022,P  95-83,32,3,1,37,6-7,4-11,55.6%,8-8,100.0%,0,3,3,1,1,4,0,32,25
vs Navarra,5 mar 2022,P  79-87,25,6,2,38,2-9,4-11,30.0%,9-10,90.0%,0,6,6,2,4,1,0,25,21
vs Caceres,6 feb 2022,P  61-68,0,0,0,2,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
@ Almansa Con Afanion,2 feb 2022,P  87-80,0,0,0,10,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Amics Castello,28 ene 2022,P  93-94,4,1,2,13,2-2,0-1,66.7%,0-0,-,0,1,1,2,0,4,0,4,2
vs C.B. Prat,23 ene 2022,P  80-89,11,4,1,21,4-5,1-3,62.5%,0-0,-,1,3,4,1,0,0,0,11,13
@ Movistar Estudiantes,19 ene 2022,P  70-59,6,1,0,18,3-3,0-4,42.9%,0-0,-,1,0,1,0,1,0,0,6,4
@ Biele ISB,16 ene 2022,P  89-56,8,3,0,16,1-3,2-5,37.5%,0-0,-,2,1,3,0,0,2,0,8,4
@ Hiopos Lleida,17 dic 2021,P  100-81,14,3,0,30,3-3,2-7,50.0%,2-4,50.0%,1,2,3,0,0,0,0,14,10
vs Alimerka Oviedo,10 dic 2021,G  73-68,2,0,0,14,1-2,0-2,25.0%,0-0,-,0,0,0,0,0,1,0,2,-2
@ Basquet Girona,3 dic 2021,P  89-47,5,3,1,14,1-3,1-6,22.2%,0-0,-,0,3,3,1,0,3,0,5,-1
vs Súper Agropal Palencia,19 nov 2021,P  73-103,8,1,0,21,3-8,0-1,33.3%,2-2,100.0%,0,1,1,0,0,0,0,8,3
vs Fibwi Palma,14 nov 2021,G  83-65,14,6,0,16,4-5,2-3,75.0%,0-0,-,0,6,6,0,1,1,0,14,18
@ Gipuzkoa Basket,10 nov 2021,P  95-68,14,4,2,20,3-7,2-4,45.5%,2-2,100.0%,1,3,4,2,1,1,0,14,14
vs Leyma Coruña,5 nov 2021,P  75-86,2,0,1,14,1-2,0-0,50.0%,0-0,-,0,0,0,1,0,2,0,2,0
@ Coviran Granada,30 oct 2021,P  101-70,10,1,0,20,1-4,2-6,30.0%,2-2,100.0%,1,0,1,0,1,0,0,10,5
vs Real Valladolid,24 oct 2021,P  82-89,21,6,1,31,3-5,3-7,50.0%,6-6,100.0%,2,4,6,1,0,0,0,21,22
@ Caceres,17 oct 2021,P  90-83,15,7,3,32,3-4,1-6,40.0%,6-6,100.0%,2,5,7,3,0,2,0,15,17
vs Almansa Con Afanion,12 oct 2021,P  72-83,21,3,1,32,3-5,4-11,43.8%,3-4,75.0%,1,2,3,1,2,3,0,21,14
@ Amics Castello,8 oct 2021,P  85-62,15,6,1,21,3-7,2-4,45.5%,3-3,100.0%,3,3,6,1,1,4,0,15,13
