PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Levitec Huesca,16 ene 2022,G  89-56,6,3,0,12,2-3,0-0,66.7%,2-2,100.0%,0,3,3,0,0,1,1,6,8
vs Real Valladolid,11 ene 2022,P  59-82,4,8,1,20,2-8,0-0,25.0%,0-0,-,4,4,8,1,2,2,1,4,8
vs Leyma Coruña,28 dic 2021,G  89-82,2,7,1,17,1-1,0-0,100.0%,0-0,-,2,5,7,1,1,2,0,2,9
@ Coviran Granada,21 dic 2021,P  84-68,4,6,3,25,2-6,0-0,33.3%,0-0,-,1,5,6,3,3,0,0,4,12
@ Caceres,10 dic 2021,P  79-69,6,4,0,20,3-6,0-0,50.0%,0-2,0.0%,2,2,4,0,0,2,0,6,3
vs Almansa Con Afanion,5 dic 2021,G  89-84,4,12,0,21,2-5,0-0,40.0%,0-0,-,5,7,12,0,0,2,0,4,11
@ Amics Castello,19 nov 2021,P  92-83,4,1,0,11,2-2,0-0,100.0%,0-0,-,0,1,1,0,2,1,0,4,6
vs C.B. Prat,14 nov 2021,G  77-72,10,6,1,27,4-8,0-0,50.0%,2-2,100.0%,1,5,6,1,1,5,2,10,11
@ Fibwi Palma,10 nov 2021,P  81-65,2,5,0,11,1-5,0-0,20.0%,0-0,-,1,4,5,0,0,1,0,2,2
vs Movistar Estudiantes,31 oct 2021,G  88-72,12,6,1,23,5-10,0-0,50.0%,2-2,100.0%,1,5,6,1,0,5,0,12,9
@ Melilla Ciudad Del Deporte 1,24 oct 2021,P  84-67,9,8,0,19,4-6,0-0,66.7%,1-2,50.0%,3,5,8,0,1,0,0,9,15
vs Hiopos Lleida,17 oct 2021,P  86-91,4,4,2,20,2-4,0-0,50.0%,0-0,-,2,2,4,2,2,1,0,4,9
@ Alimerka Oviedo,12 oct 2021,P  79-73,11,6,0,18,4-8,1-1,55.6%,0-0,-,3,3,6,0,0,1,1,11,13
vs Basquet Girona,9 oct 2021,P  63-70,9,7,1,22,4-7,0-0,57.1%,1-1,100.0%,2,5,7,1,2,2,0,9,14
