PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Real Valladolid,25 mar 2022,P  60-79,15,6,1,26,6-9,0-1,60.0%,3-8,37.5%,3,3,6,1,1,0,0,15,14
@ Caceres,20 mar 2022,P  79-75,12,4,0,16,4-8,0-0,50.0%,4-6,66.7%,2,2,4,0,0,1,0,12,9
vs Almansa Con Afanion,16 mar 2022,P  69-84,12,5,0,13,4-7,0-1,50.0%,4-4,100.0%,3,2,5,0,1,4,0,12,10
vs C.B. Prat,6 mar 2022,G  77-71,11,9,2,21,4-6,0-0,66.7%,3-5,60.0%,4,5,9,2,0,3,0,11,15
vs Súper Agropal Palencia,26 feb 2022,G  88-75,11,5,0,17,5-5,0-0,100.0%,1-3,33.3%,3,2,5,0,0,3,1,11,12
@ Biele ISB,20 feb 2022,G  67-77,15,3,0,32,7-9,0-1,70.0%,1-2,50.0%,0,3,3,0,0,2,0,15,12
@ Basquet Girona,13 feb 2022,P  78-71,13,3,0,23,4-6,0-1,57.1%,5-6,83.3%,1,2,3,0,0,1,0,13,11
@ Levitec Huesca,10 feb 2022,G  92-100,14,4,0,24,6-6,0-0,100.0%,2-3,66.7%,0,4,4,0,0,5,1,14,13
vs HLA Alicante,6 feb 2022,P  79-93,3,5,0,19,1-2,0-0,50.0%,1-2,50.0%,2,3,5,0,0,1,0,3,5
@ Movistar Estudiantes,3 feb 2022,P  76-66,8,7,0,21,4-8,0-0,50.0%,0-0,-,1,6,7,0,0,1,1,8,11
vs Fibwi Palma,28 ene 2022,P  82-89,14,3,1,31,6-7,0-0,85.7%,2-4,50.0%,2,1,3,1,1,7,0,14,9
vs Alimerka Oviedo,16 ene 2022,G  79-78,3,3,0,15,1-2,0-0,50.0%,1-2,50.0%,2,1,3,0,0,1,0,3,3
vs Gipuzkoa Basket,17 dic 2021,P  71-79,11,7,0,23,4-5,0-1,66.7%,3-6,50.0%,2,5,7,0,1,4,0,11,10
@ Leyma Coruña,12 dic 2021,P  95-69,12,1,0,24,3-6,1-1,57.1%,3-4,75.0%,0,1,1,0,0,0,0,12,9
vs Coviran Granada,5 dic 2021,G  89-77,6,2,0,19,3-5,0-0,60.0%,0-0,-,0,2,2,0,0,0,0,6,6
@ Real Valladolid,19 nov 2021,G  68-72,13,11,0,27,5-12,1-2,42.9%,0-2,0.0%,1,10,11,0,0,4,0,13,10
vs Caceres,14 nov 2021,G  75-67,3,4,1,15,1-4,0-0,25.0%,1-2,50.0%,1,3,4,1,0,1,0,3,3
@ Almansa Con Afanion,9 nov 2021,P  89-70,10,3,0,16,3-5,1-1,66.7%,1-2,50.0%,1,2,3,0,0,1,0,10,9
vs Amics Castello,5 nov 2021,P  58-75,5,8,2,22,2-3,0-1,50.0%,1-1,100.0%,3,5,8,2,1,4,2,5,12
@ C.B. Prat,30 oct 2021,P  97-81,12,3,0,22,6-8,0-0,75.0%,0-0,-,0,3,3,0,0,0,0,12,13
vs Biele ISB,24 oct 2021,G  84-67,8,3,2,21,2-5,1-1,50.0%,1-2,50.0%,1,2,3,2,0,2,0,8,7
@ HLA Alicante,17 oct 2021,G  75-78,24,5,1,22,9-11,0-2,69.2%,6-6,100.0%,3,2,5,1,1,3,1,24,25
vs Movistar Estudiantes,13 oct 2021,P  63-76,5,7,0,13,2-2,0-0,100.0%,1-2,50.0%,1,6,7,0,0,1,0,5,10
@ Fibwi Palma,10 oct 2021,G  61-69,0,3,3,22,0-2,0-0,0.0%,0-0,-,1,2,3,3,2,3,0,0,3
