PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Hiopos Lleida,21 may 2022,G  74-60,8,4,6,24,2-5,1-4,33.3%,1-2,50.0%,1,3,4,6,2,1,0,8,12
@ Alimerka Oviedo,13 may 2022,P  81-79,15,4,2,28,2-4,3-5,55.6%,2-2,100.0%,0,4,4,2,1,0,0,15,18
vs Basquet Girona,8 may 2022,G  92-68,9,2,6,29,3-3,1-4,57.1%,0-0,-,0,2,2,6,1,1,0,9,14
@ Súper Agropal Palencia,29 abr 2022,P  84-77,16,4,5,29,1-3,4-6,55.6%,2-4,50.0%,0,4,4,5,2,4,0,16,17
vs Levitec Huesca,24 abr 2022,P  62-74,13,6,5,30,5-12,0-6,27.8%,3-4,75.0%,1,5,6,5,0,1,0,13,9
@ Gipuzkoa Basket,17 abr 2022,G  61-67,12,5,4,30,3-7,2-3,50.0%,0-2,0.0%,1,4,5,4,0,2,0,12,12
vs Leyma Coruña,10 abr 2022,P  72-80,3,0,4,26,1-2,0-3,20.0%,1-2,50.0%,0,0,0,4,3,1,0,3,4
@ Coviran Granada,29 mar 2022,P  98-70,8,2,1,27,1-3,2-3,50.0%,0-0,-,0,2,2,1,1,3,0,8,6
vs Real Valladolid,25 mar 2022,P  60-79,3,2,3,22,0-4,1-1,20.0%,0-1,0.0%,0,2,2,3,0,0,0,3,3
@ Caceres,20 mar 2022,P  79-75,11,4,3,30,1-4,3-3,57.1%,0-0,-,2,2,4,3,1,1,0,11,15
vs Almansa Con Afanion,16 mar 2022,P  69-84,3,5,4,20,1-2,0-3,20.0%,1-2,50.0%,2,3,5,4,1,0,0,3,8
@ Hiopos Lleida,9 mar 2022,P  83-73,9,4,2,24,0-1,3-4,60.0%,0-0,-,1,3,4,2,1,2,0,9,12
vs C.B. Prat,6 mar 2022,G  77-71,5,5,4,24,1-1,1-2,66.7%,0-0,-,1,4,5,4,0,2,0,5,11
vs Súper Agropal Palencia,26 feb 2022,G  88-75,5,4,3,25,1-2,1-3,40.0%,0-0,-,0,4,4,3,1,2,0,5,8
@ Biele ISB,20 feb 2022,G  67-77,0,5,3,18,0-1,0-2,0.0%,0-0,-,0,5,5,3,2,2,0,0,5
@ Basquet Girona,13 feb 2022,P  78-71,9,6,3,33,2-3,1-4,42.9%,2-2,100.0%,1,5,6,3,0,1,0,9,13
@ Levitec Huesca,10 feb 2022,G  92-100,17,4,5,34,4-5,2-8,46.2%,3-6,50.0%,1,3,4,5,0,2,0,17,14
vs HLA Alicante,6 feb 2022,P  79-93,10,6,2,21,3-4,1-5,44.4%,1-3,33.3%,0,6,6,2,0,2,0,10,9
@ Movistar Estudiantes,3 feb 2022,P  76-66,2,2,4,24,1-4,0-3,14.3%,0-0,-,0,2,2,4,2,0,0,2,4
vs Fibwi Palma,28 ene 2022,P  82-89,7,5,4,35,0-2,2-3,40.0%,1-2,50.0%,1,4,5,4,3,0,0,7,15
vs Alimerka Oviedo,16 ene 2022,G  79-78,9,4,2,25,2-3,1-3,50.0%,2-3,66.7%,0,4,4,2,1,0,0,9,12
vs Gipuzkoa Basket,17 dic 2021,P  71-79,4,1,3,25,2-7,0-1,25.0%,0-0,-,0,1,1,3,1,2,0,4,1
@ Leyma Coruña,12 dic 2021,P  95-69,5,4,1,26,0-4,1-2,16.7%,2-4,50.0%,0,4,4,1,1,0,0,5,4
vs Coviran Granada,5 dic 2021,G  89-77,13,1,5,27,3-3,2-5,62.5%,1-1,100.0%,0,1,1,5,2,2,0,13,16
@ Real Valladolid,19 nov 2021,G  68-72,11,1,5,29,4-7,1-1,62.5%,0-0,-,0,1,1,5,0,1,0,11,13
vs Caceres,14 nov 2021,G  75-67,13,5,2,27,2-6,2-6,33.3%,3-4,75.0%,0,5,5,2,3,0,0,13,14
@ Almansa Con Afanion,9 nov 2021,P  89-70,0,3,1,24,0-3,0-2,0.0%,0-0,-,0,3,3,1,2,2,0,0,-1
vs Amics Castello,5 nov 2021,P  58-75,0,5,1,26,0-2,0-3,0.0%,0-0,-,1,4,5,1,2,2,0,0,1
@ C.B. Prat,30 oct 2021,P  97-81,14,2,8,29,4-5,2-3,75.0%,0-0,-,0,2,2,8,1,1,0,14,22
vs Biele ISB,24 oct 2021,G  84-67,6,4,5,24,1-2,1-2,50.0%,1-4,25.0%,0,4,4,5,2,3,1,6,10
@ HLA Alicante,17 oct 2021,G  75-78,6,3,5,28,3-7,0-1,37.5%,0-1,0.0%,1,2,3,5,4,3,0,6,9
vs Movistar Estudiantes,13 oct 2021,P  63-76,7,2,1,23,3-8,0-0,37.5%,1-2,50.0%,0,2,2,1,1,1,0,7,4
@ Fibwi Palma,10 oct 2021,G  61-69,5,6,1,23,0-2,1-2,25.0%,2-2,100.0%,2,4,6,1,1,0,0,5,10
