PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Capitanes de Arecibo,24 jun 2022,P  79-75,2,1,0,11,1-1,0-1,50.0%,0-0,-,0,1,1,0,2,0,0,2,4
@ Leones de Ponce,21 jun 2022,P  94-87,6,0,0,9,0-0,2-4,50.0%,0-0,-,0,0,0,0,0,1,0,6,3
vs Mets Guaynabo,19 jun 2022,G  84-75,5,1,0,8,1-1,1-5,33.3%,0-0,-,1,0,1,0,0,0,0,5,2
@ Cangrejeros de Santurce,18 jun 2022,G  76-89,9,4,3,23,1-3,2-3,50.0%,1-2,50.0%,0,4,4,3,0,3,1,9,10
@ Indios de Mayaguez,12 jun 2022,P  77-76,0,1,0,4,0-1,0-1,0.0%,0-0,-,0,1,1,0,0,0,0,0,-1
vs Gigantes de Carolina,11 jun 2022,G  93-87,2,2,0,6,0-0,0-1,0.0%,2-2,100.0%,0,2,2,0,1,0,0,2,4
vs Cariduros de Fajardo,7 jun 2022,G  93-84,8,2,0,13,0-2,2-3,40.0%,2-2,100.0%,2,0,2,0,0,0,0,8,7
vs Leones de Ponce,5 jun 2022,G  92-72,3,0,2,16,0-1,1-2,33.3%,0-0,-,0,0,0,2,2,1,0,3,4
@ Capitanes de Arecibo,1 jun 2022,P  84-73,12,4,3,20,0-1,4-6,57.1%,0-0,-,0,4,4,3,0,1,0,12,15
vs Atleticos de San German,31 may 2022,P  76-82,6,3,2,25,0-3,2-4,28.6%,0-0,-,1,2,3,2,3,2,0,6,7
vs Brujos de Guayama,26 may 2022,P  67-71,6,3,1,18,2-2,0-3,40.0%,2-2,100.0%,1,2,3,1,0,2,0,6,5
vs Brujos de Guayama,26 may 2022,P  67-71,6,3,1,18,2-2,0-3,40.0%,2-2,100.0%,1,2,3,1,0,2,0,6,5
@ Brujos de Guayama,24 may 2022,G  85-89,5,2,1,12,1-2,1-3,40.0%,0-0,-,1,1,2,1,0,1,0,5,4
@ Cariduros de Fajardo,22 may 2022,G  61-77,3,2,0,8,0-1,1-2,33.3%,0-0,-,1,1,2,0,0,0,1,3,4
@ Grises de Humacao,19 may 2022,P  85-83,2,3,0,28,1-2,0-4,16.7%,0-0,-,0,3,3,0,2,0,0,2,2
@ Vaqueros de Bayamón,17 may 2022,P  82-74,6,1,1,21,0-0,2-4,50.0%,0-0,-,0,1,1,1,0,0,0,6,6
vs Leones de Ponce,15 may 2022,G  95-87,3,0,2,12,0-1,1-3,25.0%,0-0,-,0,0,0,2,2,0,0,3,4
@ Brujos de Guayama,12 may 2022,G  69-72,0,2,1,17,0-0,0-1,0.0%,0-0,-,0,2,2,1,0,1,0,0,1
vs Rioverde Clavijo,10 abr 2022,P  73-86,17,3,2,36,6-13,1-7,35.0%,2-3,66.7%,0,3,3,2,4,1,0,17,11
@ Circulo Gijon,6 abr 2022,P  91-86,22,3,0,25,5-8,2-7,46.7%,6-9,66.7%,0,3,3,0,0,1,0,22,13
vs Algeciras,1 abr 2022,G  86-76,4,7,3,29,0-3,1-5,12.5%,1-1,100.0%,2,5,7,3,1,4,0,4,4
vs C.B. Moron,29 mar 2022,G  84-49,19,3,4,19,6-6,1-6,58.3%,4-4,100.0%,0,3,3,4,2,3,0,19,20
@ Navarra,26 mar 2022,G  75-83,12,6,4,36,2-6,1-3,33.3%,5-6,83.3%,0,6,6,4,1,2,0,12,14
@ Melilla Enrique Soler,9 mar 2022,G  74-85,19,6,5,32,3-10,4-8,38.9%,1-1,100.0%,1,5,6,5,2,1,0,19,20
vs Ourense,5 mar 2022,G  59-53,14,9,1,34,3-9,1-3,33.3%,5-5,100.0%,2,7,9,1,1,5,0,14,12
@ Grupo Alega Cantabria,19 feb 2022,P  83-66,19,7,5,32,3-8,3-9,35.3%,4-5,80.0%,2,5,7,5,2,5,0,19,16
vs Marbella,14 feb 2022,P  73-80,19,2,6,36,5-8,2-11,36.8%,3-3,100.0%,1,1,2,6,2,2,0,19,15
@ Clinica Ponferrada,9 feb 2022,P  81-56,8,6,6,32,3-8,0-3,27.3%,2-2,100.0%,1,5,6,6,1,1,0,8,12
vs Zornotza,5 feb 2022,G  78-58,14,3,3,32,5-8,1-4,50.0%,1-1,100.0%,0,3,3,3,0,2,0,14,12
@ Rioverde Clavijo,27 ene 2022,P  77-68,29,10,3,38,5-9,4-8,52.9%,7-7,100.0%,1,9,10,3,1,4,0,29,31
@ UBU Tizona Burgos,22 ene 2022,G  63-71,10,12,7,31,3-9,1-4,30.8%,1-2,50.0%,1,11,12,7,1,2,0,10,18
vs Aquimisa Carbajosa,16 ene 2022,G  68-44,3,1,5,21,0-4,1-3,14.3%,0-0,-,0,1,1,5,2,0,0,3,5
vs Circulo Gijon,29 dic 2021,G  92-88,22,3,2,40,5-10,2-7,41.2%,6-9,66.7%,0,3,3,2,1,3,0,22,12
@ Algeciras,22 dic 2021,P  90-77,19,5,4,33,4-8,3-6,50.0%,2-2,100.0%,0,5,5,4,2,4,0,19,19
vs Navarra,18 dic 2021,G  79-74,4,4,3,28,0-1,0-1,0.0%,4-4,100.0%,1,3,4,3,1,5,1,4,6
