PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Alimerka Oviedo,20 may 2022,G  68-63,2,0,0,3,1-1,0-1,50.0%,0-0,-,0,0,0,0,0,0,0,2,1
@ Basquet Girona,13 may 2022,P  70-68,0,0,0,4,0-0,0-0,-,0-0,-,0,0,0,0,0,1,0,0,-1
@ Levitec Huesca,1 may 2022,G  49-83,2,2,0,10,1-3,0-2,20.0%,0-0,-,0,2,2,0,0,1,0,2,-1
vs Fibwi Palma,27 abr 2022,G  105-71,15,3,1,17,1-3,3-5,50.0%,4-4,100.0%,0,3,3,1,1,1,0,15,15
vs Gipuzkoa Basket,24 abr 2022,G  87-65,5,0,0,5,1-3,1-1,50.0%,0-0,-,0,0,0,0,0,0,0,5,3
vs Caceres,27 mar 2022,G  83-76,0,1,0,8,0-0,0-2,0.0%,0-0,-,1,0,1,0,0,1,0,0,-2
vs Amics Castello,15 mar 2022,G  100-69,11,4,3,24,1-3,3-8,36.4%,0-0,-,0,4,4,3,4,1,0,11,14
vs Biele ISB,6 mar 2022,G  89-75,6,1,0,16,1-2,1-4,33.3%,1-2,50.0%,0,1,1,0,0,1,1,6,2
@ HLA Alicante,19 feb 2022,G  75-98,0,0,0,7,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,1,0,0,-2
@ Súper Agropal Palencia,13 feb 2022,P  66-62,6,3,2,9,3-3,0-2,60.0%,0-0,-,1,2,3,2,0,1,0,6,8
@ Gipuzkoa Basket,9 feb 2022,G  54-72,6,2,0,19,1-2,1-2,50.0%,1-2,50.0%,0,2,2,0,1,2,0,6,4
vs Melilla Ciudad Del Deporte 1,3 feb 2022,G  76-66,3,0,0,16,0-1,1-1,50.0%,0-0,-,0,0,0,0,0,2,1,3,1
@ Hiopos Lleida,28 ene 2022,P  81-75,3,4,1,18,0-0,1-2,50.0%,0-0,-,2,2,4,1,0,0,0,3,7
@ Alimerka Oviedo,23 ene 2022,G  67-75,0,2,0,6,0-0,0-1,0.0%,0-0,-,0,2,2,0,0,0,0,0,1
vs Levitec Huesca,19 ene 2022,G  70-59,4,2,3,16,2-3,0-0,66.7%,0-0,-,0,2,2,3,0,2,2,4,8
vs Basquet Girona,16 ene 2022,G  88-80,0,1,1,9,0-2,0-1,0.0%,0-0,-,0,1,1,1,0,0,0,0,-1
vs Leyma Coruña,17 dic 2021,G  88-80,4,0,0,12,2-2,0-0,100.0%,0-0,-,0,0,0,0,0,0,0,4,4
vs Real Valladolid,5 dic 2021,G  81-60,5,2,2,15,0-2,1-2,25.0%,2-2,100.0%,0,2,2,2,0,0,0,5,6
@ Caceres,19 nov 2021,G  62-71,4,4,0,17,2-4,0-2,33.3%,0-0,-,2,2,4,0,1,2,0,4,3
vs Almansa Con Afanion,14 nov 2021,G  94-67,3,6,3,20,0-1,1-7,12.5%,0-0,-,1,5,6,3,0,1,0,3,4
@ Amics Castello,10 nov 2021,G  66-78,1,2,1,17,0-0,0-2,0.0%,1-2,50.0%,0,2,2,1,0,1,1,1,1
vs C.B. Prat,7 nov 2021,G  73-72,9,2,0,19,3-5,1-1,66.7%,0-0,-,0,2,2,0,1,2,0,9,8
@ Biele ISB,31 oct 2021,P  88-72,9,0,1,17,0-1,2-3,50.0%,3-4,75.0%,0,0,0,1,1,1,0,9,7
@ Fibwi Palma,17 oct 2021,G  70-73,0,0,0,5,0-1,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-2
@ Melilla Ciudad Del Deporte 1,13 oct 2021,G  63-76,1,0,0,3,0-0,0-0,-,1-2,50.0%,0,0,0,0,0,0,0,1,0
vs Hiopos Lleida,10 oct 2021,G  98-73,5,1,0,6,1-1,1-2,66.7%,0-0,-,0,1,1,0,0,0,0,5,5
