PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Alimerka Oviedo,23 ene 2022,G  67-75,14,4,3,24,5-7,1-3,60.0%,1-2,50.0%,0,4,4,3,0,1,0,14,15
vs Levitec Huesca,19 ene 2022,G  70-59,10,4,4,18,2-6,2-4,40.0%,0-0,-,2,2,4,4,0,1,0,10,11
vs Basquet Girona,16 ene 2022,G  88-80,18,4,2,18,6-11,1-3,50.0%,3-4,75.0%,1,3,4,2,1,1,0,18,16
vs Leyma Coruña,17 dic 2021,G  88-80,4,1,2,18,2-4,0-1,40.0%,0-0,-,0,1,1,2,0,2,0,4,2
@ Coviran Granada,11 dic 2021,P  69-58,7,2,4,22,3-4,0-2,50.0%,1-2,50.0%,0,2,2,4,1,2,0,7,8
vs Real Valladolid,5 dic 2021,G  81-60,8,2,1,18,3-6,0-0,50.0%,2-3,66.7%,0,2,2,1,1,0,0,8,8
@ Caceres,19 nov 2021,G  62-71,23,3,0,28,4-7,3-7,50.0%,6-7,85.7%,0,3,3,0,0,3,0,23,15
vs Almansa Con Afanion,14 nov 2021,G  94-67,5,3,5,21,1-1,1-2,66.7%,0-0,-,0,3,3,5,0,2,0,5,10
@ Amics Castello,10 nov 2021,G  66-78,5,4,6,24,1-3,0-2,20.0%,3-3,100.0%,1,3,4,6,0,1,0,5,10
vs C.B. Prat,7 nov 2021,G  73-72,8,5,0,23,4-7,0-2,44.4%,0-0,-,0,5,5,0,0,3,0,8,5
@ Biele ISB,31 oct 2021,P  88-72,2,0,0,8,1-2,0-0,50.0%,0-0,-,0,0,0,0,0,1,0,2,0
vs HLA Alicante,24 oct 2021,G  94-88,5,0,2,18,0-4,1-1,20.0%,2-2,100.0%,0,0,0,2,0,1,1,5,3
@ Fibwi Palma,17 oct 2021,G  70-73,8,1,1,22,3-6,0-1,42.9%,2-2,100.0%,0,1,1,1,0,2,0,8,4
@ Melilla Ciudad Del Deporte 1,13 oct 2021,G  63-76,7,3,0,20,3-8,0-2,30.0%,1-1,100.0%,1,2,3,0,0,1,0,7,2
vs Hiopos Lleida,10 oct 2021,G  98-73,5,1,3,15,1-3,1-2,40.0%,0-1,0.0%,0,1,1,3,1,2,0,5,4
