PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Alimerka Oviedo,20 may 2022,G  68-63,9,0,1,21,3-8,1-2,40.0%,0-0,-,0,0,0,1,3,0,0,9,7
@ Basquet Girona,13 may 2022,P  70-68,10,9,1,24,5-7,0-3,50.0%,0-0,-,3,6,9,1,2,0,0,10,17
vs Súper Agropal Palencia,8 may 2022,P  71-73,9,0,3,22,0-0,3-5,60.0%,0-0,-,0,0,0,3,0,0,0,9,10
@ Levitec Huesca,1 may 2022,G  49-83,9,2,2,23,3-7,1-2,44.4%,0-0,-,1,1,2,2,2,0,0,9,10
vs Fibwi Palma,27 abr 2022,G  105-71,2,6,3,22,1-3,0-2,20.0%,0-0,-,1,5,6,3,1,0,0,2,8
vs Gipuzkoa Basket,24 abr 2022,G  87-65,8,1,6,19,4-5,0-0,80.0%,0-0,-,0,1,1,6,2,0,0,8,16
@ Leyma Coruña,18 abr 2022,P  87-68,2,3,4,17,1-4,0-3,14.3%,0-0,-,0,3,3,4,2,2,0,2,3
vs Coviran Granada,10 abr 2022,P  68-70,10,4,1,22,4-8,0-1,44.4%,2-2,100.0%,3,1,4,1,1,1,0,10,10
@ Real Valladolid,29 mar 2022,G  62-66,5,2,0,23,2-5,0-0,40.0%,1-2,50.0%,0,2,2,0,1,1,0,5,3
vs Caceres,27 mar 2022,G  83-76,10,4,5,28,4-6,0-4,40.0%,2-2,100.0%,0,4,4,5,2,1,0,10,14
@ Almansa Con Afanion,20 mar 2022,G  68-84,2,1,1,16,1-3,0-0,33.3%,0-0,-,0,1,1,1,1,0,0,2,3
vs Amics Castello,15 mar 2022,G  100-69,2,1,2,18,1-2,0-2,25.0%,0-0,-,0,1,1,2,0,0,0,2,2
@ C.B. Prat,12 mar 2022,P  80-79,7,1,3,26,2-2,1-1,100.0%,0-0,-,0,1,1,3,0,3,0,7,8
vs Biele ISB,6 mar 2022,G  89-75,5,0,5,20,1-2,1-2,50.0%,0-0,-,0,0,0,5,2,1,0,5,9
@ HLA Alicante,19 feb 2022,G  75-98,4,3,3,19,1-1,0-1,50.0%,2-2,100.0%,0,3,3,3,3,0,0,4,12
@ Súper Agropal Palencia,13 feb 2022,P  66-62,13,2,1,17,3-4,2-4,62.5%,1-1,100.0%,1,1,2,1,2,0,0,13,15
@ Gipuzkoa Basket,9 feb 2022,G  54-72,13,2,3,27,3-5,2-5,50.0%,1-2,50.0%,0,2,2,3,2,0,1,13,15
vs Melilla Ciudad Del Deporte 1,3 feb 2022,G  76-66,3,1,3,20,0-2,1-2,25.0%,0-0,-,1,0,1,3,1,0,0,3,5
@ Hiopos Lleida,28 ene 2022,P  81-75,8,1,3,26,0-1,1-4,20.0%,5-5,100.0%,0,1,1,3,4,2,0,8,10
@ Alimerka Oviedo,23 ene 2022,G  67-75,12,2,4,21,3-4,2-3,71.4%,0-0,-,0,2,2,4,1,0,0,12,17
vs Levitec Huesca,19 ene 2022,G  70-59,0,0,1,8,0-1,0-0,0.0%,0-0,-,0,0,0,1,0,0,0,0,0
@ Coviran Granada,11 dic 2021,P  69-58,11,4,4,23,1-4,3-6,40.0%,0-0,-,1,3,4,4,0,0,0,11,13
@ Caceres,19 nov 2021,G  62-71,12,2,1,25,3-5,1-3,50.0%,3-4,75.0%,0,2,2,1,0,0,0,12,10
vs Almansa Con Afanion,14 nov 2021,G  94-67,13,2,4,20,2-6,2-4,40.0%,3-3,100.0%,0,2,2,4,1,2,0,13,12
@ Amics Castello,10 nov 2021,G  66-78,14,2,4,26,5-6,1-3,66.7%,1-1,100.0%,0,2,2,4,2,1,0,14,18
vs C.B. Prat,7 nov 2021,G  73-72,7,2,5,24,2-4,1-3,42.9%,0-0,-,0,2,2,5,1,1,0,7,10
@ Biele ISB,31 oct 2021,P  88-72,8,1,2,26,4-5,0-2,57.1%,0-0,-,0,1,1,2,0,3,0,8,5
vs HLA Alicante,24 oct 2021,G  94-88,26,3,3,25,3-5,6-7,75.0%,2-2,100.0%,0,3,3,3,1,1,0,26,29
@ Fibwi Palma,17 oct 2021,G  70-73,7,5,6,27,2-4,1-4,37.5%,0-0,-,1,4,5,6,0,2,0,7,11
@ Melilla Ciudad Del Deporte 1,13 oct 2021,G  63-76,6,1,1,25,3-5,0-1,50.0%,0-0,-,0,1,1,1,2,1,0,6,6
vs Hiopos Lleida,10 oct 2021,G  98-73,6,1,9,21,1-4,1-2,33.3%,1-2,50.0%,0,1,1,9,2,1,0,6,12
