PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Alimerka Oviedo,20 may 2022,G  68-63,11,3,2,27,2-5,2-7,33.3%,1-2,50.0%,0,3,3,2,1,0,0,11,8
@ Basquet Girona,13 may 2022,P  70-68,17,3,0,27,3-3,3-7,60.0%,2-2,100.0%,1,2,3,0,2,2,0,17,16
vs Súper Agropal Palencia,8 may 2022,P  71-73,7,0,2,23,2-5,0-2,28.6%,3-5,60.0%,0,0,0,2,2,2,0,7,2
@ Levitec Huesca,1 may 2022,G  49-83,13,5,1,19,1-1,3-7,50.0%,2-2,100.0%,0,5,5,1,3,0,0,13,18
vs Fibwi Palma,27 abr 2022,G  105-71,15,6,3,23,2-5,3-7,41.7%,2-2,100.0%,3,3,6,3,1,1,0,15,17
vs Gipuzkoa Basket,24 abr 2022,G  87-65,2,2,0,16,1-3,0-2,20.0%,0-0,-,0,2,2,0,0,2,0,2,-2
@ Leyma Coruña,18 abr 2022,P  87-68,22,0,0,24,2-5,5-8,53.8%,3-3,100.0%,0,0,0,0,0,2,0,22,14
vs Coviran Granada,10 abr 2022,P  68-70,2,0,2,15,0-1,0-2,0.0%,2-2,100.0%,0,0,0,2,0,2,0,2,-1
@ Real Valladolid,29 mar 2022,G  62-66,4,1,0,20,2-3,0-1,50.0%,0-0,-,0,1,1,0,0,0,0,4,3
vs Caceres,27 mar 2022,G  83-76,15,0,3,19,2-5,3-6,45.5%,2-2,100.0%,0,0,0,3,0,1,0,15,11
@ Almansa Con Afanion,20 mar 2022,G  68-84,12,1,1,22,1-3,3-5,50.0%,1-1,100.0%,1,0,1,1,2,2,0,12,10
vs Amics Castello,15 mar 2022,G  100-69,14,3,1,13,2-2,3-4,83.3%,1-1,100.0%,1,2,3,1,1,2,0,14,16
@ C.B. Prat,12 mar 2022,P  80-79,11,1,1,26,3-8,1-6,28.6%,2-2,100.0%,0,1,1,1,1,1,0,11,3
vs Biele ISB,6 mar 2022,G  89-75,7,1,3,17,1-2,1-2,50.0%,2-2,100.0%,0,1,1,3,1,0,0,7,10
@ HLA Alicante,19 feb 2022,G  75-98,16,0,2,23,3-7,2-3,50.0%,4-5,80.0%,0,0,0,2,3,1,0,16,14
@ Súper Agropal Palencia,13 feb 2022,P  66-62,2,3,1,17,1-3,0-3,16.7%,0-0,-,3,0,3,1,1,0,0,2,2
@ Gipuzkoa Basket,9 feb 2022,G  54-72,8,1,2,16,1-3,2-3,50.0%,0-0,-,1,0,1,2,0,0,0,8,8
vs Melilla Ciudad Del Deporte 1,3 feb 2022,G  76-66,7,3,2,24,0-2,2-4,33.3%,1-2,50.0%,0,3,3,2,1,2,0,7,6
@ Hiopos Lleida,28 ene 2022,P  81-75,10,1,2,17,2-4,2-6,40.0%,0-0,-,0,1,1,2,1,0,0,10,8
@ Alimerka Oviedo,23 ene 2022,G  67-75,2,0,2,10,1-2,0-3,20.0%,0-0,-,0,0,0,2,1,0,0,2,1
vs Levitec Huesca,19 ene 2022,G  70-59,4,1,0,18,2-3,0-2,40.0%,0-0,-,0,1,1,0,0,0,0,4,2
vs Basquet Girona,16 ene 2022,G  88-80,4,2,1,17,2-2,0-3,40.0%,0-0,-,1,1,2,1,0,1,0,4,3
vs Leyma Coruña,17 dic 2021,G  88-80,18,3,0,24,4-5,3-6,63.6%,1-1,100.0%,0,3,3,0,1,0,0,18,18
@ Coviran Granada,11 dic 2021,P  69-58,4,2,1,19,2-4,0-4,25.0%,0-0,-,1,1,2,1,0,1,0,4,0
vs Real Valladolid,5 dic 2021,G  81-60,9,3,1,18,2-4,1-3,42.9%,2-3,66.7%,0,3,3,1,0,1,0,9,7
vs Almansa Con Afanion,14 nov 2021,G  94-67,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,1,0,0,-1
@ Amics Castello,10 nov 2021,G  66-78,6,4,1,21,3-7,0-4,27.3%,0-0,-,0,4,4,1,1,1,0,6,3
vs C.B. Prat,7 nov 2021,G  73-72,6,3,3,20,2-3,0-0,66.7%,2-2,100.0%,1,2,3,3,0,1,0,6,10
@ Biele ISB,31 oct 2021,P  88-72,11,1,0,22,1-4,1-6,20.0%,6-6,100.0%,0,1,1,0,3,1,0,11,6
vs HLA Alicante,24 oct 2021,G  94-88,11,1,0,24,0-2,3-5,42.9%,2-2,100.0%,0,1,1,0,1,4,0,11,5
@ Fibwi Palma,17 oct 2021,G  70-73,15,1,2,18,3-4,3-5,66.7%,0-1,0.0%,0,1,1,2,3,0,0,15,17
@ Melilla Ciudad Del Deporte 1,13 oct 2021,G  63-76,17,2,0,17,1-3,4-5,62.5%,3-4,75.0%,0,2,2,0,1,1,0,17,15
vs Hiopos Lleida,10 oct 2021,G  98-73,14,2,3,20,1-2,4-7,55.6%,0-0,-,0,2,2,3,0,0,0,14,15
