PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Movistar Estudiantes,20 may 2022,P  68-63,5,2,0,14,1-2,1-1,66.7%,0-0,-,1,1,2,0,1,0,0,5,7
@ Basquet Girona,24 abr 2022,P  99-74,0,1,0,6,0-0,0-0,-,0-0,-,1,0,1,0,0,0,0,0,1
vs Levitec Huesca,9 abr 2022,G  91-73,8,0,0,19,1-1,2-4,60.0%,0-0,-,0,0,0,0,1,0,0,8,7
@ Coviran Granada,19 mar 2022,P  96-68,2,0,0,5,1-1,0-2,33.3%,0-0,-,0,0,0,0,0,0,0,2,0
@ Caceres,11 mar 2022,G  75-99,3,0,0,2,0-0,1-1,100.0%,0-0,-,0,0,0,0,0,0,0,3,3
@ Hiopos Lleida,13 feb 2022,P  67-56,4,4,0,26,2-4,0-6,20.0%,0-0,-,0,4,4,0,2,1,1,4,2
vs Basquet Girona,9 feb 2022,P  46-80,6,1,1,24,0-4,2-4,25.0%,0-0,-,1,0,1,1,1,1,0,6,2
@ Biele ISB,2 feb 2022,P  88-80,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs HLA Alicante,29 ene 2022,P  54-77,0,0,0,6,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
@ Melilla Ciudad Del Deporte 1,16 ene 2022,P  79-78,0,1,0,4,0-0,0-0,-,0-0,-,0,1,1,0,0,0,0,0,1
vs Súper Agropal Palencia,4 ene 2022,G  79-74,0,0,0,5,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
vs Gipuzkoa Basket,5 dic 2021,G  89-76,0,0,0,5,0-0,0-1,0.0%,0-0,-,0,0,0,0,1,0,0,0,0
@ Real Valladolid,10 nov 2021,P  81-73,3,1,0,14,0-1,1-3,25.0%,0-0,-,0,1,1,0,0,1,0,3,0
vs Caceres,6 nov 2021,G  87-75,0,0,0,7,0-0,0-0,-,0-0,-,0,0,0,0,1,0,0,0,1
@ Almansa Con Afanion,30 oct 2021,G  72-83,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Amics Castello,23 oct 2021,P  70-85,6,3,0,16,0-0,2-4,50.0%,0-0,-,0,3,3,0,0,1,0,6,6
@ C.B. Prat,17 oct 2021,G  62-91,0,0,1,1,0-0,0-0,-,0-0,-,0,0,0,1,1,0,0,0,2
@ HLA Alicante,8 oct 2021,G  96-97,0,0,0,4,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
