PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Melilla Ciudad Del Deporte 1,13 may 2022,G  81-79,4,3,1,16,2-5,0-0,40.0%,0-0,-,0,3,3,1,0,1,0,4,4
vs Hiopos Lleida,7 may 2022,G  89-85,8,9,2,24,3-5,0-0,60.0%,2-3,66.7%,2,7,9,2,2,1,1,8,18
@ Fibwi Palma,1 may 2022,P  74-69,7,7,3,18,3-9,0-0,33.3%,1-2,50.0%,4,3,7,3,0,0,0,7,10
@ Basquet Girona,24 abr 2022,P  99-74,4,3,0,20,1-4,0-0,25.0%,2-2,100.0%,0,3,3,0,0,3,0,4,1
@ Súper Agropal Palencia,17 abr 2022,G  76-80,9,7,2,23,3-10,0-0,30.0%,3-4,75.0%,2,5,7,2,0,2,0,9,8
vs Levitec Huesca,9 abr 2022,G  91-73,10,6,4,22,5-7,0-0,71.4%,0-0,-,4,2,6,4,0,1,0,10,17
@ Gipuzkoa Basket,31 mar 2022,P  79-77,4,6,1,29,2-6,0-0,33.3%,0-0,-,3,3,6,1,0,1,0,4,6
vs Leyma Coruña,27 mar 2022,G  67-60,10,9,2,34,4-9,0-0,44.4%,2-2,100.0%,4,5,9,2,2,3,1,10,16
vs C.B. Prat,24 mar 2022,G  77-65,16,4,0,27,6-9,0-0,66.7%,4-4,100.0%,3,1,4,0,0,1,0,16,16
@ Coviran Granada,19 mar 2022,P  96-68,12,5,3,30,5-8,0-0,62.5%,2-2,100.0%,2,3,5,3,1,2,0,12,16
vs Real Valladolid,15 mar 2022,G  88-71,16,9,4,33,5-11,0-0,45.5%,6-6,100.0%,2,7,9,4,0,3,0,16,20
@ Caceres,11 mar 2022,G  75-99,14,8,3,24,5-6,1-1,85.7%,1-2,50.0%,2,6,8,3,0,3,1,14,21
vs Almansa Con Afanion,6 mar 2022,G  85-63,8,3,2,14,4-7,0-0,57.1%,0-0,-,1,2,3,2,0,5,0,8,5
@ Amics Castello,18 feb 2022,P  82-74,0,5,0,17,0-4,0-0,0.0%,0-0,-,2,3,5,0,0,0,1,0,2
@ Hiopos Lleida,13 feb 2022,P  67-56,10,8,2,22,3-3,0-0,100.0%,4-10,40.0%,1,7,8,2,0,3,0,10,11
vs Basquet Girona,9 feb 2022,P  46-80,14,13,2,25,5-12,0-0,41.7%,4-5,80.0%,5,8,13,2,1,6,0,14,16
@ Biele ISB,2 feb 2022,P  88-80,16,7,2,24,3-5,0-0,60.0%,10-14,71.4%,4,3,7,2,0,3,0,16,16
vs HLA Alicante,29 ene 2022,P  54-77,9,6,1,27,4-12,0-1,30.8%,1-2,50.0%,2,4,6,1,1,2,0,9,5
vs Movistar Estudiantes,23 ene 2022,P  67-75,14,1,0,16,4-8,0-0,50.0%,6-6,100.0%,1,0,1,0,0,0,0,14,11
vs Fibwi Palma,19 ene 2022,G  68-53,10,8,2,20,4-8,0-0,50.0%,2-4,50.0%,3,5,8,2,2,1,0,10,15
@ Melilla Ciudad Del Deporte 1,16 ene 2022,P  79-78,12,4,0,21,5-9,0-0,55.6%,2-3,66.7%,1,3,4,0,0,1,0,12,10
vs Súper Agropal Palencia,4 ene 2022,G  79-74,10,8,1,16,3-6,0-0,50.0%,4-5,80.0%,2,6,8,1,0,2,0,10,13
@ Levitec Huesca,10 dic 2021,P  73-68,12,8,1,29,3-6,0-0,50.0%,6-8,75.0%,2,6,8,1,0,1,0,12,15
vs Gipuzkoa Basket,5 dic 2021,G  89-76,13,5,1,21,5-6,0-0,83.3%,3-4,75.0%,1,4,5,1,0,2,1,13,16
@ Leyma Coruña,21 nov 2021,G  61-83,13,9,1,29,5-12,0-0,41.7%,3-4,75.0%,3,6,9,1,0,4,0,13,11
vs Coviran Granada,14 nov 2021,G  80-76,11,7,1,26,5-8,0-0,62.5%,1-1,100.0%,2,5,7,1,1,2,1,11,16
@ Real Valladolid,10 nov 2021,P  81-73,13,6,1,27,6-9,0-1,60.0%,1-4,25.0%,0,6,6,1,1,3,1,13,12
vs Caceres,6 nov 2021,G  87-75,19,6,0,31,6-8,0-0,75.0%,7-8,87.5%,0,6,6,0,0,1,1,19,22
@ Almansa Con Afanion,30 oct 2021,G  72-83,15,7,2,24,6-7,0-0,85.7%,3-4,75.0%,2,5,7,2,0,3,0,15,19
vs Amics Castello,23 oct 2021,P  70-85,12,3,2,27,6-14,0-0,42.9%,0-2,0.0%,1,2,3,2,1,2,1,12,7
@ C.B. Prat,17 oct 2021,G  62-91,13,6,4,28,5-6,0-0,83.3%,3-4,75.0%,4,2,6,4,1,2,0,13,20
vs Biele ISB,12 oct 2021,G  79-73,15,7,2,22,5-7,0-0,71.4%,5-6,83.3%,3,4,7,2,1,2,0,15,20
@ HLA Alicante,8 oct 2021,G  96-97,23,5,4,25,6-8,0-0,75.0%,11-12,91.7%,2,3,5,4,1,3,0,23,27
