PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Movistar Estudiantes,20 may 2022,P  68-63,7,3,1,22,3-5,0-0,60.0%,1-2,50.0%,1,2,3,1,0,3,1,7,6
vs Melilla Ciudad Del Deporte 1,13 may 2022,G  81-79,8,3,0,14,2-6,0-1,28.6%,4-4,100.0%,0,3,3,0,1,1,0,8,6
vs Hiopos Lleida,7 may 2022,G  89-85,8,3,2,17,2-8,0-0,25.0%,4-6,66.7%,1,2,3,2,0,1,0,8,4
@ Fibwi Palma,1 may 2022,P  74-69,17,10,3,23,3-7,1-1,50.0%,8-14,57.1%,4,6,10,3,1,0,1,17,22
@ Basquet Girona,24 abr 2022,P  99-74,8,3,3,21,4-7,0-0,57.1%,0-0,-,0,3,3,3,1,3,0,8,9
@ Súper Agropal Palencia,17 abr 2022,G  76-80,9,5,5,22,4-6,0-1,57.1%,1-1,100.0%,2,3,5,5,1,1,0,9,16
vs Levitec Huesca,9 abr 2022,G  91-73,21,5,2,21,8-10,0-0,80.0%,5-6,83.3%,1,4,5,2,3,2,1,21,27
@ Gipuzkoa Basket,31 mar 2022,P  79-77,13,1,1,21,4-6,0-2,50.0%,5-6,83.3%,0,1,1,1,1,1,0,13,10
vs Leyma Coruña,27 mar 2022,G  67-60,12,1,2,23,5-8,0-3,45.5%,2-3,66.7%,0,1,1,2,1,3,0,12,6
@ Coviran Granada,19 mar 2022,P  96-68,3,2,0,9,1-2,0-0,50.0%,1-1,100.0%,1,1,2,0,0,1,0,3,3
vs Real Valladolid,15 mar 2022,G  88-71,9,1,3,19,4-5,0-2,57.1%,1-1,100.0%,0,1,1,3,1,1,0,9,10
@ Caceres,11 mar 2022,G  75-99,16,2,2,21,4-9,0-0,44.4%,8-8,100.0%,0,2,2,2,0,3,0,16,12
vs Almansa Con Afanion,6 mar 2022,G  85-63,13,2,5,26,3-6,2-4,50.0%,1-2,50.0%,0,2,2,5,0,1,0,13,13
@ Amics Castello,18 feb 2022,P  82-74,10,6,2,24,3-6,0-1,42.9%,4-4,100.0%,4,2,6,2,1,1,0,10,14
vs Caceres,13 feb 2022,P  87-92,16,5,1,34,4-10,1-4,35.7%,5-9,55.6%,2,3,5,1,1,4,0,16,6
vs Coviran Granada,2 feb 2022,P  77-87,21,6,4,34,9-12,0-5,52.9%,3-4,75.0%,1,5,6,4,2,2,0,21,22
@ Melilla Ciudad Del Deporte 1,28 ene 2022,G  82-89,18,2,2,35,5-9,0-3,41.7%,8-10,80.0%,0,2,2,2,1,4,0,18,10
@ Real Valladolid,22 ene 2022,P  71-64,2,4,1,19,0-2,0-0,0.0%,2-4,50.0%,0,4,4,1,0,1,0,2,2
@ Alimerka Oviedo,19 ene 2022,P  68-53,18,9,0,34,3-5,2-4,55.6%,6-6,100.0%,3,6,9,0,0,3,1,18,21
vs Almansa Con Afanion,21 dic 2021,P  82-94,5,3,1,24,2-3,0-4,28.6%,1-1,100.0%,1,2,3,1,2,1,0,5,5
@ Basquet Girona,17 dic 2021,P  98-77,10,2,0,13,2-2,1-3,60.0%,3-6,50.0%,0,2,2,0,1,2,0,10,6
vs Amics Castello,12 dic 2021,P  70-71,10,4,0,25,4-5,0-1,66.7%,2-3,66.7%,0,4,4,0,0,1,0,10,10
@ Súper Agropal Palencia,5 dic 2021,P  76-74,4,4,1,22,2-3,0-3,33.3%,0-0,-,1,3,4,1,1,2,1,4,5
