PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Biele ISB,20 may 2022,P  88-85,7,0,2,19,2-3,1-3,50.0%,0-0,-,0,0,0,2,0,1,0,7,5
vs HLA Alicante,13 may 2022,P  83-89,12,4,4,31,3-8,1-7,26.7%,3-5,60.0%,1,3,4,4,1,1,0,12,7
@ Movistar Estudiantes,8 may 2022,G  71-73,9,6,4,30,3-8,1-4,33.3%,0-0,-,0,6,6,4,1,1,0,9,11
vs Melilla Ciudad Del Deporte 1,29 abr 2022,G  84-77,18,3,3,27,3-3,3-4,85.7%,3-3,100.0%,1,2,3,3,3,4,0,18,22
@ Hiopos Lleida,22 abr 2022,P  82-81,20,3,2,25,1-3,4-6,55.6%,6-6,100.0%,0,3,3,2,0,1,0,20,20
vs Alimerka Oviedo,17 abr 2022,P  76-80,10,1,5,32,2-2,2-8,40.0%,0-0,-,0,1,1,5,0,0,0,10,10
@ Basquet Girona,10 abr 2022,P  89-72,19,1,2,27,5-6,2-8,50.0%,3-7,42.9%,0,1,1,2,1,3,0,19,9
@ Fibwi Palma,30 mar 2022,G  82-86,7,2,2,29,2-5,1-4,33.3%,0-0,-,0,2,2,2,1,0,0,7,6
vs Levitec Huesca,25 mar 2022,G  72-55,9,1,6,27,3-6,1-4,40.0%,0-0,-,0,1,1,6,1,3,0,9,8
@ Gipuzkoa Basket,20 mar 2022,G  68-74,7,1,3,35,0-4,1-3,14.3%,4-4,100.0%,0,1,1,3,3,5,0,7,3
vs Leyma Coruña,16 mar 2022,G  80-67,18,1,3,35,5-7,2-5,58.3%,2-2,100.0%,0,1,1,3,0,4,0,18,13
@ Coviran Granada,12 mar 2022,P  93-57,0,2,2,15,0-2,0-2,0.0%,0-2,0.0%,2,0,2,2,2,0,0,0,0
vs Real Valladolid,6 mar 2022,G  68-64,3,0,4,14,1-3,0-1,25.0%,1-1,100.0%,0,0,0,4,0,0,0,3,4
@ Melilla Ciudad Del Deporte 1,26 feb 2022,P  88-75,5,0,3,8,1-2,1-2,50.0%,0-0,-,0,0,0,3,0,0,0,5,6
@ Caceres,20 feb 2022,G  70-87,22,2,0,31,1-5,5-5,60.0%,5-6,83.3%,0,2,2,0,3,0,0,22,22
vs Hiopos Lleida,16 feb 2022,P  62-63,13,1,1,30,2-8,2-4,33.3%,3-4,75.0%,0,1,1,1,1,2,0,13,5
vs Movistar Estudiantes,13 feb 2022,G  66-62,4,1,3,21,2-7,0-0,28.6%,0-0,-,0,1,1,3,0,1,0,4,2
@ HLA Alicante,9 feb 2022,G  71-72,15,2,5,33,4-7,2-6,46.2%,1-2,50.0%,1,1,2,5,0,2,0,15,12
vs Almansa Con Afanion,5 feb 2022,G  68-57,3,6,2,24,0-2,1-5,14.3%,0-0,-,1,5,6,2,0,2,0,3,3
@ Amics Castello,1 feb 2022,P  84-82,19,3,4,26,4-6,3-6,58.3%,2-2,100.0%,1,2,3,4,1,2,0,19,20
vs C.B. Prat,28 ene 2022,P  74-83,22,3,4,29,5-8,4-8,56.3%,0-0,-,0,3,3,4,0,2,0,22,20
@ Alimerka Oviedo,4 ene 2022,P  79-74,28,2,4,40,7-14,4-9,47.8%,2-2,100.0%,0,2,2,4,3,2,0,28,23
vs Basquet Girona,10 dic 2021,P  62-73,8,5,2,25,2-3,1-5,37.5%,1-2,50.0%,0,5,5,2,2,1,0,8,10
vs Fibwi Palma,5 dic 2021,G  76-74,18,0,9,27,1-2,4-8,50.0%,4-4,100.0%,0,0,0,9,2,2,0,18,22
@ Levitec Huesca,19 nov 2021,G  73-103,16,1,5,25,4-5,2-4,66.7%,2-4,50.0%,0,1,1,5,1,1,0,16,17
vs Gipuzkoa Basket,13 nov 2021,G  85-73,7,1,4,24,2-5,1-4,33.3%,0-0,-,0,1,1,4,2,1,1,7,8
@ Leyma Coruña,9 nov 2021,P  105-93,12,3,4,25,2-4,2-5,44.4%,2-3,66.7%,0,3,3,4,0,4,0,12,9
vs Coviran Granada,5 nov 2021,P  80-83,5,3,5,26,1-1,1-4,40.0%,0-0,-,0,3,3,5,2,0,0,5,12
@ Real Valladolid,30 oct 2021,G  69-78,4,1,3,21,2-4,0-4,25.0%,0-0,-,0,1,1,3,1,0,0,4,3
vs Caceres,22 oct 2021,G  78-69,4,1,2,18,2-6,0-2,25.0%,0-0,-,0,1,1,2,0,2,0,4,-1
@ Almansa Con Afanion,17 oct 2021,G  75-96,0,2,0,13,0-2,0-2,0.0%,0-0,-,0,2,2,0,1,0,0,0,-1
vs Amics Castello,13 oct 2021,G  80-79,19,3,3,24,4-7,1-4,45.5%,8-8,100.0%,3,0,3,3,1,3,0,19,17
@ C.B. Prat,9 oct 2021,G  72-76,14,4,3,26,2-6,0-2,25.0%,10-11,90.9%,0,4,4,3,0,1,0,14,13
