PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Real Valladolid,20 may 2022,P  74-83,4,3,13,31,1-3,0-4,14.3%,2-2,100.0%,0,3,3,13,2,2,0,4,14
@ Hiopos Lleida,13 may 2022,P  89-82,10,0,3,33,2-5,2-7,33.3%,0-0,-,0,0,0,3,3,6,0,10,2
@ Caceres,6 may 2022,P  102-97,27,3,6,44,7-13,3-12,40.0%,4-4,100.0%,1,2,3,6,3,3,0,27,21
vs Alimerka Oviedo,1 may 2022,G  74-69,9,4,7,28,1-7,2-4,27.3%,1-2,50.0%,1,3,4,7,1,1,0,9,11
@ Movistar Estudiantes,27 abr 2022,P  105-71,2,0,5,26,1-1,0-1,50.0%,0-0,-,0,0,0,5,1,4,0,2,3
@ Almansa Con Afanion,23 abr 2022,G  80-87,6,2,3,26,2-2,0-1,66.7%,2-2,100.0%,0,2,2,3,0,2,0,6,8
vs Basquet Girona,16 abr 2022,G  78-73,17,3,4,34,5-11,1-2,46.2%,4-4,100.0%,1,2,3,4,3,1,1,17,20
@ Amics Castello,8 abr 2022,P  103-98,8,4,11,34,2-6,1-3,33.3%,1-2,50.0%,0,4,4,11,1,1,0,8,16
vs Súper Agropal Palencia,30 mar 2022,P  82-86,4,3,8,26,1-3,0-1,25.0%,2-2,100.0%,2,1,3,8,3,1,0,4,14
@ C.B. Prat,27 mar 2022,G  78-98,11,1,8,30,3-7,1-5,33.3%,2-2,100.0%,0,1,1,8,0,2,0,11,10
vs Levitec Huesca,20 mar 2022,G  86-61,6,0,7,30,2-4,0-6,20.0%,2-2,100.0%,0,0,0,7,2,0,0,6,7
@ Biele ISB,16 mar 2022,P  101-80,13,2,2,30,2-4,2-5,44.4%,3-4,75.0%,0,2,2,2,0,2,0,13,9
vs Gipuzkoa Basket,13 mar 2022,G  85-67,8,6,8,33,4-6,0-1,57.1%,0-0,-,0,6,6,8,1,5,0,8,15
@ HLA Alicante,6 mar 2022,P  97-89,9,3,8,38,2-7,1-4,27.3%,2-2,100.0%,1,2,3,8,2,3,0,9,11
vs Hiopos Lleida,3 mar 2022,G  98-90,5,4,6,31,1-4,0-1,20.0%,3-5,60.0%,0,4,4,6,2,2,0,5,9
vs Leyma Coruña,20 feb 2022,G  91-88,15,8,11,33,5-9,1-3,50.0%,2-2,100.0%,1,7,8,11,4,0,0,15,32
vs Caceres,13 feb 2022,P  87-92,16,3,7,44,3-7,2-6,38.5%,4-6,66.7%,0,3,3,7,4,2,0,16,18
@ Real Valladolid,22 ene 2022,P  71-64,9,3,2,38,1-2,2-4,50.0%,1-2,50.0%,0,3,3,2,0,1,0,9,9
@ Alimerka Oviedo,19 ene 2022,P  68-53,8,2,3,31,2-3,1-4,42.9%,1-2,50.0%,0,2,2,3,0,3,0,8,5
vs Almansa Con Afanion,21 dic 2021,P  82-94,19,1,7,37,5-7,2-5,58.3%,3-5,60.0%,0,1,1,7,1,1,0,19,20
@ Basquet Girona,17 dic 2021,P  98-77,4,3,7,36,2-4,0-1,40.0%,0-0,-,0,3,3,7,1,3,0,4,9
vs Amics Castello,12 dic 2021,P  70-71,9,2,6,31,3-4,1-2,66.7%,0-0,-,0,2,2,6,0,1,0,9,14
@ Súper Agropal Palencia,5 dic 2021,P  76-74,5,2,5,35,2-7,0-1,25.0%,1-2,50.0%,0,2,2,5,3,1,0,5,7
vs C.B. Prat,21 nov 2021,P  73-76,14,1,8,36,3-3,0-4,42.9%,8-9,88.9%,0,1,1,8,1,2,0,14,17
@ Levitec Huesca,14 nov 2021,P  83-65,8,2,3,34,2-4,1-2,50.0%,1-2,50.0%,0,2,2,3,2,4,0,8,7
vs Biele ISB,10 nov 2021,G  81-65,19,1,8,34,4-7,3-7,50.0%,2-3,66.7%,0,1,1,8,6,5,0,19,21
@ Gipuzkoa Basket,7 nov 2021,P  92-65,1,0,2,22,0-1,0-1,0.0%,1-2,50.0%,0,0,0,2,0,0,0,1,0
vs HLA Alicante,31 oct 2021,P  79-90,5,4,6,38,1-8,1-4,16.7%,0-0,-,0,4,4,6,2,4,0,5,3
@ Leyma Coruña,24 oct 2021,P  76-70,16,1,5,39,4-8,1-4,41.7%,5-8,62.5%,0,1,1,5,1,4,0,16,9
vs Movistar Estudiantes,17 oct 2021,P  70-73,12,2,7,32,4-6,1-4,50.0%,1-2,50.0%,0,2,2,7,3,4,0,12,14
@ Coviran Granada,12 oct 2021,P  78-62,10,4,3,37,2-4,1-7,27.3%,3-4,75.0%,0,4,4,3,1,4,0,10,5
vs Melilla Ciudad Del Deporte 1,10 oct 2021,P  61-69,10,1,4,30,4-7,0-4,36.4%,2-2,100.0%,1,0,1,4,0,4,0,10,4
