PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs CBA Gran Canaria,10 abr 2022,P  79-100,7,3,1,25,2-4,0-2,33.3%,3-6,50.0%,0,3,3,1,2,4,0,7,2
@ Zentro Basket Madrid,6 abr 2022,G  118-122,11,2,7,20,3-4,0-2,50.0%,5-6,83.3%,0,2,2,7,0,0,0,11,16
vs Maderas Sorli Benicarlo,2 abr 2022,G  77-72,20,3,0,26,1-3,2-4,42.9%,12-13,92.3%,0,3,3,0,0,2,0,20,16
@ La Roda,26 mar 2022,G  60-64,6,5,1,16,2-6,0-0,33.3%,2-2,100.0%,1,4,5,1,2,0,0,6,10
vs Real Canoe N.C.,19 mar 2022,G  87-72,10,4,2,18,3-5,0-2,42.9%,4-5,80.0%,1,3,4,2,0,1,0,10,10
@ Valencia B.C.,9 mar 2022,P  71-58,4,6,0,17,2-3,0-0,66.7%,0-0,-,0,6,6,0,0,2,0,4,7
vs Cartagena,5 mar 2022,G  76-63,3,2,1,12,0-0,1-2,50.0%,0-0,-,0,2,2,1,1,0,0,3,6
@ Alginet,20 feb 2022,P  77-65,5,4,1,23,1-5,1-2,28.6%,0-0,-,1,3,4,1,0,2,1,5,4
vs Cornella,12 feb 2022,G  66-53,2,5,2,23,1-3,0-0,33.3%,0-0,-,0,5,5,2,0,0,0,2,7
vs Sant Antoni,9 feb 2022,G  76-60,5,3,1,13,1-2,1-2,50.0%,0-0,-,0,3,3,1,0,1,0,5,6
@ Villarrobledo,5 feb 2022,G  72-91,5,1,0,24,1-2,1-3,40.0%,0-0,-,0,1,1,0,2,1,0,5,4
vs Mollet,22 ene 2022,G  80-71,12,5,2,29,2-7,2-6,30.8%,2-2,100.0%,3,2,5,2,0,2,1,12,9
@ Hestia Menorca,15 ene 2022,G  73-85,7,4,0,20,1-2,0-0,50.0%,5-6,83.3%,0,4,4,0,0,0,0,7,9
@ Súper Agropal Palencia,5 dic 2021,P  76-74,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs C.B. Prat,21 nov 2021,P  73-76,2,2,3,15,1-2,0-0,50.0%,0-0,-,0,2,2,3,0,1,0,2,5
@ Levitec Huesca,14 nov 2021,P  83-65,4,1,0,14,2-3,0-2,40.0%,0-0,-,0,1,1,0,0,1,0,4,1
vs Biele ISB,10 nov 2021,G  81-65,5,1,1,10,1-2,1-3,40.0%,0-0,-,0,1,1,1,0,0,0,5,4
@ Gipuzkoa Basket,7 nov 2021,P  92-65,6,3,0,14,0-1,2-2,66.7%,0-0,-,2,1,3,0,0,1,0,6,7
@ Leyma Coruña,24 oct 2021,P  76-70,0,1,0,9,0-1,0-1,0.0%,0-0,-,0,1,1,0,0,0,0,0,-1
vs Movistar Estudiantes,17 oct 2021,P  70-73,1,1,0,5,0-1,0-0,0.0%,1-3,33.3%,0,1,1,0,0,0,0,1,-1
@ Coviran Granada,12 oct 2021,P  78-62,8,0,1,16,0-1,2-3,50.0%,2-3,66.7%,0,0,0,1,0,0,0,8,6
vs Melilla Ciudad Del Deporte 1,10 oct 2021,P  61-69,0,2,0,18,0-4,0-1,0.0%,0-0,-,1,1,2,0,0,1,0,0,-4
