PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ C.B. Prat,27 mar 2022,G  78-98,2,4,0,15,1-1,0-0,100.0%,0-0,-,0,4,4,0,1,1,1,2,7
vs Levitec Huesca,20 mar 2022,G  86-61,2,2,1,8,1-1,0-0,100.0%,0-0,-,0,2,2,1,0,1,1,2,5
@ HLA Alicante,6 mar 2022,P  97-89,0,1,0,10,0-1,0-0,0.0%,0-0,-,0,1,1,0,0,0,0,0,0
vs Hiopos Lleida,3 mar 2022,G  98-90,0,3,2,13,0-5,0-0,0.0%,0-0,-,2,1,3,2,0,1,1,0,0
vs Leyma Coruña,20 feb 2022,G  91-88,2,3,1,16,1-3,0-0,33.3%,0-2,0.0%,2,1,3,1,0,1,0,2,1
vs Caceres,13 feb 2022,P  87-92,4,5,0,14,2-3,0-0,66.7%,0-0,-,2,3,5,0,0,0,0,4,8
vs Coviran Granada,2 feb 2022,P  77-87,4,1,0,9,1-2,0-0,50.0%,2-2,100.0%,0,1,1,0,1,2,2,4,5
@ Melilla Ciudad Del Deporte 1,28 ene 2022,G  82-89,4,3,0,17,2-4,0-0,50.0%,0-0,-,1,2,3,0,0,1,0,4,4
@ Real Valladolid,22 ene 2022,P  71-64,8,4,0,21,4-8,0-0,50.0%,0-0,-,0,4,4,0,0,1,0,8,7
@ Alimerka Oviedo,19 ene 2022,P  68-53,0,5,1,29,0-5,0-0,0.0%,0-0,-,0,5,5,1,1,0,2,0,4
vs Almansa Con Afanion,21 dic 2021,P  82-94,2,2,1,12,1-2,0-0,50.0%,0-0,-,1,1,2,1,0,2,0,2,2
@ Basquet Girona,17 dic 2021,P  98-77,3,6,0,21,1-3,0-0,33.3%,1-4,25.0%,1,5,6,0,2,1,1,3,6
vs Amics Castello,12 dic 2021,P  70-71,4,5,1,16,1-2,0-0,50.0%,2-4,50.0%,1,4,5,1,0,1,0,4,6
@ Súper Agropal Palencia,5 dic 2021,P  76-74,11,8,1,26,5-10,0-0,50.0%,1-1,100.0%,2,6,8,1,1,0,1,11,17
vs C.B. Prat,21 nov 2021,P  73-76,11,7,1,21,5-11,0-0,45.5%,1-1,100.0%,2,5,7,1,1,3,0,11,11
@ Levitec Huesca,14 nov 2021,P  83-65,2,3,0,12,1-4,0-0,25.0%,0-0,-,1,2,3,0,0,0,0,2,2
vs Biele ISB,10 nov 2021,G  81-65,0,0,0,6,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
@ Gipuzkoa Basket,7 nov 2021,P  92-65,2,3,0,15,1-4,0-0,25.0%,0-0,-,2,1,3,0,0,2,0,2,0
vs HLA Alicante,31 oct 2021,P  79-90,4,1,0,9,2-4,0-0,50.0%,0-0,-,0,1,1,0,0,0,0,4,3
@ Leyma Coruña,24 oct 2021,P  76-70,10,10,0,34,5-12,0-1,38.5%,0-0,-,4,6,10,0,0,2,1,10,11
vs Movistar Estudiantes,17 oct 2021,P  70-73,0,2,0,8,0-0,0-0,-,0-0,-,0,2,2,0,0,3,0,0,-1
@ Coviran Granada,12 oct 2021,P  78-62,13,5,0,24,6-9,0-1,60.0%,1-2,50.0%,1,4,5,0,1,2,0,13,12
vs Melilla Ciudad Del Deporte 1,10 oct 2021,P  61-69,4,6,0,24,2-8,0-0,25.0%,0-0,-,1,5,6,0,0,2,1,4,3
